,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player2
0,Brian Rodriguez,LAFC,M/F,9400,4.222222222222222,0,2,13,4,34,15,99,7,4,3,2,0,0,15.816315789473684,18.658421052631578,0.7,7.6,0.09210526315789473,0.16855263157894737,2.5,7.3999999999999995,0.3378378378378379,0.6019736842105264,11.4,3.9,70.0,0.18571428571428572,2.1171428571428574,0.3076923076923077,0.6514285714285716,53.0,0.2830188679245283,2.442857142857143,0.38,1.83,17.464796992481205,76.0,0.0,y,Brian Rodriguez
1,Jordan Morris,SEA,F,9600,4.111111111111111,3,2,8,6,2,6,105,5,1,5,2,0,0,8.270270270270272,18.486486486486488,2.7,9.2,0.29347826086956524,0.5223913043478261,1.2,7.600000000000001,0.15789473684210523,0.23217391304347829,12.5,5.2,48.0,0.16666666666666666,2.083333333333333,0.75,1.5624999999999998,34.0,0.17647058823529413,1.5625000000000002,0.38,1.78,14.994208773991382,83.75,35.0,y,Jordan Morris
2,Nicolas Lodeiro,SEA,M/F,9200,4.788888888888889,1,2,3,1,29,8,300,8,5,0,3,0,0,9.459396751740138,14.05336426914153,0.9,9.2,0.09782608695652174,0.1741304347826087,2.7,7.600000000000001,0.3552631578947368,0.5223913043478261,12.5,5.2,48.0,0.0625,0.78125,0.3333333333333333,0.26041666666666663,34.0,0.23529411764705882,2.0833333333333335,0.38,1.78,14.660652173913045,86.2,0.0,y,Nicolas Lodeiro
3,Diego Rossi,LAFC,M/F,10200,4.888888888888889,4,0,15,9,7,7,127,3,1,1,0,0,0,8.578636363636363,16.760454545454547,2.4,7.6,0.3157894736842105,0.5778947368421052,0.9,7.3999999999999995,0.12162162162162163,0.21671052631578952,11.4,3.9,70.0,0.21428571428571427,2.4428571428571426,0.6,1.4657142857142855,53.0,0.1320754716981132,1.1400000000000001,0.38,1.83,14.315781954887218,88.0,0.0,y,Diego Rossi
4,Jose Cifuentes,LAFC,M,6400,4.3,1,1,18,7,10,11,180,5,6,9,3,2,0,13.74418604651163,16.767441860465116,0.9,7.6,0.11842105263157895,0.2167105263157895,1.5,7.3999999999999995,0.20270270270270271,0.36118421052631583,11.4,3.9,70.0,0.2571428571428571,2.931428571428571,0.3888888888888889,1.14,53.0,0.20754716981132076,1.7914285714285716,0.38,1.83,14.217067669172934,77.4,0.0,y,Jose Cifuentes
5,Raul Ruidiaz,SEA,F,9000,3.988888888888889,5,2,13,6,1,6,78,2,4,1,2,0,0,7.335376044568244,22.878551532033427,2.4,9.2,0.2608695652173913,0.4643478260869565,1.4,7.600000000000001,0.18421052631578944,0.2708695652173913,12.5,5.2,48.0,0.2708333333333333,3.3854166666666665,0.46153846153846156,1.5625,34.0,0.17647058823529413,1.5625000000000002,0.38,1.78,13.631112318840579,71.8,0.0,y,Raul Ruidiaz
6,Bradley Wright-Phillips,LAFC,F,8400,3.2,2,1,14,6,0,1,49,5,4,1,1,0,0,8.275,16.4,2.0,7.6,0.2631578947368421,0.48157894736842105,0.2,7.3999999999999995,0.027027027027027032,0.04815789473684212,11.4,3.9,70.0,0.2,2.2800000000000002,0.42857142857142855,0.9771428571428572,53.0,0.018867924528301886,0.16285714285714287,0.38,1.83,9.813868786549708,67.75,27.0,y,Bradley Wright-Phillips
7,Diego Palacios,LAFC,D,4600,3.7666666666666666,0,0,2,0,13,4,187,3,7,9,12,1,0,8.85132743362832,8.453097345132745,0.0,7.6,0.0,0.0,1.3,7.3999999999999995,0.17567567567567569,0.31302631578947376,11.4,3.9,70.0,0.02857142857142857,0.32571428571428573,0.0,0.0,53.0,0.07547169811320754,0.6514285714285715,0.38,1.83,9.3153007518797,84.75,0.0,y,Diego Palacios
8,Nouhou Tolo,SEA,D,4800,2.2888888888888888,0,0,3,2,4,1,86,4,3,5,5,0,0,8.965048543689322,8.965048543689322,0.6,9.2,0.06521739130434782,0.11608695652173913,0.5,7.600000000000001,0.06578947368421051,0.0967391304347826,12.5,5.2,48.0,0.0625,0.78125,0.6666666666666666,0.5208333333333333,34.0,0.029411764705882353,0.2604166666666667,0.38,1.78,8.942639299282398,80.0,15.33333333,y,Nouhou Tolo
9,Joao Paulo Mior,SEA,M,8200,3.888888888888889,1,1,3,1,13,3,226,7,7,6,7,1,0,8.645142857142858,12.373714285714287,0.2,9.2,0.02173913043478261,0.03869565217391305,0.5,7.600000000000001,0.06578947368421051,0.0967391304347826,12.5,5.2,48.0,0.0625,0.78125,0.3333333333333333,0.26041666666666663,34.0,0.08823529411764706,0.7812500000000001,0.38,1.78,8.71145082815735,82.5,20.0,y,Joao Paulo Mior
