Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,TeamSoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting
Brian Rodriguez,LAFC,M/F,9400,4.22,0,2,13,4,34,15,99,7,4,3,2,0,0,15.82,18.66,0.7,9.6,0.07,0.13,2.5,7.8,0.32,0.57,12.5,5.2,79,0.16,2.05,0.31,0.63,60,0.25,2.37,0.38,1.78,15.23,76,,y
Nicolas Lodeiro,SEA,M/F,9200,4.79,1,2,3,1,29,8,300,8,5,0,3,0,0,9.46,14.05,0.9,10.1,0.09,0.16,2.7,8,0.34,0.62,11.4,3.9,56,0.05,0.61,0.33,0.20,38,0.21,1.63,0.38,1.83,14.09,86.2,,y
Jordan Morris,SEA,F,9600,4.11,3,2,8,6,2,6,105,5,1,5,2,0,0,8.27,18.49,2.7,10.1,0.27,0.49,1.2,8,0.15,0.27,11.4,3.9,56,0.14,1.63,0.75,1.22,38,0.16,1.22,0.38,1.83,13.02,83.75,35,y
Diego Rossi,LAFC,M/F,10200,4.89,4,0,15,9,7,7,127,3,1,1,0,0,0,8.58,16.76,2.4,9.6,0.25,0.44,0.9,7.8,0.12,0.21,12.5,5.2,79,0.19,2.37,0.60,1.42,60,0.12,1.11,0.38,1.78,12.55,88,,y
Jose Cifuentes,LAFC,M,6400,4.30,1,1,18,7,10,11,180,5,6,9,3,2,0,13.74,16.77,0.9,9.6,0.09,0.17,1.5,7.8,0.19,0.34,12.5,5.2,79,0.23,2.84,0.39,1.11,60,0.18,1.74,0.38,1.78,12.13,77.4,,y
Raul Ruidiaz,SEA,F,9000,3.99,5,2,13,6,1,6,78,2,4,1,2,0,0,7.34,22.88,2.4,10.1,0.24,0.43,1.4,8,0.18,0.32,11.4,3.9,56,0.23,2.64,0.46,1.22,38,0.16,1.22,0.38,1.83,9.89,71.8,,y
Diego Palacios,LAFC,D,4600,3.77,0,0,2,0,13,4,187,3,7,9,12,1,0,8.85,8.45,0,9.6,0.00,0.00,1.3,7.8,0.17,0.30,12.5,5.2,79,0.03,0.32,0.00,0.00,60,0.07,0.63,0.38,1.78,9.05,84.75,0,y
Nouhou Tolo,SEA,D,4800,2.29,0,0,3,2,4,1,86,4,3,5,5,0,0,8.97,8.97,0.6,10.1,0.06,0.11,0.5,8,0.06,0.11,11.4,3.9,56,0.05,0.61,0.67,0.41,38,0.03,0.20,0.38,1.83,8.28,80,15.33333333,y
Joao Paulo Mior,SEA,M,8200,3.89,1,1,3,1,13,3,226,7,7,6,7,1,0,8.65,12.37,0.2,10.1,0.02,0.04,0.5,8,0.06,0.11,11.4,3.9,56,0.05,0.61,0.33,0.20,38,0.08,0.61,0.38,1.83,8.16,82.5,20,y
Latif Blessing,LAFC,D,5000,4.50,0,0,4,2,0,2,204,13,9,11,8,2,0,7.91,7.24,0.4,9.6,0.04,0.07,0.1,7.8,0.01,0.02,12.5,5.2,79,0.05,0.63,0.50,0.32,60,0.03,0.32,0.38,1.78,7.62,90,45,y
