Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Diego Chara,POR,M,4200,450,0,2,0,0,4,3,275,10,11,10,7,2,0,0.6,90,,y
Dario Zuparic,POR,D,3000,367,0,0,1,1,0,1,171,11,6,2,1,0,0.2,0,90,7,y
Felipe Mora,POR,F,8200,362,4,1,13,8,1,5,68,7,1,4,1,0,3.6,0.5,83,30,y
Larrys Mabiala,POR,D,3200,360,1,0,3,1,1,0,170,2,2,5,7,0,0.9,0,90,0,y
Steve Clark,POR,GK,4800,360,0,0,0,0,0,0,120,0,0,0,0,0,0,0,90,0,
Diego Valeri,POR,M,10000,358,1,1,7,5,17,20,146,4,2,2,0,0,0.4,2.6,78.25,45,y
Eryk Williamson,POR,M,6000,312,0,2,4,1,2,3,126,9,3,7,7,2,0.2,0.6,78,0,y
Jeremy Ebobisse,POR,F,8400,311,3,0,13,6,3,0,69,5,1,0,2,0,1.8,0,89,22,
Yimmi Chara,POR,M/F,7600,299,0,1,4,2,4,5,126,5,1,5,4,0,0.4,1,73.33333333,39.5,y
Marco Farfan,POR,D,3400,292,0,0,3,0,4,0,110,3,7,5,2,2,0,0,87.66666667,14.5,y
Jorge Villafana,POR,D,4000,270,0,1,0,0,5,1,113,3,0,6,3,0,0,0.8,90,0,y
Pablo Bonilla,POR,D,4200,250,0,0,1,0,3,2,79,7,4,3,0,0,0,0.2,83.33333333,0,
Cristhian Paredes,POR,M,3000,196,0,0,2,1,2,3,84,2,4,1,2,2,0,0.1,83,10,
Bill Tuiloma,POR,D,3400,181,1,0,5,2,0,3,86,1,0,1,3,0,0.2,0,90,0.333333333,
Marvin Loria,POR,M,5000,170,0,0,3,2,1,2,48,6,3,1,0,0,0,0.1,71.5,9,
Aljaz Ivacic,POR,GK,4600,90,0,0,0,0,0,0,17,0,0,0,0,0,0,0,90,0,
Andy Polo,POR,M/F,3600,90,0,0,2,1,0,0,45,2,0,1,0,0,0.1,0,90,0,
Jaroslaw Niezgoda,POR,F,7200,90,2,0,2,2,1,0,16,0,1,1,0,0,0.5,0,60,7.5,
Chris Duvall,POR,D,3000,74,0,0,0,0,4,1,23,1,1,1,0,0,0,0,74,0,
Tomas Conechny,POR,F,4000,65,0,0,1,0,0,2,20,2,2,0,1,0,0,0.1,45,5,
Renzo Zambrano,POR,M,3200,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,0.6,
Cristian Roldan,SEA,M,6400,450,2,1,8,4,12,9,160,3,8,5,3,0,2.8,1.6,90,,y
Jordan Morris,SEA,F,9600,450,2,2,11,3,7,5,137,3,1,2,0,0,2.5,1.2,90,,y
Nicolas Lodeiro,SEA,M/F,12800,450,1,2,12,7,25,16,287,21,2,4,3,1,1.1,2.7,90,,y
Stefan Frei,SEA,GK,7000,450,0,0,0,0,0,0,135,1,0,0,0,0,0,0,90,,
Joao Paulo Mior,SEA,M,7800,444,1,1,6,2,6,5,292,7,10,8,8,2,0.2,0.7,88.8,,y
Yeimar Gomez Andrade,SEA,D,4400,438,1,0,7,2,0,0,238,7,3,3,9,2,0.6,0,87.6,,y
Nouhou Tolo,SEA,D,5200,360,0,0,1,1,7,1,186,7,3,5,7,0,0,0,81.75,33,y
Will Bruin,SEA,F,5800,314,0,0,6,1,2,4,54,3,2,2,1,0,1.3,0.3,74.75,15,y
Kelvin Leerdam,SEA,D,5600,302,0,0,2,0,4,2,169,1,3,1,0,0,0.5,0,75.25,1,y
Shane O'Neill,SEA,D,3800,282,0,0,0,0,2,2,148,1,2,3,0,1,0,0.2,90,6,y
Jordy Delem,SEA,M,3200,267,0,0,2,0,0,0,124,5,5,4,4,1,0.1,0,79,15,y
Xavier Arreaga,SEA,D,3200,180,0,0,0,0,0,0,94,2,0,2,1,0,0,0,90,0,
Alex Roldan,SEA,M,3400,165,0,0,0,0,3,1,73,1,2,1,1,0,0,0.3,90,18.75,
Gustav Svensson,SEA,M,3800,150,0,0,3,2,0,1,82,1,3,5,1,0,0.1,0.2,75,0,
Brad Smith,SEA,D,3800,123,0,0,2,1,10,1,63,0,1,1,0,0,0.1,0.1,57,16.5,
Raul Ruidiaz,SEA,F,9800,75,1,0,4,2,1,1,16,1,1,0,0,0,0.9,0,75,0,
Miguel Ibarra,SEA,M,3200,22,0,0,1,0,0,0,12,0,0,0,0,0,0,0,,4.4,
Roman Torres,SEA,D,3000,22,0,0,0,0,0,0,14,0,0,0,1,0,0,0,,4.4,
Joshua Atencio,SEA,M,3000,6,0,0,0,0,0,0,16,0,0,0,0,0,0,0,,1.2,
