Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
Nicolas Lodeiro,SEA,M/F,12800,5,1,2,12,7,25,16,287,21,2,4,3,1,16.748,20.848,1.1,9.1,0.120879121,0.217582418,2.7,6.7,0.402985075,0.534065934,15.72185813,4.594429114,55,0.218181818,3.430223591,0.583333333,2.000963762,44,0.363636364,4.573631455,57.89,1.8,24.83303859,90,0,y,Nicolas Lodeiro
Felipe Mora,POR,F,8200,4.022222222,4,1,13,8,1,5,68,7,1,4,1,0,9.711049724,21.14751381,3.6,5.7,0.631578947,0.893684211,0.5,6.1,0.081967213,0.124122807,9.398889818,4.688369325,35,0.371428571,3.491016218,0.615384615,2.148317673,38,0.131578947,1.342698545,22.22,1.415,19.65803127,83,30,y,Felipe Mora
Diego Valeri,POR,M,10000,3.977777778,1,1,7,5,17,20,146,4,2,2,0,0,13.0273743,17.04972067,0.4,5.7,0.070175439,0.099298246,2.6,6.1,0.426229508,0.645438596,9.398889818,4.688369325,35,0.2,1.879777964,0.714285714,1.342698545,38,0.526315789,5.370794181,22.22,1.415,17.79104953,78.25,45,y,Diego Valeri
Cristian Roldan,SEA,M,6400,5,2,1,8,4,12,9,160,3,8,5,3,0,7.62,12.82,2.8,9.1,0.307692308,0.553846154,1.6,6.7,0.23880597,0.316483516,15.72185813,4.594429114,55,0.145454545,2.286815728,0.5,1.143407864,44,0.204545455,2.572667693,57.89,1.8,16.86025392,90,0,y,Cristian Roldan
Jordan Morris,SEA,F,9600,5,2,2,11,3,7,5,137,3,1,2,0,0,6.228,12.628,2.5,9.1,0.274725275,0.494505495,1.2,6.7,0.179104478,0.237362637,15.72185813,4.594429114,55,0.2,3.144371625,0.272727273,0.857555898,44,0.113636364,1.42925983,57.89,1.8,14.22841812,90,0,y,Jordan Morris
Yimmi Chara,POR,M/F,7600,3.322222222,0,1,4,2,4,5,126,5,1,5,4,0,8.373913043,10.17993311,0.4,5.7,0.070175439,0.099298246,1,6.1,0.163934426,0.248245614,9.398889818,4.688369325,35,0.114285714,1.074158836,0.5,0.537079418,38,0.131578947,1.342698545,22.22,1.415,9.561699517,73.33333333,39.5,y,Yimmi Chara
Joao Paulo Mior,SEA,M,7800,4.933333333,1,1,6,2,6,5,292,7,10,8,8,2,7.508108108,10.14324324,0.2,9.1,0.021978022,0.03956044,0.7,6.7,0.104477612,0.138461538,15.72185813,4.594429114,55,0.109090909,1.715111796,0.333333333,0.571703932,44,0.113636364,1.42925983,57.89,1.8,9.150449184,88.8,0,y,Joao Paulo Mior
Eryk Williamson,POR,M,6000,3.466666667,0,2,4,1,2,3,126,9,3,7,7,2,8.630769231,11.22692308,0.2,5.7,0.035087719,0.049649123,0.6,6.1,0.098360656,0.148947368,9.398889818,4.688369325,35,0.114285714,1.074158836,0.25,0.268539709,38,0.078947368,0.805619127,22.22,1.415,8.268493111,78,0,y,Eryk Williamson
Will Bruin,SEA,F,5800,3.488888889,0,0,6,1,2,4,54,3,2,2,1,0,5.153503185,5.153503185,1.3,9.1,0.142857143,0.257142857,0.3,6.7,0.044776119,0.059340659,15.72185813,4.594429114,55,0.109090909,1.715111796,0.166666667,0.285851966,44,0.090909091,1.143407864,57.89,1.8,7.73348428,74.75,15,y,Will Bruin
Jorge Villafana,POR,D,4000,3,0,1,0,0,5,1,113,3,0,6,3,0,5.753333333,7.753333333,0,5.7,0,0,0.8,6.1,0.131147541,0.198596491,9.398889818,4.688369325,35,0,0,0,0,38,0.026315789,0.268539709,22.22,1.415,6.880118656,90,0,y,Jorge Villafana
Yeimar Gomez Andrade,SEA,D,4400,4.866666667,1,0,7,2,0,0,238,7,3,3,9,2,5.498630137,6.936986301,0.6,9.1,0.065934066,0.118681319,0,6.7,0,0,15.72185813,4.594429114,55,0.127272727,2.000963762,0.285714286,0.571703932,44,0,0,57.89,1.8,6.71148088,87.6,0,y,Yeimar Gomez Andrade
Larrys Mabiala,POR,D,3200,4,1,0,3,1,1,0,170,2,2,5,7,0,4.4,6.9,0.9,5.7,0.157894737,0.223421053,0,6.1,0,0,9.398889818,4.688369325,35,0.085714286,0.805619127,0.333333333,0.268539709,38,0,0,22.22,1.415,6.708369363,90,0,y,Larrys Mabiala
Diego Chara,POR,M,4200,5,0,2,0,0,4,3,275,10,11,10,7,2,5.86,7.66,0,5.7,0,0,0.6,6.1,0.098360656,0.148947368,9.398889818,4.688369325,35,0,0,0,0,38,0.078947368,0.805619127,22.22,1.415,6.359303338,90,0,y,Diego Chara
Nouhou Tolo,SEA,D,5200,4,0,0,1,1,7,1,186,7,3,5,7,0,6.405,6.405,0,9.1,0,0,0,6.7,0,0,15.72185813,4.594429114,55,0.018181818,0.285851966,1,0.285851966,44,0.022727273,0.285851966,57.89,1.8,5.994180898,81.75,33,y,Nouhou Tolo
Dario Zuparic,POR,D,3000,4.077777778,0,0,1,1,0,1,171,11,6,2,1,0,4.149318801,4.149318801,0.2,5.7,0.035087719,0.049649123,0,6.1,0,0,9.398889818,4.688369325,35,0.028571429,0.268539709,1,0.268539709,38,0.026315789,0.268539709,22.22,1.415,4.715734333,90,7,y,Dario Zuparic
Kelvin Leerdam,SEA,D,5600,3.355555556,0,0,2,0,4,2,169,1,3,1,0,0,3.182781457,3.182781457,0.5,9.1,0.054945055,0.098901099,0,6.7,0,0,15.72185813,4.594429114,55,0.036363636,0.571703932,0,0,44,0.045454545,0.571703932,57.89,1.8,3.796889051,75.25,1,y,Kelvin Leerdam
Jordy Delem,SEA,M,3200,2.966666667,0,0,2,0,0,0,124,5,5,4,4,1,4.375280899,3.869662921,0.1,9.1,0.010989011,0.01978022,0,6.7,0,0,15.72185813,4.594429114,55,0.036363636,0.571703932,0,0,44,0,0,57.89,1.8,3.57444995,79,15,y,Jordy Delem
Marco Farfan,POR,D,3400,3.244444444,0,0,3,0,4,0,110,3,7,5,2,2,4.160958904,3.23630137,0,5.7,0,0,0,6.1,0,0,9.398889818,4.688369325,35,0.085714286,0.805619127,0,0,38,0,0,22.22,1.415,3.057331456,87.66666667,14.5,y,Marco Farfan
Shane O'Neill,SEA,D,3800,3.133333333,0,0,0,0,2,2,148,1,2,3,0,1,2.987234043,2.508510638,0,9.1,0,0,0.2,6.7,0.029850746,0.03956044,15.72185813,4.594429114,55,0,0,0,0,44,0.045454545,0.571703932,57.89,1.8,2.679279335,90,6,y,Shane O'Neill
