player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Alex Roldan,SEA,DELETE,DELETE,165.0,0.0,0.0,0.0,0.0,3.0,1.0,73.0,1.0,2.0,1.0,1.0,0.0,0.0,0.3,DELETE,DELETE,DELETE
Brad Smith,SEA,DELETE,DELETE,123.0,0.0,0.0,2.0,1.0,10.0,1.0,63.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,DELETE,DELETE,DELETE
Cristian Roldan,SEA,DELETE,DELETE,450.0,2.0,1.0,8.0,4.0,12.0,9.0,160.0,3.0,8.0,5.0,3.0,0.0,2.8,1.6,DELETE,DELETE,DELETE
Gustav Svensson,SEA,DELETE,DELETE,150.0,0.0,0.0,3.0,2.0,0.0,1.0,82.0,1.0,3.0,5.0,1.0,0.0,0.1,0.2,DELETE,DELETE,DELETE
Joao Paulo Mior,SEA,DELETE,DELETE,444.0,1.0,1.0,6.0,2.0,6.0,5.0,292.0,7.0,10.0,8.0,8.0,2.0,0.2,0.7,DELETE,DELETE,DELETE
Jordan Morris,SEA,DELETE,DELETE,450.0,2.0,2.0,11.0,3.0,7.0,5.0,137.0,3.0,1.0,2.0,0.0,0.0,2.5,1.2000000000000002,DELETE,DELETE,DELETE
Jordy Delem,SEA,DELETE,DELETE,267.0,0.0,0.0,2.0,0.0,0.0,0.0,124.0,5.0,5.0,4.0,4.0,1.0,0.1,0.0,DELETE,DELETE,DELETE
Kelvin Leerdam,SEA,DELETE,DELETE,302.0,0.0,0.0,2.0,0.0,4.0,2.0,169.0,1.0,3.0,1.0,0.0,0.0,0.5,0.0,DELETE,DELETE,DELETE
Miguel Ibarra,SEA,DELETE,DELETE,22.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Nicolas Lodeiro,SEA,DELETE,DELETE,450.0,1.0,2.0,12.0,7.0,25.0,16.0,287.0,21.0,2.0,4.0,3.0,1.0,1.0999999999999999,2.7,DELETE,DELETE,DELETE
Nouhou Tolo,SEA,DELETE,DELETE,360.0,0.0,0.0,1.0,1.0,7.0,1.0,186.0,7.0,3.0,5.0,7.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Shane O'Neill,SEA,DELETE,DELETE,282.0,0.0,0.0,0.0,0.0,2.0,2.0,148.0,1.0,2.0,3.0,0.0,1.0,0.0,0.2,DELETE,DELETE,DELETE
Stefan Frei,SEA,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Will Bruin,SEA,DELETE,DELETE,314.0,0.0,0.0,6.0,1.0,2.0,4.0,54.0,3.0,2.0,2.0,1.0,0.0,1.3,0.3,DELETE,DELETE,DELETE
Xavier Arreaga,SEA,DELETE,DELETE,180.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Yeimar Gomez Andrade,SEA,DELETE,DELETE,438.0,1.0,0.0,7.0,2.0,0.0,0.0,238.0,7.0,3.0,3.0,9.0,2.0,0.6000000000000001,0.0,DELETE,DELETE,DELETE
Joshua Atencio,SEA,DELETE,DELETE,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Raul Ruidiaz,SEA,DELETE,DELETE,75.0,1.0,0.0,4.0,2.0,1.0,1.0,16.0,1.0,1.0,0.0,0.0,0.0,0.9,0.0,DELETE,DELETE,DELETE
Roman Torres,SEA,DELETE,DELETE,22.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Andy Polo,POR,DELETE,DELETE,90.0,0.0,0.0,2.0,1.0,0.0,0.0,45.0,2.0,0.0,1.0,0.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Cristhian Paredes,POR,DELETE,DELETE,196.0,0.0,0.0,2.0,1.0,2.0,3.0,84.0,2.0,4.0,1.0,2.0,2.0,0.0,0.1,DELETE,DELETE,DELETE
Dario Zuparic,POR,DELETE,DELETE,367.0,0.0,0.0,1.0,1.0,0.0,1.0,171.0,11.0,6.0,2.0,1.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
Diego Chara,POR,DELETE,DELETE,450.0,0.0,2.0,0.0,0.0,4.0,3.0,275.0,10.0,11.0,10.0,7.0,2.0,0.0,0.6,DELETE,DELETE,DELETE
Diego Valeri,POR,DELETE,DELETE,358.0,1.0,1.0,7.0,5.0,17.0,20.0,146.0,4.0,2.0,2.0,0.0,0.0,0.4,2.6,DELETE,DELETE,DELETE
Eryk Williamson,POR,DELETE,DELETE,312.0,0.0,2.0,4.0,1.0,2.0,3.0,126.0,9.0,3.0,7.0,7.0,2.0,0.2,0.6000000000000001,DELETE,DELETE,DELETE
Felipe Mora,POR,DELETE,DELETE,362.0,4.0,1.0,13.0,8.0,1.0,5.0,68.0,7.0,1.0,4.0,1.0,0.0,3.6,0.5,DELETE,DELETE,DELETE
Jaroslaw Niezgoda,POR,DELETE,DELETE,90.0,2.0,0.0,2.0,2.0,1.0,0.0,16.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,DELETE,DELETE,DELETE
Jeremy Ebobisse,POR,DELETE,DELETE,311.0,3.0,0.0,13.0,6.0,3.0,0.0,69.0,5.0,1.0,0.0,2.0,0.0,1.8,0.0,DELETE,DELETE,DELETE
Larrys Mabiala,POR,DELETE,DELETE,360.0,1.0,0.0,3.0,1.0,1.0,0.0,170.0,2.0,2.0,5.0,7.0,0.0,0.8999999999999999,0.0,DELETE,DELETE,DELETE
Marco Farfan,POR,DELETE,DELETE,292.0,0.0,0.0,3.0,0.0,4.0,0.0,110.0,3.0,7.0,5.0,2.0,2.0,0.0,0.0,DELETE,DELETE,DELETE
Marvin Loria,POR,DELETE,DELETE,170.0,0.0,0.0,3.0,2.0,1.0,2.0,48.0,6.0,3.0,1.0,0.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Pablo Bonilla,POR,DELETE,DELETE,250.0,0.0,0.0,1.0,0.0,3.0,2.0,79.0,7.0,4.0,3.0,0.0,0.0,0.0,0.2,DELETE,DELETE,DELETE
Steve Clark,POR,DELETE,DELETE,360.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Yimmi Chara,POR,DELETE,DELETE,299.0,0.0,1.0,4.0,2.0,4.0,5.0,126.0,5.0,1.0,5.0,4.0,0.0,0.4,1.0,DELETE,DELETE,DELETE
Jorge Villafana,POR,DELETE,DELETE,270.0,0.0,1.0,0.0,0.0,5.0,1.0,113.0,3.0,0.0,6.0,3.0,0.0,0.0,0.8,DELETE,DELETE,DELETE
Tomas Conechny,POR,DELETE,DELETE,65.0,0.0,0.0,1.0,0.0,0.0,2.0,20.0,2.0,2.0,0.0,1.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Bill Tuiloma,POR,DELETE,DELETE,181.0,1.0,0.0,5.0,2.0,0.0,3.0,86.0,1.0,0.0,1.0,3.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
Renzo Zambrano,POR,DELETE,DELETE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Aljaz Ivacic,POR,DELETE,DELETE,90.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Chris Duvall,POR,DELETE,DELETE,74.0,0.0,0.0,0.0,0.0,4.0,1.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
