Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,TeamSoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting
Nicolas Lodeiro,SEA,M/F,12000,3.86,1,1,3,1,25,5,242,7,4,0,3,0,0,9.81,13.96,0.9,5.3,0.17,0.36,1.3,3.2,0.41,0.85,17.0,4.9,40,0.08,1.27,0.33,0.42,22,0.23,2.12,0.58,2.09,21.28,86.75,,y
Jordan Morris,SEA,F,10600,3.11,2,0,5,3,2,3,80,3,1,4,1,0,0,6.75,13.18,1.5,5.3,0.28,0.59,0.3,3.2,0.09,0.20,17.0,4.9,40,0.13,2.12,0.60,1.27,22,0.14,1.27,0.58,2.09,15.64,81.66666667,35,y
Raul Ruidiaz,SEA,F,10200,3.37,3,1,11,4,1,3,59,2,3,0,1,0,0,6.20,16.90,1.3,5.3,0.25,0.51,0.4,3.2,0.13,0.26,17.0,4.9,40,0.28,4.67,0.36,1.70,22,0.14,1.27,0.58,2.09,14.84,75.75,,y
Joao Paulo Mior,SEA,M,8600,2.89,0,1,2,0,13,2,169,7,7,5,7,1,0,9.86,11.42,0,5.3,0.00,0.00,0.5,3.2,0.16,0.33,17.0,4.9,40,0.05,0.85,0.00,0.00,22,0.09,0.85,0.58,2.09,12.37,80,20,y
Kelvin Leerdam,SEA,D,6400,3.09,2,0,4,2,7,2,124,0,3,2,5,1,0,5.95,11.94,0.6,5.3,0.11,0.24,0.2,3.2,0.06,0.13,17.0,4.9,40,0.10,1.70,0.50,0.85,22,0.09,0.85,0.58,2.09,11.47,90,8,y
Cristian Roldan,SEA,M,5200,3.96,0,0,4,1,12,3,113,10,4,3,1,1,0,7.62,7.25,0,5.3,0.00,0.00,0.2,3.2,0.06,0.13,17.0,4.9,40,0.10,1.70,0.25,0.42,22,0.14,1.27,0.58,2.09,11.34,89,,y
Joevin Jones,SEA,M,7800,2.79,0,1,1,0,9,1,173,6,3,2,2,0,0,6.91,9.06,0,5.3,0.00,0.00,0.1,3.2,0.03,0.07,17.0,4.9,40,0.03,0.42,0.00,0.00,22,0.05,0.42,0.58,2.09,8.40,77,20,y
Yeimar Gomez Andrade,SEA,D,4000,4.00,1,0,2,1,0,0,134,2,5,5,15,0,0,4.42,6.92,0.1,5.3,0.02,0.04,0,3.2,0.00,0.00,17.0,4.9,40,0.05,0.85,0.50,0.42,22,0.00,0.00,0.58,2.09,7.38,90,,y
Nouhou Tolo,SEA,D,5000,1.29,0,0,0,0,3,0,51,2,2,3,3,0,0,6.69,6.69,0,5.3,0.00,0.00,0,3.2,0.00,0.00,17.0,4.9,40,0.00,0.00,0.00,0.00,22,0.00,0.00,0.58,2.09,7.25,70,15.33333333,y
Marcos Lopez,SJ,D,3400,1.50,0,0,0,0,10,0,54,4,2,2,1,0,0,9.05,9.05,0,2.6,0.00,0.00,0,1.3,0.00,0.00,8.8,2.8,33,0.00,0.00,0.00,0.00,21,0.00,0.00,0.17,1.28,7.01,90,45,y
