Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,FPPG,FPP90,Floor,Floor90,FPPG-Floor,FPP90-Floor90,Team_Odds,FPPG_w_Odds,FPPG/$1000,Floor_w_Odds,Floor/$1000,FPP90_w_Odds,FPP90/$1000,Floor90_w_Odds,Floor90/$1000,Starting
B. Fernandes,MU,M,11400,4.28,3,0,10,5,19,10,214,6,2,2,0,1,0,15.62,18.25,9.62,11.24,6.00,7.01,0.38,14.46,1.27,8.46,0.74,17.10,1.50,10.09,0.88,y
E. Banega,SEV,M,9600,3.23,0,1,7,3,16,10,279,5,3,7,3,1,0,10.66,16.48,9.46,14.62,1.20,1.86,0.31,8.73,0.91,7.53,0.78,14.56,1.52,12.70,1.32,y
L. Ocampos,SEV,M/F,8600,4.16,2,1,13,5,6,1,99,8,9,3,0,0,0,11.54,13.88,6.34,7.62,5.20,6.26,0.31,9.61,1.12,4.41,0.51,11.96,1.39,5.70,0.66,y
A. Martial,MU,M/F,9400,3.90,1,1,9,5,1,5,79,13,1,0,1,0,0,10.06,12.89,6.86,8.79,3.20,4.10,0.38,8.90,0.95,5.70,0.61,11.74,1.25,7.64,0.81,y
Y. En-Nesyri,SEV,F,7200,3.38,2,0,12,4,1,1,38,6,3,2,1,1,0,8.79,13.01,4.79,7.09,4.00,5.92,0.31,6.87,0.95,2.87,0.40,11.09,1.54,5.17,0.72,y
S. Reguilon,SEV,D,6600,5.00,2,0,6,2,10,6,288,5,7,3,7,0,0,10.95,10.95,6.95,6.95,4.00,4.00,0.31,9.03,1.37,5.03,0.76,9.03,1.37,5.03,0.76,y
M. Greenwood,MU,M/F,7800,3.23,1,0,7,3,2,3,93,3,4,1,1,0,0,5.75,8.89,3.75,5.80,2.00,3.09,0.38,4.60,0.59,2.60,0.33,7.74,0.99,4.65,0.60,y
Suso,SEV,M/F,7000,2.98,0,0,5,1,7,4,133,6,1,0,1,0,0,4.71,7.91,4.71,7.91,0.00,0.00,0.31,2.79,0.40,2.79,0.40,5.99,0.86,5.99,0.86,y
A. Wan Bissaka,MU,D,4800,3.70,0,0,0,0,6,3,171,3,1,7,9,0,0,4.92,6.65,4.92,6.65,0.00,0.00,0.38,3.77,0.79,3.77,0.79,5.50,1.15,5.50,1.15,y
B. Williams,MU,D,4400,5.12,0,0,0,0,6,5,305,8,2,7,7,1,0,6.26,6.11,6.26,6.11,0.00,0.00,0.38,5.11,1.16,5.11,1.16,4.96,1.13,4.96,1.13,y
