Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aymeric Laporte,MCI,D,3800,90,0,0,1,0,0,0,28,2,0,1,1,0,0.1,0,90,0,y
Benjamin Mendy,MCI,D,6000,250,0,0,1,0,4,1,132,0,6,3,1,2,0,0,83.33333333,0,
Bernardo Silva,MCI,M/F,9800,183,0,0,2,0,1,2,110,3,2,3,0,0,0.2,0.1,78.5,8.666666667,y
Ederson,MCI,GK,9000,450,0,0,0,0,0,0,122,1,0,0,0,0,0,0,90,,
Eric Garcia,MCI,D,3000,180,0,0,1,0,0,1,188,1,1,2,3,0,0,0,90,0,
Fernandinho,MCI,M,3000,156,0,0,4,1,0,0,155,1,2,4,1,0,0.2,0,70,5.333333333,
Ferran Torres,MCI,M,10000,101,0,1,3,0,5,2,32,1,2,0,0,0,0.1,0.2,64,9.25,y
Gabriel Jesus,MCI,F,10800,90,1,0,3,3,0,1,26,3,1,0,0,1,0.3,0.3,90,0,
Ilkay Gundogan,MCI,M,5400,116,0,0,2,0,3,3,117,1,1,0,1,0,0.1,0.2,90,6.5,
Joao Cancelo,MCI,D,8200,180,0,1,2,0,8,5,113,3,3,3,3,1,0.1,0.4,90,0,y
John Stones,MCI,D,3200,90,0,0,0,0,0,0,67,1,0,1,0,0,0,0,90,0,
Kevin De Bruyne,MCI,M,12800,293,1,1,11,4,14,15,166,3,5,9,0,0,1.5,1.3,90,11.5,y
Kyle Walker,MCI,D,7600,437,0,0,5,2,4,3,350,0,4,8,4,0,0.1,0.2,87.4,,y
Liam Delap,MCI,F,9200,40,0,0,1,0,0,0,5,0,1,0,0,0,0,0,,8,
Nathan Ake,MCI,D,3400,290,1,0,1,1,0,1,226,1,1,1,1,2,0.1,0,90,10,
Oleksandr Zinchenko,MCI,D,6400,13,0,0,0,0,1,0,8,0,0,0,0,0,0,0,,2.6,
Phil Foden,MCI,M,10400,376,2,0,11,5,5,3,151,3,2,1,1,0,1.5,0.1,82.75,45,
Raheem Sterling,MCI,M/F,11400,440,2,1,12,5,5,6,141,7,9,4,0,0,1.5,0.5,88,,y
Riyad Mahrez,MCI,M/F,12000,346,1,1,13,5,5,6,151,6,5,4,0,0,0.6,0.6,86.5,0,y
Rodri,MCI,M,3200,450,0,0,4,0,0,4,382,6,7,11,3,2,0,0.1,90,,y
Ruben Dias,MCI,D,3400,270,0,0,1,0,0,1,211,4,2,0,2,1,0.2,0,90,0,y
Sergio Aguero,MCI,F,9400,109,0,0,1,0,1,3,28,2,0,0,0,0,0.1,0.6,54.5,0,
Aaron Ramsdale,SHU,GK,4000,450,0,0,0,0,0,1,63,1,0,0,0,0,0,0.1,90,,
Ben Osborn,SHU,M,3600,270,0,0,2,1,9,3,95,2,3,4,1,0,0.3,0.4,80.66666667,14,y
Billy Sharp,SHU,F,7400,42,1,0,1,0,0,0,7,2,2,0,0,0,0.9,0,,8.4,
Chris Basham,SHU,D,4400,402,0,0,2,0,6,2,111,7,8,12,4,0,0.2,0.2,80.4,,y
David McGoldrick,SHU,F,4800,271,1,0,6,1,3,1,66,5,5,1,0,0,0.1,0.5,75.33333333,15,
Enda Stevens,SHU,D,5600,450,0,0,5,2,5,1,161,1,4,9,1,1,0,0,90,,
Ethan Ampadu,SHU,D,3000,240,0,0,2,0,0,1,70,1,0,4,2,0,0.1,0.2,90,15,y
George Baldock,SHU,D,5200,450,0,1,3,1,9,3,128,1,7,0,0,1,0.2,0.4,90,,y
Jack O'Connell,SHU,D,3200,90,0,0,0,0,0,0,19,0,0,1,0,0,0,0,90,0,
Jack Robinson,SHU,D,3200,252,0,0,2,0,7,0,106,1,4,3,2,0,0.3,0,90,15,
John Egan,SHU,D,3800,281,0,0,1,0,0,0,84,1,4,5,1,0,0,0,90,0,y
John Fleck,SHU,M,6600,90,0,0,0,0,0,1,19,0,1,1,1,0,0,0,62,7,
John Lundstram,SHU,M,6200,408,0,0,5,2,6,7,146,3,6,1,4,3,1.4,0.2,81.6,,
Max Lowe,SHU,D,3000,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,3.6,y
Oliver Burke,SHU,M/F,3600,255,0,0,4,0,4,3,27,2,6,2,1,0,0.3,0.2,72.66666667,18.5,
Oliver McBurnie,SHU,F,5800,255,0,0,6,3,1,3,66,4,2,1,1,0,0.6,0.2,90,25,y
Oliver Norwood,SHU,M,5000,117,0,0,0,0,2,2,62,1,1,1,0,0,0,0.1,90,6.75,
Rhian Brewster,SHU,F,4600,80,0,0,0,0,0,1,11,0,1,0,0,0,0,0,53,6.75,y
Sander Berge,SHU,M,4200,450,1,0,4,1,8,5,145,2,6,6,2,2,0.8,0.3,90,,y
