,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Kevin De Bruyne,MCI,M,12800,3.2555555555555555,1,1,11,4,14,15,166,3,5,9,0,0,16.163139931740613,21.077815699658704,1.5,4.4,0.3409090909090909,1.009090909090909,1.3,3.4000000000000004,0.38235294117647056,0.8745454545454544,14.210775005196112,5.517561131612865,54.0,0.2037037037037037,2.894787501058467,0.36363636363636365,1.052650000384897,44.0,0.3409090909090909,3.947437501443364,75.0,2.96,30.18117968796274,90.0,11.5,y,Kevin De Bruyne
1,Raheem Sterling,MCI,M/F,11400,4.888888888888889,2,1,12,5,5,6,141,7,9,4,0,0,7.326818181818181,12.645,1.5,4.4,0.3409090909090909,1.009090909090909,0.5,3.4000000000000004,0.14705882352941174,0.3363636363636363,14.210775005196112,5.517561131612865,54.0,0.2222222222222222,3.1579500011546915,0.4166666666666667,1.3158125004811214,44.0,0.13636363636363635,1.5789750005773455,75.0,2.96,20.725828411304065,88.0,0.0,y,Raheem Sterling
2,Riyad Mahrez,MCI,M/F,12000,3.8444444444444446,1,1,13,5,5,6,151,6,5,4,0,0,9.889595375722543,14.051445086705202,0.6,4.4,0.13636363636363635,0.4036363636363636,0.6,3.4000000000000004,0.1764705882352941,0.40363636363636357,14.210775005196112,5.517561131612865,54.0,0.24074074074074073,3.421112501250916,0.38461538461538464,1.3158125004811216,44.0,0.13636363636363635,1.5789750005773455,75.0,2.96,16.2790818204912,86.5,0.0,y,Riyad Mahrez
3,Joao Cancelo,MCI,D,8200,2.0,0,1,2,0,8,5,113,3,3,3,3,1,10.43,12.680000000000001,0.1,4.4,0.022727272727272728,0.06727272727272728,0.4,3.4000000000000004,0.11764705882352941,0.26909090909090905,14.210775005196112,5.517561131612865,54.0,0.037037037037037035,0.5263250001924485,0.0,0.0,44.0,0.11363636363636363,1.3158125004811214,75.0,2.96,10.309410227946298,90.0,0.0,y,Joao Cancelo
4,Oliver McBurnie,SHU,F,5800,2.8333333333333335,0,0,6,3,1,3,66,4,2,1,1,0,6.536470588235294,6.536470588235294,0.6,2.2,0.2727272727272727,0.1309090909090909,0.2,1.7000000000000002,0.11764705882352941,0.04363636363636363,9.530693659467069,3.5926968364209726,20.0,0.3,2.8592080978401206,0.5,1.4296040489200603,18.0,0.16666666666666666,1.4296040489200603,10.0,0.48,9.590501757177567,90.0,25.0,y,Oliver McBurnie
5,Sander Berge,SHU,M,4200,5.0,1,0,4,1,8,5,145,2,6,6,2,2,4.9,6.3,0.8,2.2,0.36363636363636365,0.17454545454545453,0.3,1.7000000000000002,0.1764705882352941,0.06545454545454545,9.530693659467069,3.5926968364209726,20.0,0.2,1.9061387318934138,0.25,0.47653468297335344,18.0,0.2777777777777778,2.382673414866767,10.0,0.48,9.203528647915352,90.0,0.0,y,Sander Berge
6,Ben Osborn,SHU,M,3600,3.0,0,0,2,1,9,3,95,2,3,4,1,0,6.400000000000001,6.400000000000001,0.3,2.2,0.13636363636363635,0.06545454545454545,0.4,1.7000000000000002,0.23529411764705882,0.08727272727272727,9.530693659467069,3.5926968364209726,20.0,0.1,0.9530693659467069,0.5,0.47653468297335344,18.0,0.16666666666666666,1.4296040489200603,10.0,0.48,7.981093619888604,80.66666667,14.0,y,Ben Osborn
7,Kyle Walker,MCI,D,7600,4.855555555555555,0,0,5,2,4,3,350,0,4,8,4,0,5.725400457665905,5.725400457665905,0.1,4.4,0.022727272727272728,0.06727272727272728,0.2,3.4000000000000004,0.058823529411764705,0.13454545454545452,14.210775005196112,5.517561131612865,54.0,0.09259259259259259,1.3158125004811214,0.4,0.5263250001924485,44.0,0.06818181818181818,0.7894875002886728,75.0,2.96,7.671625000962243,87.4,0.0,y,Kyle Walker
8,Chris Basham,SHU,D,4400,4.466666666666667,0,0,2,0,6,2,111,7,8,12,4,0,6.138805970149254,6.138805970149254,0.2,2.2,0.09090909090909091,0.04363636363636363,0.2,1.7000000000000002,0.11764705882352941,0.04363636363636363,9.530693659467069,3.5926968364209726,20.0,0.1,0.9530693659467069,0.0,0.0,18.0,0.1111111111111111,0.9530693659467069,10.0,0.48,7.288320550075233,80.4,0.0,y,Chris Basham
9,Rodri,MCI,M,3200,5.0,0,0,4,0,0,4,382,6,7,11,3,2,6.128,5.5280000000000005,0.0,4.4,0.0,0.0,0.1,3.4000000000000004,0.029411764705882353,0.06727272727272726,14.210775005196112,5.517561131612865,54.0,0.07407407407407407,1.052650000384897,0.0,0.0,44.0,0.09090909090909091,1.052650000384897,75.0,2.96,6.436936364406158,90.0,0.0,y,Rodri
10,Bernardo Silva,MCI,M/F,9800,2.033333333333333,0,0,2,0,1,2,110,3,2,3,0,0,5.852459016393444,5.852459016393444,0.2,4.4,0.045454545454545456,0.13454545454545455,0.1,3.4000000000000004,0.029411764705882353,0.06727272727272726,14.210775005196112,5.517561131612865,54.0,0.037037037037037035,0.5263250001924485,0.0,0.0,44.0,0.045454545454545456,0.5263250001924485,75.0,2.96,6.190538723683457,78.5,8.666666667000001,y,Bernardo Silva
11,Ferran Torres,MCI,M,10000,1.1222222222222222,0,1,3,0,5,2,32,1,2,0,0,0,8.144554455445546,13.491089108910892,0.1,4.4,0.022727272727272728,0.06727272727272728,0.2,3.4000000000000004,0.058823529411764705,0.13454545454545452,14.210775005196112,5.517561131612865,54.0,0.05555555555555555,0.7894875002886729,0.0,0.0,44.0,0.045454545454545456,0.5263250001924485,75.0,2.96,5.419178837114785,64.0,9.25,y,Ferran Torres
12,George Baldock,SHU,D,5200,5.0,0,1,3,1,9,3,128,1,7,0,0,1,2.6719999999999997,3.572,0.2,2.2,0.09090909090909091,0.04363636363636363,0.4,1.7000000000000002,0.23529411764705882,0.08727272727272727,9.530693659467069,3.5926968364209726,20.0,0.15,1.4296040489200603,0.3333333333333333,0.47653468297335344,18.0,0.16666666666666666,1.4296040489200603,10.0,0.48,5.267742780813474,90.0,0.0,y,George Baldock
13,Aymeric Laporte,MCI,D,3800,1.0,0,0,1,0,0,0,28,2,0,1,1,0,5.0600000000000005,5.0600000000000005,0.1,4.4,0.022727272727272728,0.06727272727272728,0.0,3.4000000000000004,0.0,0.0,14.210775005196112,5.517561131612865,54.0,0.018518518518518517,0.26316250009622427,0.0,0.0,44.0,0.0,0.0,75.0,2.96,4.995889772823498,90.0,0.0,y,Aymeric Laporte
