Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aaron Ramsdale,SHU,GK,5400,450,0,0,0,0,0,0,62,0,0,0,0,0,0,0,90,,
Ben Osborn,SHU,M,3400,235,0,0,1,1,7,2,79,1,1,2,1,0,0.1,0,68.66666667,14.5,
Billy Sharp,SHU,F,9800,25,1,0,0,0,0,0,4,1,1,0,0,0,0.8,0,,5,
Chris Basham,SHU,D,5800,425,0,0,2,0,5,2,135,5,6,12,5,0,0.2,0.2,85,,y
David McGoldrick,SHU,F,8600,268,2,0,6,2,3,0,72,4,4,1,0,0,0.6,0,81,12.5,y
Enda Stevens,SHU,D,6000,450,0,0,4,1,4,1,196,1,4,6,5,1,0,0,90,,y
Ethan Ampadu,SHU,D,3000,154,0,0,1,0,0,1,69,2,1,4,1,0,0,0.2,77,0,y
George Baldock,SHU,D,7200,450,0,1,3,0,13,5,150,1,7,0,3,0,0.1,0.5,90,,y
Jack Robinson,SHU,D,3200,162,0,0,0,0,7,0,81,1,2,1,0,0,0,0,90,0,
John Egan,SHU,D,4600,450,0,0,1,0,0,0,148,2,6,4,3,1,0,0,90,,y
John Fleck,SHU,M,7600,28,0,0,0,0,0,1,10,0,0,0,0,0,0,0,,5.6,
John Lundstram,SHU,M,8200,381,0,0,4,2,2,4,145,3,3,1,4,1,0.1,0.2,86.25,36,y
Max Lowe,SHU,D,4200,188,0,0,1,1,4,0,37,0,5,5,0,0,0,0,85,0,y
Oliver Burke,SHU,M/F,4800,92,0,0,2,0,1,0,9,0,2,0,0,0,0.2,0,55,9.25,
Oliver McBurnie,SHU,F,6200,333,0,0,6,3,1,3,71,5,4,0,1,0,0.7,0.2,90,31.5,
Oliver Norwood,SHU,M,5600,177,0,0,0,0,2,3,90,1,2,2,1,0,0,0.1,75.5,8.666666667,
Rhian Brewster,SHU,F,4800,232,0,0,2,1,0,1,26,2,3,0,0,0,0.3,0,68.33333333,13.5,y
Sander Berge,SHU,M,4400,450,1,1,4,1,11,5,159,1,7,4,1,3,0.9,0.3,90,,y
Aaron Cresswell,WHU,D,8800,450,0,3,3,1,17,12,215,3,0,4,2,0,0.2,1.2,90,,y
Andriy Yarmolenko,WHU,F,10200,70,0,0,1,0,1,1,18,2,3,0,0,0,0,0.4,,14,
Angelo Ogbonna,WHU,D,3400,422,0,0,0,0,0,1,124,5,7,6,0,2,0,0.8,84.4,,y
Arthur Masuaku,WHU,D,7400,446,0,0,5,2,11,2,199,4,8,8,1,1,0.3,0.2,89.2,,y
Declan Rice,WHU,M,3600,450,0,0,1,0,3,2,192,2,6,5,8,1,0.1,0,90,,y
Fabian Balbuena,WHU,D,5000,450,1,0,4,1,0,0,149,1,6,2,3,1,0.4,0,90,,y
Issa Diop,WHU,D,3200,28,0,0,0,0,0,0,21,0,0,0,0,1,0,0,,5.6,
Jarrod Bowen,WHU,M/F,11400,404,1,0,8,2,11,1,74,6,2,2,0,0,0.9,0.1,80.8,,y
Lukasz Fabianski,WHU,GK,6600,450,0,0,0,0,0,0,91,0,0,0,0,0,0,0,90,,
Manuel Lanzini,WHU,M,3800,36,1,0,1,1,0,1,18,3,0,1,0,1,0,0,,7.2,
Mark Noble,WHU,M,8400,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0.6,
Michail Antonio,WHU,M/F,12000,214,2,0,6,4,3,4,26,6,4,1,1,1,1.1,0.3,71.33333333,0,
Pablo Fornals,WHU,M,6800,417,2,1,10,5,3,4,124,5,5,2,1,1,2,0.6,83.4,,y
Robert Snodgrass,WHU,M,11000,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,0.2,
Said Benrahma,WHU,M/F,9600,21,0,1,2,2,0,1,12,1,1,0,0,0,0.1,0.2,,4.2,
Sebastien Haller,WHU,F,9000,188,0,0,3,1,0,2,20,2,3,1,0,0,0.2,0.1,81.5,8.333333333,y
Tomas Soucek,WHU,M,7800,450,1,0,7,3,2,1,108,6,8,5,3,1,0.5,0,90,,y
Vladimir Coufal,WHU,D,8000,450,0,1,1,0,16,5,138,4,6,8,2,2,0.1,0.3,90,,y
