,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Pablo Fornals,WHU,M,6800,4.633333333333334,2,1,10,5,3,4,124,5,5,2,1,1,6.168345323741007,11.456115107913668,0.4,0.9867021276595745,0.40539083557951483,0.5968773455987666,0.11999999999999998,0.6833510638297873,0.17560519965750757,0.17906320367962994,10.687179452354183,4.53025215029789,42.0,0.23809523809523808,2.544566536274805,0.5,1.2722832681374026,30.0,0.13333333333333333,1.0178266145099222,38.46,1.4723503671352554,13.493829096987573,83.4,0.0,y,Pablo Fornals
1,Aaron Cresswell,WHU,D,8800,5.0,0,3,3,1,17,12,215,3,0,4,2,0,8.04,11.639999999999999,0.04,0.9867021276595745,0.04053908355795148,0.05968773455987666,0.24,0.6833510638297873,0.35121039931501513,0.3581264073592599,10.687179452354183,4.53025215029789,42.0,0.07142857142857142,0.7633699608824416,0.3333333333333333,0.2544566536274805,30.0,0.4,3.0534798435297668,38.46,1.4723503671352554,11.656942247794014,90.0,0.0,y,Aaron Cresswell
2,Sander Berge,SHU,M,4400,5.0,1,1,4,1,11,5,159,1,7,4,1,3,4.576,6.876,0.18,0.5323431478188869,0.3381277672822406,0.4740284831784895,0.06,0.3452755905511811,0.17377423033067274,0.15800949439282985,10.305650309021551,3.7917574460640635,28.0,0.14285714285714285,1.47223575843165,0.25,0.3680589396079125,19.0,0.2631578947368421,1.8402946980395627,31.25,1.4019211938391634,11.044931194221,90.0,0.0,y,Sander Berge
3,David McGoldrick,SHU,F,8600,2.977777777777778,2,0,6,2,3,0,72,4,4,1,0,0,4.882835820895522,11.599253731343286,0.18134328358208956,0.5323431478188869,0.34065110882912303,0.4775660091723589,0.0,0.3452755905511811,0.0,0.0,10.305650309021551,3.7917574460640635,28.0,0.21428571428571427,2.208353637647475,0.3333333333333333,0.7361178792158249,19.0,0.0,0.0,31.25,1.4019211938391634,9.696773399631665,81.0,12.5,y,David McGoldrick
4,Jarrod Bowen,WHU,M/F,11400,4.488888888888889,1,0,8,2,11,1,74,6,2,2,0,0,6.054950495049505,8.282673267326732,0.18000000000000002,0.9867021276595745,0.18242587601078167,0.268594805519445,0.020000000000000004,0.6833510638297873,0.02926753327625127,0.029843867279938336,10.687179452354183,4.53025215029789,42.0,0.19047619047619047,2.0356532290198444,0.25,0.5089133072549611,30.0,0.03333333333333333,0.25445665362748054,38.46,1.4723503671352554,8.900034448776363,80.8,0.0,y,Jarrod Bowen
5,Chris Basham,SHU,D,5800,4.722222222222222,0,0,2,0,5,2,135,5,6,12,5,0,5.654117647058824,5.654117647058824,0.039999999999999994,0.5323431478188869,0.0751395038404979,0.10533966292855322,0.039999999999999994,0.3452755905511811,0.11584948688711515,0.10533966292855322,10.305650309021551,3.7917574460640635,28.0,0.07142857142857142,0.736117879215825,0.0,0.0,19.0,0.10526315789473684,0.736117879215825,31.25,1.4019211938391634,7.6976703652885,85.0,0.0,y,Chris Basham
6,Arthur Masuaku,WHU,D,7400,4.955555555555556,0,0,5,2,11,2,199,4,8,8,1,1,5.888340807174887,5.585650224215247,0.06,0.9867021276595745,0.06080862533692721,0.08953160183981497,0.04,0.6833510638297873,0.05853506655250253,0.05968773455987665,10.687179452354183,4.53025215029789,42.0,0.11904761904761904,1.2722832681374026,0.4,0.5089133072549611,30.0,0.06666666666666667,0.5089133072549611,38.46,1.4723503671352554,7.279552308404735,89.2,0.0,y,Arthur Masuaku
7,George Baldock,SHU,D,7200,5.0,0,1,3,0,13,5,150,1,7,0,3,0,3.8200000000000003,5.0200000000000005,0.02,0.5323431478188869,0.03756975192024896,0.05266983146427662,0.1,0.3452755905511811,0.2896237172177879,0.2633491573213831,10.305650309021551,3.7917574460640635,28.0,0.10714285714285714,1.1041768188237375,0.0,0.0,19.0,0.2631578947368421,1.8402946980395627,31.25,1.4019211938391634,7.271264775434365,90.0,0.0,y,George Baldock
8,John Lundstram,SHU,M,8200,4.233333333333333,0,0,4,2,2,4,145,3,3,1,4,1,4.440944881889764,4.086614173228346,0.022637795275590553,0.5323431478188869,0.042524817626266045,0.05961644309440759,0.045275590551181105,0.3452755905511811,0.13112884834663627,0.1192328861888152,10.305650309021551,3.7917574460640635,28.0,0.14285714285714285,1.47223575843165,0.5,0.736117879215825,19.0,0.21052631578947367,1.47223575843165,31.25,1.4019211938391634,6.644710199274202,86.25,36.0,y,John Lundstram
9,Vladimir Coufal,WHU,D,8000,5.0,0,1,1,0,16,5,138,4,6,8,2,2,5.992,6.5920000000000005,0.02,0.9867021276595745,0.02026954177897574,0.02984386727993833,0.06,0.6833510638297873,0.08780259982875378,0.08953160183981497,10.687179452354183,4.53025215029789,42.0,0.023809523809523808,0.25445665362748054,0.0,0.0,30.0,0.16666666666666666,1.2722832681374028,38.46,1.4723503671352554,6.554368205603157,90.0,0.0,y,Vladimir Coufal
