player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aaron Ramsdale,SHU,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Ben Osborn,SHU,DELETE,DELETE,235.0,0.0,0.0,1.0,1.0,7.0,2.0,79.0,1.0,1.0,2.0,1.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Billy Sharp,SHU,DELETE,DELETE,25.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.8,0.0,DELETE,DELETE,DELETE
Chris Basham,SHU,DELETE,DELETE,425.0,0.0,0.0,2.0,0.0,5.0,2.0,135.0,5.0,6.0,12.0,5.0,0.0,0.2,0.2,DELETE,DELETE,DELETE
David McGoldrick,SHU,DELETE,DELETE,268.0,2.0,0.0,6.0,2.0,3.0,0.0,72.0,4.0,4.0,1.0,0.0,0.0,0.6,0.0,DELETE,DELETE,DELETE
Enda Stevens,SHU,DELETE,DELETE,450.0,0.0,0.0,4.0,1.0,4.0,1.0,196.0,1.0,4.0,6.0,5.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
George Baldock,SHU,DELETE,DELETE,450.0,0.0,1.0,3.0,0.0,13.0,5.0,150.0,1.0,7.0,0.0,3.0,0.0,0.1,0.5,DELETE,DELETE,DELETE
Jack Robinson,SHU,DELETE,DELETE,162.0,0.0,0.0,0.0,0.0,7.0,0.0,81.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
John Egan,SHU,DELETE,DELETE,450.0,0.0,0.0,1.0,0.0,0.0,0.0,148.0,2.0,6.0,4.0,3.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
John Fleck,SHU,DELETE,DELETE,28.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
John Lundstram,SHU,DELETE,DELETE,381.0,0.0,0.0,4.0,2.0,2.0,4.0,145.0,3.0,3.0,1.0,4.0,1.0,0.1,0.2,DELETE,DELETE,DELETE
Oliver Burke,SHU,DELETE,DELETE,92.0,0.0,0.0,2.0,0.0,1.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
Oliver McBurnie,SHU,DELETE,DELETE,333.0,0.0,0.0,6.0,3.0,1.0,3.0,71.0,5.0,4.0,0.0,1.0,0.0,0.7,0.2,DELETE,DELETE,DELETE
Sander Berge,SHU,DELETE,DELETE,450.0,1.0,1.0,4.0,1.0,11.0,5.0,159.0,1.0,7.0,4.0,1.0,3.0,0.9,0.30000000000000004,DELETE,DELETE,DELETE
Max Lowe,SHU,DELETE,DELETE,188.0,0.0,0.0,1.0,1.0,4.0,0.0,37.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Oliver Norwood,SHU,DELETE,DELETE,177.0,0.0,0.0,0.0,0.0,2.0,3.0,90.0,1.0,2.0,2.0,1.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Rhian Brewster,SHU,DELETE,DELETE,232.0,0.0,0.0,2.0,1.0,0.0,1.0,26.0,2.0,3.0,0.0,0.0,0.0,0.3,0.0,DELETE,DELETE,DELETE
Ethan Ampadu,SHU,DELETE,DELETE,154.0,0.0,0.0,1.0,0.0,0.0,1.0,69.0,2.0,1.0,4.0,1.0,0.0,0.0,0.2,DELETE,DELETE,DELETE
Aaron Cresswell,WHU,DELETE,DELETE,450.0,0.0,3.0,3.0,1.0,17.0,12.0,215.0,3.0,0.0,4.0,2.0,0.0,0.2,1.2,DELETE,DELETE,DELETE
Angelo Ogbonna,WHU,DELETE,DELETE,422.0,0.0,0.0,0.0,0.0,0.0,1.0,124.0,5.0,7.0,6.0,0.0,2.0,0.0,0.8,DELETE,DELETE,DELETE
Arthur Masuaku,WHU,DELETE,DELETE,446.0,0.0,0.0,5.0,2.0,11.0,2.0,199.0,4.0,8.0,8.0,1.0,1.0,0.30000000000000004,0.2,DELETE,DELETE,DELETE
Declan Rice,WHU,DELETE,DELETE,450.0,0.0,0.0,1.0,0.0,3.0,2.0,192.0,2.0,6.0,5.0,8.0,1.0,0.1,0.0,DELETE,DELETE,DELETE
Fabian Balbuena,WHU,DELETE,DELETE,450.0,1.0,0.0,4.0,1.0,0.0,0.0,149.0,1.0,6.0,2.0,3.0,1.0,0.4,0.0,DELETE,DELETE,DELETE
Jarrod Bowen,WHU,DELETE,DELETE,404.0,1.0,0.0,8.0,2.0,11.0,1.0,74.0,6.0,2.0,2.0,0.0,0.0,0.8999999999999999,0.1,DELETE,DELETE,DELETE
Lukasz Fabianski,WHU,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Mark Noble,WHU,DELETE,DELETE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Michail Antonio,WHU,DELETE,DELETE,214.0,2.0,0.0,6.0,4.0,3.0,4.0,26.0,6.0,4.0,1.0,1.0,1.0,1.1,0.30000000000000004,DELETE,DELETE,DELETE
Pablo Fornals,WHU,DELETE,DELETE,417.0,2.0,1.0,10.0,5.0,3.0,4.0,124.0,5.0,5.0,2.0,1.0,1.0,2.0,0.6,DELETE,DELETE,DELETE
Sebastien Haller,WHU,DELETE,DELETE,188.0,0.0,0.0,3.0,1.0,0.0,2.0,20.0,2.0,3.0,1.0,0.0,0.0,0.2,0.1,DELETE,DELETE,DELETE
Tomas Soucek,WHU,DELETE,DELETE,450.0,1.0,0.0,7.0,3.0,2.0,1.0,108.0,6.0,8.0,5.0,3.0,1.0,0.5,0.0,DELETE,DELETE,DELETE
Vladimir Coufal,WHU,DELETE,DELETE,450.0,0.0,1.0,1.0,0.0,16.0,5.0,138.0,4.0,6.0,8.0,2.0,2.0,0.1,0.30000000000000004,DELETE,DELETE,DELETE
Andriy Yarmolenko,WHU,DELETE,DELETE,70.0,0.0,0.0,1.0,0.0,1.0,1.0,18.0,2.0,3.0,0.0,0.0,0.0,0.0,0.4,DELETE,DELETE,DELETE
Manuel Lanzini,WHU,DELETE,DELETE,36.0,1.0,0.0,1.0,1.0,0.0,1.0,18.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Robert Snodgrass,WHU,DELETE,DELETE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Said Benrahma,WHU,DELETE,DELETE,21.0,0.0,1.0,2.0,2.0,0.0,1.0,12.0,1.0,1.0,0.0,0.0,0.0,0.1,0.2,DELETE,DELETE,DELETE
Issa Diop,WHU,DELETE,DELETE,28.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
