Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,xG,xA,Start_Mins,Sub_Mins,Starting
Sam Vines,COL,D,6800,450,1,2,2,1,12,5,220,2,3,2,7,0,0,0.7,1,90,,y
Kellyn Acosta,COL,M,4600,429,0,0,12,4,3,7,185,4,5,6,1,1,0,1.3,0.4,85.8,,y
Keegan Rosenberry,COL,D,7000,405,0,0,4,0,12,6,254,2,7,7,11,0,0,0.2,0.5,81,,y
Lalas Abubakar,COL,D,3600,360,1,0,1,1,0,2,227,1,3,4,7,2,0,0.3,0,90,,y
William Yarbrough,COL,GK,8400,360,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,90,,
Cole Bassett,COL,M,10000,344,2,2,11,4,16,5,144,6,5,4,2,1,0,1.3,0.9,82,16,y
Younes Namli,COL,M,9000,337,0,2,11,4,15,7,148,8,3,1,6,0,0,0.3,1.3,67.4,,
Jack Price,COL,M,7400,316,0,0,0,0,16,8,282,4,3,1,3,1,0,0,0.4,90,23,y
Jonathan Lewis,COL,F,11000,271,1,0,14,3,18,3,64,2,1,4,1,1,0,1.2,0.2,72.66666667,26.5,y
Diego Rubio,COL,F,10600,261,2,0,10,3,1,4,102,7,3,1,0,1,0,1.4,0.4,65.25,0,
Andre Shinyashiki,COL,F,9600,251,1,0,8,5,2,5,76,6,4,3,0,0,0,0.7,0.8,73.66666667,15,y
Danny Wilson,COL,D,3800,237,0,0,0,0,1,2,133,1,2,3,3,0,0,0,0,79,0,b
Auston Trusty,COL,D,3200,213,0,0,2,1,0,0,142,1,2,2,4,0,0,0.5,0,90,11,y
Collen Warner,COL,M,3200,148,0,0,0,0,0,2,68,1,6,3,0,0,0,0,0,67,4.666666667,b
Kei Kamara,COL,F,10200,117,1,0,5,2,1,2,38,0,1,0,0,0,0,0.7,0.1,90,6.75,
Brian Galvan,COL,M,3200,113,1,1,5,2,3,4,62,3,1,0,0,0,0,1.4,0.2,65,22.6,y
Clint Irwin,COL,GK,8200,90,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,90,0,
Drew Moor,COL,D,3200,90,0,0,0,0,0,2,66,1,0,0,0,0,0,0,0,90,0,b
Nicolas Mezquida,COL,M/F,12400,59,0,1,6,1,3,3,54,1,3,0,0,0,0,0.2,0.5,,11.8,b
Nicolas Benezet,COL,M,7800,52,0,0,0,0,5,3,50,0,1,1,0,0,0,0,0.2,,10.4,b
Jeremy Kelly,COL,D,3800,47,0,1,1,0,0,1,49,0,0,1,0,0,0,0.1,0.3,,9.4,b
Marcos Lopez,SJ,D,7600,450,0,1,2,1,21,5,214,6,5,10,4,0,0,0,0.3,90,,y
Florian Jungwirth,SJ,D,3000,424,0,0,2,1,1,0,229,5,9,7,5,2,0,0.2,0,84.8,,y
Judson,SJ,M,3200,366,0,0,1,0,1,1,204,2,12,8,4,0,0,0,0,83.25,33,y
Jackson Yueill,SJ,M,4000,360,0,0,3,1,6,6,208,3,2,3,1,1,0,0.2,0.2,90,0,y
Mario Daniel Vega,SJ,GK,5000,360,0,0,0,0,0,0,87,2,0,0,0,0,0,0,0,90,0,
Oswaldo Alanis,SJ,D,4200,315,0,0,3,1,0,0,187,4,2,3,8,1,0,0,0,78.75,0,
Chris Wondolowski,SJ,F,9400,301,2,1,11,6,0,2,56,4,3,0,1,0,0,2.4,0.8,84,24.5,b
She Salinas,SJ,D,5800,301,0,0,1,0,8,6,105,7,4,4,2,0,0,0,0.3,76.33333333,36,b
Cristian Espinoza,SJ,M,11200,299,0,0,6,2,25,7,130,3,5,3,1,1,0,0.2,0.7,68,27,y
Andres Rios,SJ,F,5400,268,0,0,7,0,0,2,57,9,5,1,0,1,0,0.4,0.1,64.66666667,37,y
Valeri Qazaishvili,SJ,M/F,11600,208,1,0,9,2,0,0,86,7,0,3,1,0,0,1.5,0,76.5,18.33333333,b
Nick Lima,SJ,D,5200,180,0,0,2,1,8,3,76,2,3,3,1,2,0,0.1,0.8,76.5,9,b
Paul Marie,SJ,D,3200,177,0,0,1,0,2,1,88,1,3,3,3,1,0,0,0.2,59,0,b
Tommy Thompson,SJ,D,3600,177,0,0,2,0,0,0,69,6,0,1,1,0,0,0.3,0,57,30,y
Eric Calvillo,SJ,M,4200,118,0,0,2,1,1,1,50,2,0,0,0,0,0,0.4,0,63,13.75,b
Carlos Fierro,SJ,M/F,8600,112,1,0,6,3,1,1,22,2,2,0,1,0,0,1.1,0.1,90,5.5,y
JT Marcinkowski,SJ,GK,4800,90,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,90,0,
Luis Felipe,SJ,M,3200,90,0,0,0,0,0,0,41,0,0,2,1,0,0,0,0,90,0,b
Tanner Beason,SJ,D,3400,90,0,0,1,0,0,0,43,0,1,0,2,0,0,0,0,90,0,y
Cade Cowell,SJ,M,6000,88,0,0,2,0,4,3,23,1,1,2,2,0,0,0.1,0.2,65,17.6,y
Jacob Akanyirige,SJ,D,3000,68,0,0,0,0,0,0,31,0,0,1,2,0,0,0,0,68,0,
Guram Kashia,SJ,D,3000,62,0,0,2,1,0,0,22,0,1,1,0,0,0,0.4,0,62,0,
Danny Hoesen,SJ,F,8000,34,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,34,0,b
Jack Skahan,SJ,F,3400,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2.4,
