Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player2
Cole Bassett,COL,M,10000,3.822222222,2,2,11,4,16,5,144,6,5,4,2,1,0,11.14011628,19.11976744,1.3,7.9,0.164556962,0.354620253,0.9,5.4,0.166666667,0.245506329,15.53243974,5.265497074,66,0.166666667,2.588739957,0.363636364,0.941359985,58,0.086206897,1.176699981,0.5556,2.155,14.75092415,82,16,y,Cole Bassett
Jonathan Lewis,COL,F,11000,3.011111111,1,0,14,3,18,3,64,2,1,4,1,1,0,13.24428044,16.06715867,1.2,7.9,0.151898734,0.327341772,0.2,5.4,0.037037037,0.054556962,15.53243974,5.265497074,66,0.212121212,3.294759946,0.214285714,0.706019988,58,0.051724138,0.706019988,0.5556,2.155,13.2360219,72.66666667,26.5,y,Jonathan Lewis
Kellyn Acosta,COL,M,4600,4.766666667,0,0,12,4,3,7,185,4,5,6,1,1,0,7.72027972,7.405594406,1.3,7.9,0.164556962,0.354620253,0.4,5.4,0.074074074,0.109113924,15.53243974,5.265497074,66,0.181818182,2.824079954,0.333333333,0.941359985,58,0.120689655,1.647379973,0.5556,2.155,12.07370599,85.8,0,y,Kellyn Acosta
Andre Shinyashiki,COL,F,9600,2.788888889,1,0,8,5,2,5,76,6,4,3,0,0,0,10.01115538,13.59681275,0.7,7.9,0.088607595,0.190949367,0.8,5.4,0.148148148,0.218227848,15.53243974,5.265497074,66,0.121212121,1.882719969,0.625,1.176699981,58,0.086206897,1.176699981,0.5556,2.155,10.36642823,73.66666667,15,y,Andre Shinyashiki
Brian Galvan,COL,M,3200,1.255555556,1,1,5,2,3,4,62,3,1,0,0,0,0,13.41238938,26.15575221,1.4,7.9,0.17721519,0.381898734,0.2,5.4,0.037037037,0.054556962,15.53243974,5.265497074,66,0.075757576,1.176699981,0.4,0.470679992,58,0.068965517,0.941359985,0.5556,2.155,10.09436111,65,22.6,y,Brian Galvan
Sam Vines,COL,D,6800,5,1,2,2,1,12,5,220,2,3,2,7,0,0,5.36,9.76,0.7,7.9,0.088607595,0.190949367,1,5.4,0.185185185,0.27278481,15.53243974,5.265497074,66,0.03030303,0.470679992,0.5,0.235339996,58,0.086206897,1.176699981,0.5556,2.155,9.188922501,90,0,y,Sam Vines
Cristian Espinoza,SJ,M,11200,3.322222222,0,0,6,2,25,7,130,3,5,3,1,1,0,11.76923077,11.31772575,0.2,6.9,0.028985507,0.02942029,0.7,3.7,0.189189189,0.102971014,11.50012171,3.714539313,59,0.101694915,1.169503903,0.333333333,0.389834634,38,0.184210526,1.36442122,0.2222,1.015,8.975588074,68,27,y,Cristian Espinoza
Marcos Lopez,SJ,D,7600,5,0,1,2,1,21,5,214,6,5,10,4,0,0,8.496,9.696,0,6.9,0,0,0.3,3.7,0.081081081,0.044130435,11.50012171,3.714539313,59,0.033898305,0.389834634,0.5,0.194917317,38,0.131578947,0.974586586,0.2222,1.015,8.720121146,90,0,y,Marcos Lopez
Keegan Rosenberry,COL,D,7000,4.5,0,0,4,0,12,6,254,2,7,7,11,0,0,7.662222222,7.662222222,0.2,7.9,0.025316456,0.054556962,0.5,5.4,0.092592593,0.136392405,15.53243974,5.265497074,66,0.060606061,0.941359985,0,0,58,0.103448276,1.412039977,0.5556,2.155,8.613324012,81,0,y,Keegan Rosenberry
Jack Price,COL,M,7400,3.511111111,0,0,0,0,16,8,282,4,3,1,3,1,0,8.498734177,8.071518987,0,7.9,0,0,0.4,5.4,0.074074074,0.109113924,15.53243974,5.265497074,66,0,0,0,0,58,0.137931034,1.882719969,0.5556,2.155,8.330441488,90,23,y,Jack Price
Chris Wondolowski,SJ,F,9400,3.344444444,2,1,11,6,0,2,56,4,3,0,1,0,0,6.912956811,14.68704319,2.4,6.9,0.347826087,0.353043478,0.8,3.7,0.216216216,0.117681159,11.50012171,3.714539313,59,0.186440678,2.144090489,0.545454545,1.169503903,38,0.052631579,0.389834634,0.2222,1.015,8.275299602,84,24.5,b,Chris Wondolowski
Cade Cowell,SJ,M,6000,0.977777778,0,0,2,0,4,3,23,1,1,2,2,0,0,12.02727273,12.02727273,0.1,6.9,0.014492754,0.014710145,0.2,3.7,0.054054054,0.02942029,11.50012171,3.714539313,59,0.033898305,0.389834634,0,0,38,0.078947368,0.584751951,0.2222,1.015,6.291391592,65,17.6,y,Cade Cowell
Carlos Fierro,SJ,M/F,8600,1.244444444,1,0,6,3,1,1,22,2,2,0,1,0,0,10.15714286,18.19285714,1.1,6.9,0.15942029,0.161811594,0.1,3.7,0.027027027,0.014710145,11.50012171,3.714539313,59,0.101694915,1.169503903,0.5,0.584751951,38,0.026315789,0.194917317,0.2222,1.015,5.776978554,90,5.5,y,Carlos Fierro
Jackson Yueill,SJ,M,4000,4,0,0,3,1,6,6,208,3,2,3,1,1,0,5.965,5.59,0.2,6.9,0.028985507,0.02942029,0.2,3.7,0.054054054,0.02942029,11.50012171,3.714539313,59,0.050847458,0.584751951,0.333333333,0.194917317,38,0.157894737,1.169503903,0.2222,1.015,5.509897809,90,0,y,Jackson Yueill
Valeri Qazaishvili,SJ,M/F,11600,2.311111111,1,0,9,2,0,0,86,7,0,3,1,0,0,10.04711538,14.37403846,1.5,6.9,0.217391304,0.220652174,0,3.7,0,0,11.50012171,3.714539313,59,0.152542373,1.754255854,0.222222222,0.389834634,38,0,0,0.2222,1.015,5.427695561,76.5,18.33333333,b,Valeri Qazaishvili
