Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting
Cristian Espinoza,SJ,M,11400,2.00,0,1,4,0,14,5,43,1,0,0,1,0,0,10.58,13.58,0.1,1.2,0.08,0.15,0.4,1,0.40,0.71,0.45,1.76,17.07,90,,y
Chris Wondolowski,SJ,F,9400,0.11,0,0,0,0,1,1,1,0,0,0,0,0,0,15.48,15.48,0,1.2,0.00,0.00,0,1,0.00,0.00,0.45,1.76,11.97,65,5,y
Younes Namli,COL,M,8800,1.98,0,1,4,1,3,5,54,3,1,2,0,0,0,8.94,11.97,0.1,2.3,0.04,0.06,0.6,2.1,0.29,0.42,0.29,1.46,11.05,89,,y
Diego Rubio,COL,F,9200,2.00,0,0,4,1,0,3,47,4,5,2,0,1,0,6.22,5.47,0.2,2.3,0.09,0.13,0.8,2.1,0.38,0.56,0.29,1.46,9.94,90,,y
Paul Marie,SJ,D,3600,0.61,0,0,1,0,1,0,24,1,0,0,2,0,0,6.84,6.84,0.1,1.2,0.08,0.15,0,1,0.00,0.00,0.45,1.76,6.79,65,27.5,y
Jackson Yueill,SJ,M,3800,2.00,0,0,3,1,1,0,82,1,1,1,1,0,0,4.17,4.17,0.1,1.2,0.08,0.15,0,1,0.00,0.00,0.45,1.76,6.43,90,,y
Andre Shinyashiki,COL,F,6800,0.87,0,0,3,1,1,0,17,3,0,0,1,0,0,9.85,9.85,0.2,2.3,0.09,0.13,0,2.1,0.00,0.00,0.29,1.46,6.27,58,20,y
Judson,SJ,M,4000,1.76,0,0,1,0,0,0,68,1,4,7,5,0,0,6.19,6.19,0,1.2,0.00,0.00,0,1,0.00,0.00,0.45,1.76,6.22,79,,y
Florian Jungwirth,SJ,D,3600,2.00,0,0,1,0,0,1,91,0,3,5,5,0,0,4.91,4.91,0,1.2,0.00,0.00,0,1,0.00,0.00,0.45,1.76,5.70,90,,y
Marcos Lopez,SJ,D,3200,0.50,0,0,0,0,1,0,22,2,0,0,0,0,0,6.28,6.28,0,1.2,0.00,0.00,0,1,0.00,0.00,0.45,1.76,5.33,65,22.5,y
Shea Salinas,SJ,D,7600,0.51,0,0,0,0,2,1,16,0,2,0,2,0,0,5.32,5.32,0,1.2,0.00,0.00,0,1,0.00,0.00,0.45,1.76,4.63,65,23,y
Jonathan Lewis,COL,F,8600,1.36,0,0,2,1,6,2,29,2,1,1,2,0,0,9.80,9.80,0.4,2.3,0.17,0.25,0.2,2.1,0.10,0.14,0.29,1.46,3.79,90,32,
Cole Bassett,COL,M,4600,0.74,1,0,1,1,0,0,16,0,1,0,0,0,0,2.44,15.88,0.6,2.3,0.26,0.38,0,2.1,0.00,0.00,0.29,1.46,3.77,67,0,y
Kellyn Acosta,COL,M,4200,1.64,0,0,3,0,0,1,40,0,3,2,2,1,0,3.83,2.92,0.2,2.3,0.09,0.13,0.1,2.1,0.05,0.07,0.29,1.46,3.64,74,,y
Nicolas Mezquida,COL,M/F,11600,1.13,0,0,4,0,2,2,31,1,1,1,1,0,0,8.84,8.84,0.3,2.3,0.13,0.19,0.2,2.1,0.10,0.14,0.29,1.46,3.22,70,32,
Sam Vines,COL,D,4400,2.00,0,0,0,0,1,1,84,1,1,3,2,0,0,3.94,3.94,0,2.3,0.00,0.00,0,2.1,0.00,0.00,0.29,1.46,3.04,90,,y
Keegan Rosenberry,COL,D,6600,2.00,0,0,1,1,1,1,96,0,1,0,1,0,0,2.81,2.81,0.1,2.3,0.04,0.06,0,2.1,0.00,0.00,0.29,1.46,2.55,90,,y
Danny Wilson,COL,D,3400,1.92,0,0,1,0,0,1,124,0,2,1,2,0,0,2.85,2.85,0.1,2.3,0.04,0.06,0,2.1,0.00,0.00,0.29,1.46,2.45,86.5,,y
Mario Daniel Vega,SJ,GK,7400,2.00,0,0,0,0,0,0,60,0,0,0,1,0,0,0.85,0.85,0,1.2,0.00,0.00,0,1,0.00,0.00,0.45,1.76,1.64,90,,y
