Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,TeamSoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting
Johnny Russell,SKC,F,10800,3.26,1,0,13,2,30,3,54,3,0,2,1,0,0,14.00,17.07,2,8.1,0.25,0.50,0.5,5.2,0.10,0.19,16.0,4.9,71,0.18,2.93,0.15,0.45,41,0.07,0.68,0.60,2.01,18.42,79,28,y
Gianluca Busio,SKC,F,8800,5.00,1,0,9,2,23,3,264,4,10,11,11,2,0,10.18,11.58,0.2,8.1,0.02,0.05,0.1,5.2,0.02,0.04,16.0,4.9,71,0.13,2.03,0.22,0.45,41,0.07,0.68,0.60,2.01,12.70,90,,y
Gadi Kinda,SKC,M,9800,3.28,2,0,7,3,8,6,89,9,6,2,3,2,0,10.03,15.22,1.1,8.1,0.14,0.27,0.9,5.2,0.17,0.35,16.0,4.9,71,0.10,1.58,0.43,0.68,41,0.15,1.35,0.60,2.01,12.42,73.75,0,y
Graham Zusi,SKC,D,7000,4.38,0,0,8,1,17,4,174,3,5,3,5,0,0,7.85,7.85,0.3,8.1,0.04,0.07,0.5,5.2,0.10,0.19,16.0,4.9,71,0.11,1.80,0.13,0.23,41,0.10,0.90,0.60,2.01,11.76,90,34,y
Khiry Shelton,SKC,F,8400,4.16,1,0,7,2,3,5,68,3,6,3,1,0,0,5.04,7.45,1.4,8.1,0.17,0.35,0.3,5.2,0.06,0.12,16.0,4.9,71,0.10,1.58,0.29,0.45,41,0.12,1.13,0.60,2.01,10.57,85.25,33,y
Gerso Fernandes,SKC,M/F,9400,2.49,0,1,4,0,9,4,25,5,3,3,2,0,0,8.96,11.37,0.3,8.1,0.04,0.07,1.6,5.2,0.31,0.62,16.0,4.9,71,0.06,0.90,0.00,0.00,41,0.10,0.90,0.60,2.01,9.87,58.66666667,24,y
Luis Martins,SKC,D,7800,1.00,0,0,0,0,5,2,42,0,2,2,0,0,0,7.34,7.34,0,8.1,0.00,0.00,0.2,5.2,0.04,0.08,16.0,4.9,71,0.00,0.00,0.00,0.00,41,0.05,0.45,0.60,2.01,8.30,90,0,y
Jan Gregus,MIN,M,9200,4.78,0,1,9,1,24,8,288,5,3,4,6,0,0,10.69,11.94,0.3,6.3,0.05,0.06,0.3,4.4,0.07,0.09,9.5,3.5,73,0.12,1.17,0.11,0.13,47,0.17,1.04,0.21,1.33,8.12,86,,y
Hassani Dotson,MIN,D,5200,4.21,1,1,8,4,2,4,210,6,5,8,8,0,0,8.81,12.61,0.3,6.3,0.05,0.06,0.3,4.4,0.07,0.09,9.5,3.5,73,0.11,1.04,0.50,0.52,47,0.09,0.52,0.21,1.33,6.14,87,59,y
Matt Besler,SKC,D,3200,2.50,0,0,0,0,0,0,124,0,3,4,5,0,0,2.99,2.99,0,8.1,0.00,0.00,0,5.2,0.00,0.00,16.0,4.9,71,0.00,0.00,0.00,0.00,41,0.00,0.00,0.60,2.01,5.03,90,15,y
