Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Andres Rios,SJ,F,5400,325,0,0,3,0,0,5,87,7,13,0,2,2,0.3,0.2,81.25,0,
Cade Cowell,SJ,M,3800,106,0,0,3,2,1,1,13,1,5,1,0,0,0.6,0.1,90,4,
Carlos Fierro,SJ,M/F,8800,317,1,0,5,2,7,0,83,9,2,5,4,0,0.5,0,79.25,0,y
Chris Wondolowski,SJ,F,6400,445,3,0,6,4,1,4,92,7,2,3,0,0,2.2,0.7,89,,y
Cristian Espinoza,SJ,M,10200,389,1,2,10,2,17,9,147,6,4,1,1,0,0.5,1,77.8,,y
Eric Calvillo,SJ,M,3800,32,0,0,0,0,0,1,14,0,0,0,0,0,0,0,,6.4,
Florian Jungwirth,SJ,D,3000,439,0,0,0,0,0,2,242,2,4,6,2,0,0,0,87.8,,y
J.T. Marcinkowski,SJ,GK,4800,450,0,0,0,0,0,0,152,0,0,0,0,0,0,0,90,,
Jackson Yueill,SJ,M,4000,330,0,0,5,0,3,2,178,6,7,2,2,2,0.1,0.1,82.5,0,y
Judson,SJ,M,3600,450,0,0,5,0,1,0,242,5,13,19,5,2,0.3,0,90,,y
Luis Felipe,SJ,M,3200,84,0,0,0,0,0,0,26,0,2,2,0,0,0,0,58,6.5,
Marcos Lopez,SJ,D,7000,280,1,0,2,1,6,3,128,5,4,2,4,1,0,0.2,87,9.5,y
Nick Lima,SJ,D,6000,399,0,0,4,1,12,3,210,3,3,0,6,0,0,0.5,79.8,,y
Oswaldo Alanis,SJ,D,3200,450,0,0,2,0,0,0,262,0,2,6,3,0,0.1,0,90,,y
Paul Marie,SJ,D,3200,13,0,0,1,1,1,0,7,0,0,0,2,0,0,0,,2.6,
Shea Salinas,SJ,D,5600,158,0,2,2,1,6,2,41,3,0,2,3,0,0.2,0.2,90,17,y
Siad Haji,SJ,M,3000,43,0,0,1,1,0,0,31,1,0,3,0,0,0.4,0,,8.6,
Tommy Thompson,SJ,D,5000,201,0,0,2,0,3,2,123,4,1,2,2,0,0.1,0.1,80,13.66666667,
Valeri Qazaishvili,SJ,M/F,8600,9,0,0,0,0,0,0,5,0,0,1,0,0,0,0,,1.8,
Alan Pulido,SKC,F,12400,169,1,1,10,7,1,2,34,7,2,2,1,0,0.9,0.2,84.5,0,
Amadou Dia,SKC,D,5800,339,0,0,1,0,11,2,142,1,5,4,3,2,0.1,0.1,84.75,0,y
Andreu Fontas,SKC,D,3400,270,1,0,1,1,0,0,162,3,0,1,2,0,0.4,0,90,0,
Cameron Duke,SKC,M,3200,90,0,0,1,1,2,2,22,3,2,2,0,0,0,0.3,66,6,
Daniel Salloi,SKC,M/F,4200,45,0,0,0,0,0,1,6,1,0,0,2,0,0,0.1,45,0,
Erik Hurtado,SKC,M/F,9600,223,2,0,8,4,2,1,39,5,5,4,1,0,1,0.1,83.5,18.66666667,
Felipe Hernandez,SKC,M,3400,150,0,0,1,0,0,0,17,1,4,3,0,0,0.1,0,61,9.333333333,
Gadi Kinda,SKC,M,10400,298,2,1,9,5,4,2,97,5,8,2,0,0,1.8,0.4,84.33333333,22.5,
Gerso Fernandes,SKC,M/F,9000,136,1,0,5,1,3,0,18,1,2,1,0,1,0.4,0,45,15.33333333,y
Gianluca Busio,SKC,F,9800,327,0,0,14,1,2,4,112,3,4,8,2,0,1,0.1,81.75,0,y
Ilie Sanchez,SKC,M,3400,405,0,1,2,0,0,5,186,3,1,8,8,0,0.2,0.8,90,45,y
Jaylin Lindsey,SKC,D,7200,450,0,1,1,0,10,5,210,4,4,10,4,1,0.1,0.2,90,,y
Johnny Russell,SKC,F,12000,404,0,0,6,2,10,16,111,6,2,3,1,1,0.3,1.5,89.75,45,y
Khiry Shelton,SKC,F,7400,169,1,0,2,1,1,2,48,2,2,1,0,1,0.3,0.2,67.5,11.33333333,y
Luis Martins,SKC,D,6200,111,0,0,2,1,4,1,45,1,2,0,2,1,0,0.1,90,5.25,
Roberto Puncec,SKC,D,3000,450,0,0,2,1,0,0,149,1,7,5,1,1,0.1,0,90,,y
Roger Espinoza,SKC,M,5200,284,1,1,7,5,0,2,90,3,5,3,1,0,0.6,0.1,71.66666667,34.5,y
Tim Melia,SKC,GK,8400,450,0,0,0,0,0,1,98,1,0,0,0,0,0,0,90,,
Winston Reid,SKC,D,4000,180,0,0,0,0,0,0,33,1,0,4,1,0,0,0,90,0,y
