,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Johnny Russell,SKC,F,12000,4.488888888888889,0,0,6,2,10,16,111,6,2,3,1,1,9.294059405940594,8.95990099009901,0.0666460396039604,0.8296743611432437,0.08032794880165513,0.1401864657353019,0.333230198019802,0.7061243743875247,0.47191431156704916,0.7009323286765095,16.887733342675414,6.146851174498652,40.0,0.15,2.533160001401312,0.3333333333333333,0.8443866671337706,36.0,0.4444444444444444,6.755093337070165,59.52,1.7451767140406977,19.343427842938112,89.75,45.0,y,Johnny Russell
1,Gianluca Busio,SKC,F,9800,3.6333333333333333,0,0,14,1,2,4,112,3,4,8,2,0,8.98348623853211,8.98348623853211,0.25,0.8296743611432437,0.3013230391445559,0.5258619513190526,0.025,0.7061243743875247,0.035404527738734974,0.05258619513190525,16.887733342675414,6.146851174498652,40.0,0.35,5.910706669936395,0.07142857142857142,0.4221933335668853,36.0,0.1111111111111111,1.6887733342675413,59.52,1.7451767140406977,17.00581002175278,81.75,0.0,y,Gianluca Busio
2,Chris Wondolowski,SJ,F,6400,4.944444444444445,3,0,6,4,1,4,92,7,2,3,0,0,5.165393258426966,11.232808988764045,0.44000000000000006,0.8839240506329115,0.49778032364313335,0.6208596466030539,0.13999999999999999,0.6410669077757686,0.21838594115821836,0.19754625119188074,12.144130652357385,4.704201820864572,41.0,0.14634146341463414,1.7771898515644953,0.6666666666666666,1.18479323437633,25.0,0.16,1.18479323437633,21.05,1.2472563038633848,13.84865029349898,89.0,0.0,y,Chris Wondolowski
3,Cristian Espinoza,SJ,M,10200,4.322222222222222,1,2,10,2,17,9,147,6,4,1,1,0,9.56452442159383,14.654498714652956,0.1,0.8839240506329115,0.11313189173707575,0.1411044651370577,0.2,0.6410669077757686,0.311979915940312,0.2822089302741154,12.144130652357385,4.704201820864572,41.0,0.24390243902439024,2.9619830859408256,0.2,0.5923966171881652,25.0,0.36,2.665784777346743,21.05,1.2472563038633848,13.392462713491003,77.8,0.0,y,Cristian Espinoza
4,Roger Espinoza,SKC,M,5200,3.1555555555555554,1,1,7,5,0,2,90,3,5,3,1,0,6.274647887323944,11.34507042253521,0.1514084507112676,0.8296743611432437,0.18249141808195138,0.31847977334888705,0.025234741785211266,0.7061243743875247,0.035736964620573075,0.053079962224814516,16.887733342675414,6.146851174498652,40.0,0.175,2.9553533349681973,0.7142857142857143,2.1109666678344268,36.0,0.05555555555555555,0.8443866671337706,59.52,1.7451767140406977,10.877599200316405,71.66666667,34.5,y,Roger Espinoza
5,Shea Salinas,SJ,D,5600,1.7555555555555555,0,2,2,1,6,2,41,3,0,2,3,0,9.410126582278481,16.245569620253164,0.1139240506329114,0.8839240506329115,0.12888443362451668,0.16075192230804042,0.1139240506329114,0.6410669077757686,0.17771007870017771,0.16075192230804042,12.144130652357385,4.704201820864572,41.0,0.04878048780487805,0.5923966171881652,0.5,0.2961983085940826,25.0,0.08,0.592396617188165,21.05,1.2472563038633848,10.615047616354754,90.0,17.0,y,Shea Salinas
6,Ilie Sanchez,SKC,M,3400,4.5,0,1,2,0,0,5,186,3,1,8,8,0,5.604444444444444,6.937777777777778,0.044444444444444446,0.8296743611432437,0.05356854029236549,0.09348656912338713,0.17777777777777778,0.7061243743875247,0.2517655305865598,0.37394627649354845,16.887733342675414,6.146851174498652,40.0,0.05,0.8443866671337708,0.0,0.0,36.0,0.1388888888888889,2.1109666678344268,59.52,1.7451767140406977,10.182785574052247,90.0,45.0,y,Ilie Sanchez
7,Carlos Fierro,SJ,M/F,8800,3.522222222222222,1,0,5,2,7,0,83,9,2,5,4,0,8.108517350157728,10.947634069400632,0.125,0.8839240506329115,0.14141486467134468,0.17638058142132212,0.0,0.6410669077757686,0.0,0.0,12.144130652357385,4.704201820864572,41.0,0.12195121951219512,1.4809915429704128,0.4,0.5923966171881652,25.0,0.0,0.0,21.05,1.2472563038633848,9.227193974371799,79.25,0.0,y,Carlos Fierro
8,Jaylin Lindsey,SKC,D,7200,5.0,0,1,1,0,10,5,210,4,4,10,4,1,6.24,7.140000000000001,0.02,0.8296743611432437,0.02410584313156447,0.042068956105524205,0.04,0.7061243743875247,0.056647244381975964,0.08413791221104841,16.887733342675414,6.146851174498652,40.0,0.025,0.4221933335668854,0.0,0.0,36.0,0.1388888888888889,2.1109666678344268,59.52,1.7451767140406977,8.198677035722845,90.0,0.0,y,Jaylin Lindsey
9,Judson,SJ,M,3600,5.0,0,0,5,0,1,0,242,5,13,19,5,2,6.108,5.508,0.06,0.8839240506329115,0.06787913504224545,0.08466267908223463,0.0,0.6410669077757686,0.0,0.0,12.144130652357385,4.704201820864572,41.0,0.12195121951219512,1.4809915429704128,0.0,0.0,25.0,0.0,0.0,21.05,1.2472563038633848,6.835618333792759,90.0,0.0,y,Judson
