player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Andres Flores,SKC,DELETE,DELETE,187.0,1.0,0.0,1.0,1.0,3.0,2.0,57.0,3.0,2.0,0.0,1.0,0.0,0.1,0.1,DELETE,DELETE,DELETE
Dario Zuparic,SKC,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,2.0,195.0,2.0,5.0,2.0,4.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Diego Chara,SKC,DELETE,DELETE,360.0,0.0,0.0,1.0,0.0,1.0,2.0,292.0,6.0,10.0,7.0,1.0,1.0,0.0,0.1,DELETE,DELETE,DELETE
Diego Valeri,SKC,DELETE,DELETE,395.0,1.0,1.0,13.0,3.0,8.0,11.0,173.0,7.0,2.0,4.0,1.0,1.0,2.0,0.8,DELETE,DELETE,DELETE
Eryk Williamson,SKC,DELETE,DELETE,407.0,1.0,0.0,5.0,1.0,1.0,0.0,169.0,8.0,5.0,4.0,6.0,1.0,0.6,0.0,DELETE,DELETE,DELETE
Felipe Mora,SKC,DELETE,DELETE,358.0,0.0,0.0,7.0,3.0,0.0,3.0,68.0,8.0,4.0,0.0,0.0,0.0,0.6000000000000001,0.30000000000000004,DELETE,DELETE,DELETE
Jaroslaw Niezgoda,SKC,DELETE,DELETE,91.0,2.0,1.0,2.0,2.0,1.0,2.0,22.0,1.0,0.0,0.0,0.0,0.0,0.2,0.4,DELETE,DELETE,DELETE
Jorge Villafana,SKC,DELETE,DELETE,383.0,1.0,2.0,3.0,1.0,14.0,6.0,226.0,3.0,4.0,3.0,1.0,0.0,0.4,0.7,DELETE,DELETE,DELETE
Larrys Mabiala,SKC,DELETE,DELETE,363.0,0.0,0.0,2.0,1.0,0.0,0.0,204.0,5.0,9.0,3.0,4.0,1.0,0.1,0.0,DELETE,DELETE,DELETE
Marco Farfan,SKC,DELETE,DELETE,206.0,0.0,0.0,0.0,0.0,2.0,1.0,81.0,3.0,7.0,3.0,0.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Pablo Bonilla,SKC,DELETE,DELETE,249.0,0.0,1.0,1.0,0.0,9.0,3.0,118.0,2.0,6.0,4.0,1.0,1.0,0.1,0.2,DELETE,DELETE,DELETE
Steve Clark,SKC,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Yimmi Chara,SKC,DELETE,DELETE,391.0,1.0,1.0,5.0,3.0,8.0,6.0,192.0,3.0,2.0,8.0,0.0,0.0,0.4,0.8999999999999999,DELETE,DELETE,DELETE
Andy Polo,SKC,DELETE,DELETE,219.0,1.0,0.0,4.0,1.0,6.0,1.0,113.0,1.0,0.0,2.0,1.0,0.0,0.1,0.1,DELETE,DELETE,DELETE
Renzo Zambrano,SKC,DELETE,DELETE,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Tomas Conechny,SKC,DELETE,DELETE,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Cristhian Paredes,SKC,DELETE,DELETE,167.0,0.0,0.0,0.0,0.0,0.0,2.0,89.0,3.0,1.0,5.0,3.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Marvin Loria,SKC,DELETE,DELETE,67.0,0.0,0.0,1.0,0.0,2.0,0.0,23.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Bill Tuiloma,SKC,DELETE,DELETE,90.0,0.0,0.0,3.0,0.0,0.0,0.0,47.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Dairon Asprilla,SKC,DELETE,DELETE,27.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,1.0,0.3,0.0,DELETE,DELETE,DELETE
