,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Dominic Calvert-Lewin,EVE,F,9600,4.7555555555555555,7,0,19,12,4,1,66,7,4,1,0,0,8.857009345794392,23.57663551401869,4.4,7.099999999999999,0.6197183098591551,1.071279013344892,0.1,5.0,0.02,0.024347250303293,11.400317138699988,4.5185912367370635,43.0,0.4418604651162791,5.037349433379064,0.631578947368421,3.1814838526604614,38.0,0.02631578947368421,0.26512365438837177,38.46,1.7286547715338023,21.36683057569658,85.6,0.0,y,Dominic Calvert-Lewin
1,James Rodriguez,EVE,M/F,11400,4.644444444444445,3,3,12,6,8,15,222,15,5,3,2,1,12.819617224880382,22.831578947368417,1.6,7.099999999999999,0.2253521126760564,0.38955600485268793,1.9,5.0,0.38,0.46259775576256695,11.400317138699988,4.5185912367370635,43.0,0.27906976744186046,3.181483852660462,0.5,1.590741926330231,38.0,0.39473684210526316,3.9768548158255768,38.46,1.7286547715338023,20.42822717791855,83.6,0.0,y,James Rodriguez
2,Che Adams,SOU,F,8000,4.522222222222222,1,2,11,6,2,5,64,5,4,3,0,1,6.7842751842751845,11.317444717444717,2.0,6.1,0.3278688524590164,0.6384258141068877,1.4,3.3000000000000003,0.4242424242424242,0.44689806987482134,13.915124212106278,4.285669565334988,44.0,0.25,3.4787810530265695,0.5454545454545454,1.8975169380144923,27.0,0.18518518518518517,1.581264115012077,34.78,1.9471987330260072,17.459208666370944,81.4,0.0,y,Che Adams
3,Danny Ings,SOU,F,10200,5.0,4,0,11,7,5,3,60,7,4,0,0,0,6.140000000000001,14.14,2.5,6.1,0.4098360655737705,0.7980322676336096,0.3,3.3000000000000003,0.0909090909090909,0.09576387211603314,13.915124212106278,4.285669565334988,44.0,0.25,3.4787810530265695,0.6363636363636364,2.213769761016908,27.0,0.1111111111111111,0.9487584690072461,34.78,1.9471987330260072,17.136215192083018,90.0,0.0,y,Danny Ings
4,James Ward-Prowse,SOU,M,8400,5.0,0,0,5,2,8,6,270,7,7,9,2,0,7.5,7.5,0.2,6.1,0.03278688524590164,0.06384258141068877,0.6,3.3000000000000003,0.1818181818181818,0.19152774423206628,13.915124212106278,4.285669565334988,44.0,0.11363636363636363,1.581264115012077,0.4,0.6325056460048308,27.0,0.2222222222222222,1.8975169380144923,34.78,1.9471987330260072,10.798878978530686,90.0,0.0,y,James Ward-Prowse
5,Lucas Digne,EVE,D,7200,5.0,0,2,2,0,27,9,279,2,7,4,1,0,7.696,10.096,0.1,7.099999999999999,0.014084507042253525,0.024347250303292996,1.0,5.0,0.2,0.24347250303293,11.400317138699988,4.5185912367370635,43.0,0.046511627906976744,0.5302473087767436,0.0,0.0,38.0,0.23684210526315788,2.386112889495346,38.46,1.7286547715338023,10.116667719502598,90.0,0.0,y,Lucas Digne
6,Ryan Bertrand,SOU,D,6200,5.0,0,0,1,1,8,3,262,8,7,10,5,1,6.5680000000000005,6.268000000000001,0.3,6.1,0.04918032786885246,0.09576387211603314,0.1,3.3000000000000003,0.030303030303030304,0.031921290705344385,13.915124212106278,4.285669565334988,44.0,0.022727272727272728,0.3162528230024154,1.0,0.3162528230024154,27.0,0.1111111111111111,0.9487584690072461,34.78,1.9471987330260072,7.998430580404475,90.0,0.0,y,Ryan Bertrand
7,Kyle Walker-Peters,SOU,D,5000,5.0,0,1,3,2,3,3,251,5,6,11,4,2,6.024,6.6240000000000006,0.1,6.1,0.01639344262295082,0.031921290705344385,0.2,3.3000000000000003,0.06060606060606061,0.06384258141068877,13.915124212106278,4.285669565334988,44.0,0.06818181818181818,0.9487584690072461,0.6666666666666666,0.6325056460048307,27.0,0.1111111111111111,0.9487584690072461,34.78,1.9471987330260072,7.0562909795369,90.0,0.0,y,Kyle Walker-Peters
8,Stuart Armstrong,SOU,M,7600,2.7444444444444445,0,1,4,0,4,3,90,1,5,5,2,0,5.866396761133604,8.052631578947368,0.2,6.1,0.03278688524590164,0.06384258141068877,0.4,3.3000000000000003,0.12121212121212122,0.12768516282137754,13.915124212106278,4.285669565334988,44.0,0.09090909090909091,1.2650112920096617,0.0,0.0,27.0,0.1111111111111111,0.9487584690072461,34.78,1.9471987330260072,6.651639885262586,82.33333333,0.0,y,Stuart Armstrong
9,Abdoulaye Doucoure,EVE,M,4400,4.566666666666666,0,1,2,1,0,6,235,2,3,7,1,1,4.751824817518249,5.737226277372263,0.1,7.099999999999999,0.014084507042253525,0.024347250303292996,1.1,5.0,0.22000000000000003,0.267819753336223,11.400317138699988,4.5185912367370635,43.0,0.046511627906976744,0.5302473087767436,0.5,0.2651236543883718,38.0,0.15789473684210525,1.5907419263302307,38.46,1.7286547715338023,6.476503912545614,82.2,0.0,y,Abdoulaye Doucoure
