Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Abdoulaye Doucoure,EVE,M,4400,411,0,1,2,1,0,6,235,2,3,7,1,1,0.1,1.1,82.2,,y
Alex Iwobi,EVE,M,3000,104,0,1,0,0,1,1,31,1,3,1,1,0,0,0.4,,20.8,y
Allan,EVE,M,3600,360,0,0,2,1,2,1,186,6,10,8,3,1,0,0,90,0,y
Andre Gomes,EVE,M,3000,303,0,0,1,0,3,2,159,3,8,6,0,1,0.1,0,60.6,0,y
Ben Godfrey,EVE,D,3200,60,0,0,0,0,0,0,13,0,0,0,0,0,0,0,,12,y
Dominic Calvert-Lewin,EVE,F,9600,428,7,0,19,12,4,1,66,7,4,1,0,0,4.4,0.1,85.6,,y
Fabian Delph,EVE,M,3000,33,0,0,0,0,0,0,17,1,0,1,0,0,0,0,,6.6,
Gylfi Sigurdsson,EVE,M,6800,173,0,1,1,0,2,3,93,3,2,3,1,0,0.1,0.3,90,20.75,
James Rodriguez,EVE,M/F,11400,418,3,3,12,6,8,15,222,15,5,3,2,1,1.6,1.9,83.6,,y
Jordan Pickford,EVE,GK,5600,450,0,0,0,0,0,1,109,0,0,0,0,0,0,0,90,,
Lucas Digne,EVE,D,7200,450,0,2,2,0,27,9,279,2,7,4,1,0,0.1,1,90,,y
Michael Keane,EVE,D,4200,450,2,0,3,2,0,2,327,1,2,2,3,0,0.7,0.2,90,,y
Moise Kean,EVE,D,4200,15,0,0,1,0,0,0,7,0,1,0,0,0,0,0,,3,
Richarlison,EVE,M/F,8800,382,1,2,15,2,3,4,105,14,6,9,1,1,2.7,1.1,76.4,,
Seamus Coleman,EVE,D,4800,357,0,1,2,2,6,2,198,2,2,7,1,0,0,0.4,71.4,,
Tom Davies,EVE,M,3000,92,0,0,0,0,1,0,44,0,1,4,2,0,0,0,90,0.5,
Yerry Mina,EVE,D,4000,450,1,0,2,1,0,0,299,3,6,1,1,0,0.1,0,90,,y
Alex McCarthy,SOU,GK,5200,450,0,0,0,0,0,0,129,1,0,0,0,0,0,0,90,,
Che Adams,SOU,F,8000,407,1,2,11,6,2,5,64,5,4,3,0,1,2,1.4,81.4,,y
Danny Ings,SOU,F,10200,450,4,0,11,7,5,3,60,7,4,0,0,0,2.5,0.3,90,,y
Ibrahima Diallo,SOU,M,3400,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,,0.8,
Jack Stephens,SOU,D,3200,180,0,0,1,1,0,0,106,2,2,3,1,1,0.1,0,90,0,
James Ward-Prowse,SOU,M,8400,450,0,0,5,2,8,6,270,7,7,9,2,0,0.2,0.6,90,,y
Jan Bednarek,SOU,D,3200,405,0,0,2,1,0,1,235,4,2,4,5,0,0.3,0.1,81,,y
Jannik Vestergaard,SOU,D,4600,315,1,0,1,1,0,1,172,0,3,2,2,0,0.2,0.2,90,22.5,y
Kyle Walker-Peters,SOU,D,5000,450,0,1,3,2,3,3,251,5,6,11,4,2,0.1,0.2,90,,y
Michael Obafemi,SOU,F,6000,14,0,0,0,0,0,0,3,1,0,0,0,0,0,0,,2.8,
Moussa Djenepo,SOU,M,4600,234,1,0,4,1,0,1,54,5,8,2,0,1,0.2,0.2,73.33333333,7,
Nathan Redmond,SOU,M/F,7000,202,0,0,3,1,4,0,60,4,3,3,0,0,0.2,0,83,12,y
Nathan Tella,SOU,M,3400,51,0,0,1,0,2,0,12,4,1,0,0,0,0,0,,10.2,
Oriol Romeu,SOU,M,3800,410,1,0,3,1,0,2,238,1,8,6,4,2,0.1,0,82,,y
Ryan Bertrand,SOU,D,6200,450,0,0,1,1,8,3,262,8,7,10,5,1,0.3,0.1,90,,y
Shane Long,SOU,F,4200,29,0,0,1,0,0,0,4,1,2,0,0,0,0,0,,5.8,
Stuart Armstrong,SOU,M,7600,247,0,1,4,0,4,3,90,1,5,5,2,0,0.2,0.4,82.33333333,0,y
Theo Walcott,SOU,M,7400,90,0,1,2,0,4,4,19,1,1,1,0,0,0.1,0.2,90,0,
William Smallbone,SOU,M/F,5800,112,0,0,0,0,2,0,38,1,2,1,1,0,0,0,76,9,
