Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Allan Saint-Maximin,NEW,M/F,9000,313,1,1,5,4,5,6,71,13,3,4,2,0,0.6,1,78.25,0,y
Andy Carroll,NEW,F,5400,21,0,0,1,0,0,0,8,0,1,0,0,0,0,0,,4.2,
Callum Wilson,NEW,F,10200,446,5,1,7,3,1,4,45,11,8,2,0,1,4.5,0.8,89.2,,y
Emil Krafth,NEW,D,3800,180,0,0,0,0,3,2,66,1,0,4,2,1,0,0,90,0,
Fabian Schar,NEW,D,3800,276,0,0,1,0,0,1,123,0,4,3,3,0,0,0,78,21,y
Federico Fernandez,NEW,D,3200,450,0,0,0,0,0,1,187,4,2,2,1,0,0,0,90,,y
Isaac Hayden,NEW,M,3800,236,0,0,1,1,0,1,69,1,6,5,2,1,0,0,76,4,
Jacob Murphy,NEW,M,8400,197,1,0,3,1,2,1,62,3,2,4,1,1,0,0.1,90,5.666666667,y
Jamaal Lascelles,NEW,D,3000,357,0,0,1,0,0,0,118,0,1,4,2,0,0,0,89.25,0,y
Jamal Lewis,NEW,D,4000,382,0,0,0,0,9,1,130,6,5,6,1,2,0,0.1,90,22,y
Javier Manquillo,NEW,D,4000,126,0,0,1,0,2,0,48,1,1,0,1,0,0,0,90,9,
Jeff Hendrick,NEW,M,4600,430,0,0,5,0,0,0,146,7,5,1,3,0,0.2,0,86,,y
Joelinton,NEW,M/F,3800,263,0,0,1,1,2,2,75,4,1,4,1,2,0,0,83.33333333,6.5,
Jonjo Shelvey,NEW,M,7000,270,0,0,3,2,6,2,113,1,5,4,1,1,0.3,0.1,90,0,
Karl Darlow,NEW,GK,4400,450,0,0,0,0,0,0,81,1,0,0,0,0,0,0,90,,
Matt Ritchie,NEW,M,8600,68,0,0,1,0,2,1,25,1,0,0,0,0,0,0.1,68,0,
Miguel Almiron,NEW,M/F,6800,251,0,0,2,0,3,3,91,3,3,5,1,1,0.1,0.1,82.66666667,1.5,y
Ryan Fraser,NEW,M,5600,131,0,0,1,0,6,0,31,5,1,0,0,0,0,0,77,13.5,
Sean Longstaff,NEW,M,5800,103,0,0,2,1,1,2,38,1,2,1,0,0,0.2,0.1,90,3.25,y
Alex McCarthy,SOU,GK,6200,450,0,0,0,0,0,0,97,1,0,0,0,0,0,0,90,,
Che Adams,SOU,F,9600,422,2,2,8,5,1,4,76,2,3,4,0,0,1.6,1.3,84.4,,y
Dan Nlundulu,SOU,F,4200,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0.4,
Danny Ings,SOU,F,11200,444,3,2,10,5,4,5,76,5,3,1,0,0,1.8,0.6,88.8,,
Ibrahima Diallo,SOU,M,3200,21,0,0,0,0,2,1,16,0,4,1,0,1,0,0,,4.2,
Jack Stephens,SOU,D,3400,45,0,0,0,0,0,0,9,0,1,0,0,0,0,0,65,9,y
James Ward-Prowse,SOU,M,10600,450,3,1,4,3,7,8,278,5,7,7,2,1,0.3,0.7,90,,y
Jan Bednarek,SOU,D,3400,405,0,0,2,1,0,1,217,4,2,2,6,0,0.3,0.1,81,,y
Jannik Vestergaard,SOU,D,4200,450,2,0,3,3,0,0,232,1,3,3,5,0,0.3,0,90,,y
Kyle Walker-Peters,SOU,D,4800,450,0,0,3,2,4,1,233,7,7,9,7,2,0.1,0.1,90,,y
Michael Obafemi,SOU,F,6400,14,0,0,0,0,0,0,3,1,0,0,0,0,0,0,,2.8,
Moussa Djenepo,SOU,M,4800,130,1,0,2,1,0,0,34,1,5,1,0,1,0.1,0,65,0,y
Nathan Redmond,SOU,M/F,7400,202,0,0,4,0,3,1,66,5,4,3,0,0,0.2,0.1,83,12,
Nathan Tella,SOU,M,3600,28,0,0,0,0,1,0,11,0,1,0,0,0,0,0,,5.6,
Oriol Romeu,SOU,M,3600,446,1,0,5,3,0,2,270,3,7,8,3,1,0.1,0,89.2,,y
Ryan Bertrand,SOU,D,5400,438,0,0,1,1,10,5,245,9,9,7,6,0,0.3,0.2,87.6,,
Shane Long,SOU,F,8000,18,0,0,0,0,0,0,4,1,2,0,0,0,0,0,65,3.6,
Stuart Armstrong,SOU,M,7600,355,0,2,6,0,2,5,114,1,6,5,3,0,0.3,0.5,88.75,0,y
Theo Walcott,SOU,M,7200,180,0,1,4,0,4,4,28,3,2,3,1,0,0.2,0.2,90,0,y
