,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Callum Wilson,NEW,F,10200,4.955555555555556,5,1,7,3,1,4,45,11,8,2,0,1,4.9641255605381165,15.96188340807175,0.9,1.2976922085135576,0.693538879324016,1.0945693135303958,0.16,0.5995590563487594,0.2668627857518828,0.19459010018318143,9.985005848652547,3.527559275794351,26.0,0.2692307692307692,2.6882708054064546,0.42857142857142855,1.1521160594599091,19.0,0.21052631578947367,1.5361547459465454,23.26,1.5782378553849197,19.309775347215954,89.2,0.0,y,Callum Wilson
1,Che Adams,SOU,F,9600,4.688888888888889,2,2,8,5,1,4,76,2,3,4,0,0,5.058767772511848,11.883412322274882,0.32000000000000006,0.765,0.4183006535947713,0.6994633195706016,0.26,0.665,0.39097744360902253,0.5683139471511136,12.047554863820913,5.073974062414466,37.0,0.21621621621621623,2.60487672731263,0.625,1.6280479545703939,25.0,0.16,1.302438363656315,50.0,1.672154498348469,17.28387992415204,84.4,0.0,y,Che Adams
2,Allan Saint-Maximin,NEW,M/F,9000,3.477777777777778,1,1,5,4,5,6,71,13,3,4,2,0,10.472204472843451,15.072843450479233,0.15,1.2976922085135576,0.11558981322066933,0.1824282189217326,0.25,0.5995590563487594,0.41697310273731686,0.304047031536221,9.985005848652547,3.527559275794351,26.0,0.19230769230769232,1.9201934324331822,0.8,1.5361547459465459,19.0,0.3157894736842105,2.3042321189198183,23.26,1.5782378553849197,14.7641446757342,78.25,0.0,y,Allan Saint-Maximin
3,James Ward-Prowse,SOU,M,10600,5.0,3,1,4,3,7,8,278,5,7,7,2,1,6.992,13.892000000000001,0.06,0.765,0.0784313725490196,0.13114937241948776,0.13999999999999999,0.665,0.21052631578947364,0.3060152023121381,12.047554863820913,5.073974062414466,37.0,0.10810810810810811,1.302438363656315,0.75,0.9768287727422362,25.0,0.32,2.60487672731263,50.0,1.672154498348469,11.723728801778888,90.0,0.0,y,James Ward-Prowse
4,Theo Walcott,SOU,M,7200,2.0,0,1,4,0,4,4,28,3,2,3,1,0,8.43,11.43,0.1,0.765,0.13071895424836602,0.21858228736581298,0.1,0.665,0.15037593984962405,0.21858228736581292,12.047554863820913,5.073974062414466,37.0,0.10810810810810811,1.302438363656315,0.0,0.0,25.0,0.16,1.302438363656315,50.0,1.672154498348469,10.532193325165636,90.0,0.0,y,Theo Walcott
5,Stuart Armstrong,SOU,M,7600,3.9444444444444446,0,2,6,0,2,5,114,1,6,5,3,0,4.8625352112676055,7.9047887323943655,0.075,0.765,0.09803921568627451,0.1639367155243597,0.125,0.665,0.18796992481203006,0.27322785920726617,12.047554863820913,5.073974062414466,37.0,0.16216216216216217,1.9536575454844725,0.0,0.0,25.0,0.2,1.6280479545703939,50.0,1.672154498348469,8.90543981054206,88.75,0.0,y,Stuart Armstrong
6,Sean Longstaff,NEW,M,5800,1.1444444444444444,0,0,2,1,1,2,38,1,2,1,0,0,6.518446601941748,6.518446601941748,0.1747572815533981,1.2976922085135576,0.13466774355806138,0.21253773078260113,0.08737864077669905,0.5995590563487594,0.14573817183051854,0.10626886539130055,9.985005848652547,3.527559275794351,26.0,0.07692307692307693,0.7680773729732728,0.5,0.3840386864866364,19.0,0.10526315789473684,0.7680773729732727,23.26,1.5782378553849197,6.832698495713792,90.0,3.25,y,Sean Longstaff
7,Kyle Walker-Peters,SOU,D,4800,5.0,0,0,3,2,4,1,233,7,7,9,7,2,5.892,5.292,0.02,0.765,0.026143790849673203,0.04371645747316259,0.02,0.665,0.03007518796992481,0.043716457473162586,12.047554863820913,5.073974062414466,37.0,0.08108108108108109,0.9768287727422362,0.6666666666666666,0.6512191818281574,25.0,0.04,0.32560959091407876,50.0,1.672154498348469,6.745120865055075,90.0,0.0,y,Kyle Walker-Peters
8,Oriol Romeu,SOU,M,3600,4.955555555555556,1,0,5,3,0,2,270,3,7,8,3,1,4.923766816143497,6.6390134529147975,0.02,0.765,0.026143790849673203,0.04371645747316259,0.0,0.665,0.0,0.0,12.047554863820913,5.073974062414466,37.0,0.13513513513513514,1.6280479545703939,0.6,0.9768287727422362,25.0,0.08,0.6512191818281575,50.0,1.672154498348469,6.273260483872414,89.2,0.0,y,Oriol Romeu
9,Jacob Murphy,NEW,M,8400,2.188888888888889,1,0,3,1,2,1,62,3,2,4,1,1,6.45989847715736,10.343147208121826,0.0,1.2976922085135576,0.0,0.0,0.04568527918781726,0.5995590563487594,0.07619813044945892,0.055561894087837335,9.985005848652547,3.527559275794351,26.0,0.11538461538461539,1.1521160594599094,0.3333333333333333,0.3840386864866364,19.0,0.05263157894736842,0.38403868648663636,23.26,1.5782378553849197,5.743920126909445,90.0,5.666666667,y,Jacob Murphy
