player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aaron Connolly,SOU,DELETE,DELETE,152.0,0.0,1.0,1.0,0.0,1.0,1.0,13.0,4.0,1.0,1.0,0.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Adam Lallana,SOU,DELETE,DELETE,326.0,0.0,0.0,2.0,0.0,5.0,6.0,116.0,5.0,6.0,0.0,1.0,0.0,0.30000000000000004,0.9,DELETE,DELETE,DELETE
Adam Webster,SOU,DELETE,DELETE,450.0,0.0,0.0,4.0,1.0,0.0,2.0,303.0,4.0,3.0,5.0,4.0,1.0,0.30000000000000004,0.0,DELETE,DELETE,DELETE
Alireza Jahanbakhsh,SOU,DELETE,DELETE,16.0,0.0,1.0,1.0,0.0,2.0,2.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,DELETE,DELETE,DELETE
Ben White,SOU,DELETE,DELETE,450.0,0.0,0.0,1.0,0.0,2.0,1.0,248.0,0.0,6.0,9.0,3.0,1.0,0.0,0.1,DELETE,DELETE,DELETE
Leandro Trossard,SOU,DELETE,DELETE,408.0,0.0,0.0,12.0,4.0,8.0,6.0,117.0,2.0,1.0,1.0,0.0,1.0,1.2,0.6,DELETE,DELETE,DELETE
Lewis Dunk,SOU,DELETE,DELETE,269.0,0.0,0.0,2.0,0.0,0.0,1.0,186.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Mathew Ryan,SOU,DELETE,DELETE,360.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Neal Maupay,SOU,DELETE,DELETE,360.0,2.0,0.0,13.0,5.0,1.0,5.0,77.0,6.0,6.0,6.0,1.0,0.0,2.5999999999999996,0.5,DELETE,DELETE,DELETE
Pascal Gross,SOU,DELETE,DELETE,154.0,0.0,1.0,1.0,0.0,5.0,5.0,111.0,1.0,1.0,4.0,0.0,0.0,0.0,0.4,DELETE,DELETE,DELETE
Solly March,SOU,DELETE,DELETE,403.0,1.0,1.0,5.0,1.0,22.0,5.0,191.0,5.0,10.0,8.0,0.0,0.0,0.6,0.30000000000000004,DELETE,DELETE,DELETE
Steven Alzate,SOU,DELETE,DELETE,183.0,0.0,0.0,1.0,0.0,1.0,2.0,106.0,2.0,10.0,8.0,0.0,1.0,0.1,0.1,DELETE,DELETE,DELETE
Tariq Lamptey,SOU,DELETE,DELETE,393.0,1.0,0.0,2.0,1.0,9.0,5.0,187.0,15.0,10.0,4.0,3.0,1.0,0.30000000000000004,0.5,DELETE,DELETE,DELETE
Joel Veltman,SOU,DELETE,DELETE,225.0,0.0,0.0,0.0,0.0,3.0,0.0,154.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Yves Bissouma,SOU,DELETE,DELETE,360.0,1.0,0.0,8.0,1.0,3.0,1.0,179.0,5.0,8.0,6.0,1.0,1.0,0.2,0.0,DELETE,DELETE,DELETE
Alexis Mac Allister,SOU,DELETE,DELETE,46.0,1.0,0.0,1.0,1.0,1.0,0.0,13.0,0.0,1.0,2.0,0.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Dan Burn,SOU,DELETE,DELETE,261.0,0.0,0.0,2.0,0.0,1.0,0.0,139.0,2.0,4.0,4.0,3.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Bernardo,SOU,DELETE,DELETE,26.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Danny Welbeck,SOU,DELETE,DELETE,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Robert Lynch Sanchez,SOU,DELETE,DELETE,90.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Ashley Westwood,NEW,DELETE,DELETE,450.0,1.0,0.0,3.0,2.0,7.0,6.0,235.0,9.0,4.0,4.0,1.0,1.0,0.2,0.6000000000000001,DELETE,DELETE,DELETE
Charlie Taylor,NEW,DELETE,DELETE,450.0,0.0,0.0,1.0,1.0,16.0,0.0,196.0,4.0,1.0,6.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Chris Wood,NEW,DELETE,DELETE,450.0,0.0,0.0,9.0,3.0,0.0,2.0,67.0,4.0,9.0,4.0,0.0,0.0,1.0,0.1,DELETE,DELETE,DELETE
Dale Stephens,NEW,DELETE,DELETE,202.0,0.0,0.0,3.0,0.0,0.0,0.0,82.0,2.0,3.0,3.0,1.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Dwight McNeil,NEW,DELETE,DELETE,450.0,0.0,0.0,1.0,0.0,20.0,6.0,158.0,11.0,1.0,6.0,3.0,1.0,0.1,0.4,DELETE,DELETE,DELETE
