Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Abu Danladi,NSH,F,9400,47,0,0,0,0,1,1,12,0,1,1,3,0,0,0,,9.4,
Alex Muyl,NSH,M,6200,350,0,3,8,2,5,4,78,8,7,4,2,0,1.2,0.5,82,22,y
Alistair Johnston,NSH,M,4000,360,0,0,0,0,5,2,161,2,5,6,3,1,0,0,90,0,
Anibal Godoy,NSH,M,4800,373,0,0,2,1,2,5,196,12,11,7,7,1,0,0.4,74.6,,
Brian Anunga,NSH,M,3600,174,0,0,1,0,0,0,76,2,7,1,0,0,0,0,76,24.5,y
Daniel Armando Rios,NSH,F,7600,232,1,0,7,2,0,0,59,1,2,2,0,0,0.8,0,52,24,
Daniel Lovitz,NSH,D,8800,450,1,0,4,1,29,9,219,2,5,3,4,0,0.2,0.4,90,,y
David Romney,NSH,D,3600,450,0,0,2,2,2,1,193,1,3,1,1,0,0.2,0.1,90,,y
Dax McCarty,NSH,M,4600,315,1,0,2,2,1,2,155,6,10,7,5,2,0.1,0.2,78.75,0,y
Derrick Jones,NSH,M,3800,246,0,0,3,2,2,1,80,2,4,1,0,1,0,0,69.33333333,19,
Eric Miller,NSH,D,3200,90,0,0,1,0,1,0,40,1,0,0,0,0,0.1,0,90,0,
Handwalla Bwana,NSH,M,3800,67,0,0,0,0,1,2,16,1,2,0,1,0,0,0.2,,13.4,
Hany Mukhtar,NSH,M,11200,81,2,1,2,2,4,1,35,3,1,0,1,0,1,0.4,66,3.75,y
Jack Maher,NSH,D,3000,27,0,0,0,0,0,0,19,1,0,0,0,0,0,0,,5.4,
Jalil Anibaba,NSH,D,3200,65,0,0,1,0,3,0,43,1,0,1,0,0,0.2,0,,13,
Jhonder Cadiz,NSH,F,8400,218,1,0,8,2,2,0,36,7,2,1,0,0,0.8,0,66,38,y
Joe Willis,NSH,GK,5600,450,0,0,0,0,0,1,104,1,0,0,0,0,0,0.1,90,,
Matt LaGrassa,NSH,M,3600,113,0,0,0,0,2,1,51,3,3,1,0,0,0,0,68,11.25,
Randall Leal,NSH,M,9800,376,2,1,10,3,9,4,118,9,5,2,1,0,0.6,0.6,75.2,,y
Taylor Washington,NSH,D,5200,16,0,0,0,0,1,0,4,0,0,1,0,0,0,0,,3.2,
Walker Zimmerman,NSH,D,4400,450,0,0,4,0,1,2,192,1,12,5,4,1,0.3,0,90,,y
Alejandro Pozuelo,TOR,M,10600,431,1,0,6,3,10,9,245,9,3,4,1,0,1.2,0.9,86.2,,y
Auro,TOR,D,5800,296,0,0,1,1,4,3,204,1,4,5,0,1,0,0.4,74,0,y
Ayo Akinola,TOR,F,7800,174,1,0,2,1,0,0,30,1,6,0,0,0,0.4,0,87,0,
Chris Mavinga,TOR,D,3800,180,0,0,1,0,0,0,116,0,2,1,1,1,0,0,90,0,y
Erickson Gallardo,TOR,M/F,4800,34,0,0,0,0,0,0,5,0,0,0,0,0,0,0,,6.8,
Eriq Zavaleta,TOR,D,3000,90,0,0,0,0,0,0,52,1,0,0,0,0,0,0,90,0,
Jacob Shaffelburg,TOR,M/F,4600,32,0,0,0,0,0,1,3,0,0,0,0,0,0,0,,6.4,
Jahkeele Marshall-Rutty,TOR,F,4400,19,0,0,1,1,0,0,11,0,0,0,0,0,0.1,0,,3.8,
Jayden Nelson,TOR,M/F,6800,55,0,0,3,0,1,0,18,2,2,0,0,1,0.1,0,,11,
Jonathan Osorio,TOR,M,5200,64,0,0,0,0,0,0,52,4,0,0,0,0,0,0,45,0,y
Jozy Altidore,TOR,F,5000,34,0,0,0,0,1,1,6,1,1,0,0,0,0,0,65,6.8,y
Justin Morrow,TOR,D,3400,103,0,0,2,0,4,1,31,0,1,1,0,1,0.2,0,58,11.25,
Laurent Ciman,TOR,D,3000,270,0,0,0,0,0,0,154,2,2,4,3,0,0,0,90,0,
Liam Fraser,TOR,M,3600,151,0,0,1,0,2,0,92,1,3,4,1,0,0,0,75,19,
Marky Delgado,TOR,M,3800,122,0,0,0,0,1,0,68,1,4,1,0,0,0,0,61,0,
Michael Bradley,TOR,M,5000,431,0,0,4,1,1,4,343,4,6,10,1,1,0.7,0.2,86.2,,y
Nick DeLeon,TOR,M,4200,331,0,0,6,1,2,1,88,4,2,4,1,0,0.6,0.1,76.5,25,y
Omar Gonzalez,TOR,D,3400,363,0,0,1,1,0,0,172,0,2,4,4,1,0,0,90,3,y
Pablo Piatti,TOR,M/F,10200,90,1,0,3,2,1,0,37,2,4,0,2,0,0.3,0,90,0,y
Patrick Mullins,TOR,F,7400,224,0,1,2,1,3,5,45,2,4,2,0,1,0,0.5,61.5,22.5,
Quentin Westberg,TOR,GK,6600,450,0,0,0,0,0,2,165,0,0,0,0,0,0,0.1,90,,
Ralph Priso-Mbongue,TOR,M,3400,159,0,0,1,0,0,1,105,0,3,8,2,0,0,0.1,72,21.75,
Richie Laryea,TOR,D,7000,284,0,1,1,0,4,0,98,12,4,2,1,0,0,0,90,32,y
Tony Gallacher,TOR,D,4000,275,0,0,2,0,3,0,143,3,1,3,3,0,0,0,75,0,
Tsubasa Endoh,TOR,M,6000,288,1,0,3,1,5,3,103,9,4,3,0,0,0.8,0.4,64,32,
