,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Alejandro Pozuelo,TOR,M,10600,4.788888888888889,1,0,6,3,10,9,245,9,3,4,1,0,8.749419953596288,10.837587006960558,0.24000000000000002,0.8186706948640483,0.29315816665436567,0.46076188483052893,0.18000000000000002,0.3431117824773415,0.5246103724575151,0.3455714136228967,12.911183283628137,4.783566534434124,23.0,0.2608695652173913,3.368134769642123,0.5,1.6840673848210614,18.0,0.5,5.052202154463185,44.44,1.571717718421157,21.565451638969037,86.2,0.0,y,Alejandro Pozuelo
1,Hany Mukhtar,NSH,M,11200,0.9,2,1,2,2,4,1,35,3,1,0,1,0,12.777777777777777,41.666666666666664,0.8148148148148148,1.6231595068200573,0.5019930643853505,0.6172587477999371,0.32592592592592595,0.7130687830687831,0.45707501669511025,0.24690349911997486,11.200057978874517,3.5540376246626515,41.0,0.04878048780487805,0.5463442916524155,1.0,0.5463442916524155,23.0,0.043478260869565216,0.27317214582620775,32.79,1.2296160875364284,14.316165498146555,66.0,3.75,y,Hany Mukhtar
2,Michael Bradley,TOR,M,5000,4.788888888888889,0,0,4,1,1,4,343,4,6,10,1,1,5.859396751740139,5.546171693735499,0.14,0.8186706948640483,0.17100893054837998,0.2687777661511419,0.04000000000000001,0.3431117824773415,0.1165800827683367,0.07679364747175484,12.911183283628137,4.783566534434124,23.0,0.17391304347826086,2.2454231797614153,0.25,0.5613557949403538,18.0,0.2222222222222222,2.2454231797614153,44.44,1.571717718421157,11.712741700805132,86.2,0.0,y,Michael Bradley
3,Pablo Piatti,TOR,M/F,10200,1.0,1,0,3,2,1,0,37,2,4,0,2,0,7.440000000000001,17.439999999999998,0.3,0.8186706948640483,0.36644770831795703,0.5759523560381611,0.0,0.3431117824773415,0.0,0.0,12.911183283628137,4.783566534434124,23.0,0.13043478260869565,1.6840673848210614,0.6666666666666666,1.1227115898807076,18.0,0.0,0.0,44.44,1.571717718421157,11.00630253508338,90.0,0.0,y,Pablo Piatti
4,Daniel Lovitz,NSH,D,8800,5.0,1,0,4,1,29,9,219,2,5,3,4,0,8.636,10.636,0.04,1.6231595068200573,0.024643295888008118,0.030301793073815093,0.08,0.7130687830687831,0.11219114046152705,0.06060358614763019,11.200057978874517,3.5540376246626515,41.0,0.0975609756097561,1.092688583304831,0.25,0.27317214582620775,23.0,0.391304347826087,2.4585493124358697,32.79,1.2296160875364284,10.327049489190841,90.0,0.0,y,Daniel Lovitz
5,Alex Muyl,NSH,M,6200,3.888888888888889,0,3,8,2,5,4,78,8,7,4,2,0,7.343999999999999,11.97257142857143,0.28114285714285714,1.6231595068200573,0.17320716538428563,0.21297831703310038,0.11714285714285716,0.7130687830687831,0.16427988424723605,0.0887409654304585,11.200057978874517,3.5540376246626515,41.0,0.1951219512195122,2.185377166609662,0.25,0.5463442916524155,23.0,0.17391304347826086,1.092688583304831,32.79,1.2296160875364284,9.897839004480662,82.0,22.0,y,Alex Muyl
6,Nick DeLeon,TOR,M,4200,3.6777777777777776,0,0,6,1,2,1,88,4,2,4,1,0,5.073716012084592,5.073716012084592,0.13867069486404834,0.8186706948640483,0.16938519447929737,0.2662257114013252,0.023111782477341393,0.3431117824773415,0.06735933785330632,0.044370951900220876,12.911183283628137,4.783566534434124,23.0,0.2608695652173913,3.368134769642123,0.16666666666666666,0.5613557949403538,18.0,0.05555555555555555,0.5613557949403538,44.44,1.571717718421157,9.883045197022001,76.5,25.0,y,Nick DeLeon
7,Randall Leal,NSH,M,9800,4.177777777777778,2,1,10,3,9,4,118,9,5,2,1,0,8.29627659574468,14.519680851063828,0.12,1.6231595068200573,0.07392988766402435,0.09090537922144527,0.12,0.7130687830687831,0.16828671069229056,0.09090537922144527,11.200057978874517,3.5540376246626515,41.0,0.24390243902439024,2.731721458262077,0.3,0.8195164374786231,23.0,0.17391304347826086,1.092688583304831,32.79,1.2296160875364284,9.630412546588657,75.2,0.0,y,Randall Leal
8,Jhonder Cadiz,NSH,F,8400,2.422222222222222,1,0,8,2,2,0,36,7,2,1,0,0,7.893577981651377,12.022018348623853,0.2422018348623853,1.6231595068200573,0.14921628702830603,0.18347874705245837,0.0,0.7130687830687831,0.0,0.0,11.200057978874517,3.5540376246626515,41.0,0.1951219512195122,2.185377166609662,0.25,0.5463442916524155,23.0,0.0,0.0,32.79,1.2296160875364284,7.327609846217854,66.0,38.0,y,Jhonder Cadiz
9,Auro,TOR,D,5800,3.2888888888888888,0,0,1,1,4,3,204,1,4,5,0,1,4.828378378378378,4.3722972972972975,0.0,0.8186706948640483,0.0,0.0,0.1,0.3431117824773415,0.2914502069208417,0.19198411867938706,12.911183283628137,4.783566534434124,23.0,0.043478260869565216,0.5613557949403538,1.0,0.5613557949403538,18.0,0.16666666666666666,1.6840673848210614,44.44,1.571717718421157,6.303683686778092,74.0,0.0,y,Auro
