Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aaron Connolly,BHA,F,6400,241,1,1,3,1,1,2,24,7,2,2,0,0,0.3,0,76,6.5,
Adam Lallana,BHA,M,3800,249,0,0,2,0,2,5,101,4,5,0,2,0,0.3,0.9,70.33333333,19,y
Adam Webster,BHA,D,3000,450,0,0,2,0,0,2,273,3,3,5,2,1,0.2,0,90,,y
Alexis Mac Allister,BHA,M,6200,34,1,0,1,1,1,0,9,0,0,1,0,0,0.1,0,,6.8,
Alireza Jahanbakhsh,BHA,M/F,4000,17,0,1,2,0,2,3,17,0,0,0,0,1,0.1,0.4,,3.4,
Ben White,BHA,D,3000,450,0,0,1,0,3,1,262,1,5,7,3,1,0,0.1,90,,y
Dan Burn,BHA,D,4200,204,0,0,1,0,1,0,116,1,2,3,4,0,0,0,85.5,11,y
Joel Veltman,BHA,D,3200,135,0,0,0,0,3,0,86,2,0,2,0,0,0,0,90,11.25,y
Leandro Trossard,BHA,M/F,9000,425,0,1,14,5,10,8,128,3,4,2,0,1,1.3,1,85,,y
Lewis Dunk,BHA,D,3600,359,0,0,2,0,0,1,228,6,5,2,1,1,0,0,89.75,0,
Mathew Ryan,BHA,GK,4600,450,0,0,0,0,0,0,137,0,0,0,0,1,0,0,90,,
Neal Maupay,BHA,F,10000,450,4,1,16,7,2,6,101,8,6,6,1,0,3.6,0.6,90,,
Pascal Gross,BHA,M/F,9400,64,0,0,1,0,2,2,58,0,0,2,0,0,0,0.1,65,12.8,y
Solly March,BHA,M,7400,416,1,1,5,1,20,5,194,5,7,10,0,0,0.6,0.3,83.2,,y
Steven Alzate,BHA,M,3800,273,0,0,1,0,1,3,148,2,14,10,0,1,0.1,0.2,87,6,
Tariq Lamptey,BHA,M,6600,372,0,0,2,1,11,6,176,15,12,4,6,1,0.2,0.5,74.4,,y
Yves Bissouma,BHA,M,5000,358,1,0,9,1,3,1,203,5,8,7,1,1,0.2,0,89.5,0,y
Ben Davies,TOT,D,5400,288,0,0,0,0,7,0,163,2,7,2,0,0,0,0,90,9,
Davinson Sanchez,TOT,D,3000,360,0,0,3,0,0,0,216,1,6,8,0,0,0.6,0,90,0,
Dele Alli,TOT,M/F,8600,22,0,0,1,0,0,0,19,1,0,0,0,0,0.1,0,,4.4,
Eric Dier,TOT,D,3400,360,0,0,1,0,0,0,244,1,1,1,0,0,0.1,0,90,0,y
Erik Lamela,TOT,M,5000,121,0,0,6,3,1,1,44,1,4,3,1,1,0.5,0,45,19,y
Gareth Bale,TOT,M/F,11200,19,0,0,2,1,0,0,4,0,0,0,0,0,0.2,0,,9.5,b
Giovani Lo Celso,TOT,M,7400,133,0,0,6,4,1,4,84,4,4,0,0,1,0.3,0.3,76,14.25,
Harry Kane,TOT,F,12400,443,5,8,25,11,4,12,99,6,4,2,2,0,3.8,3,88.6,,y
Harry Winks,TOT,M,3200,198,0,0,0,0,0,1,132,3,2,3,0,1,0,0,90,6,
Hugo Lloris,TOT,GK,8200,450,0,0,0,0,0,0,100,1,0,0,0,0,0,0,90,,
Joe Rodon,TOT,D,3400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2,
Lucas Moura,TOT,M/F,8400,250,1,0,3,2,0,1,65,6,8,1,2,0,0.7,0,74.66666667,28,
Matt Doherty,TOT,D,6000,270,0,0,0,0,7,3,154,4,3,1,1,1,0,0.1,90,0,y
Moussa Sissoko,TOT,M,3600,270,0,0,0,0,0,2,149,2,5,4,4,0,0,0.1,90,0,y
Pierre Hojbjerg,TOT,M,4800,450,0,1,2,0,1,5,400,7,9,8,4,0,0,0.6,90,,y
Serge Aurier,TOT,D,6800,180,1,1,3,2,4,1,105,2,4,2,2,0,0.6,0.4,90,0,
Sergio Reguilon,TOT,D,7200,180,0,1,2,0,6,4,99,1,1,3,0,0,0.1,0.5,90,0,y
Son Heung-min,TOT,M/F,11600,375,8,2,12,9,5,13,132,4,1,1,0,0,2.8,1.4,75,,y
Steven Bergwijn,TOT,M/F,7800,123,0,0,2,0,1,2,46,3,2,0,1,0,0.1,0.2,71,13,
Tanguy Ndombele,TOT,M,5200,277,1,0,4,1,2,2,159,6,2,4,2,1,0.4,0.2,65.75,14,y
Toby Alderweireld,TOT,D,4000,180,0,0,0,0,0,1,91,1,0,1,0,0,0,0.1,90,0,y
