,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Leandro Trossard,BHA,M/F,9000,4.722222222222222,0,1,14,5,10,8,128,3,4,2,0,1,8.377411764705883,9.330352941176471,1.3,2.8000000000000003,0.46428571428571425,1.0748214285714284,1.0,2.9,0.3448275862068966,0.8267857142857142,12.972592629747979,5.3218398246852905,37.0,0.3783783783783784,4.9085485626073435,0.35714285714285715,1.7530530580740513,30.0,0.26666666666666666,2.8048848929184818,60.0,2.315,27.387415085028447,85.0,0.0,y,Leandro Trossard
1,Solly March,BHA,M,7400,4.622222222222222,1,1,5,1,20,5,194,5,7,10,0,0,8.736057692307693,12.197596153846156,0.6,2.8000000000000003,0.21428571428571425,0.49607142857142844,0.3,2.9,0.10344827586206896,0.24803571428571425,12.972592629747979,5.3218398246852905,37.0,0.13513513513513514,1.7530530580740513,0.2,0.3506106116148103,30.0,0.16666666666666666,1.753053058074051,60.0,2.315,16.181645299191484,83.2,0.0,y,Solly March
2,Harry Kane,TOT,F,12400,4.9222222222222225,5,8,25,11,4,12,99,6,4,2,2,0,12.14492099322799,32.054627539503386,3.8,7.8999999999999995,0.4810126582278481,0.31506329113924053,3.0,6.000000000000001,0.49999999999999994,0.24873417721518992,10.058696673418401,3.377670243982007,54.0,0.46296296296296297,4.656804015471482,0.44,2.048993766807452,43.0,0.27906976744186046,2.2352659274263114,16.67,0.655,15.940101684388791,88.6,0.0,y,Harry Kane
3,Tariq Lamptey,BHA,M,6600,4.133333333333334,0,0,2,1,11,6,176,15,12,4,6,1,8.76290322580645,8.399999999999999,0.2,2.8000000000000003,0.07142857142857142,0.16535714285714284,0.5,2.9,0.1724137931034483,0.4133928571428571,12.972592629747979,5.3218398246852905,37.0,0.05405405405405406,0.7012212232296205,0.5,0.3506106116148103,30.0,0.2,2.1036636696888613,60.0,2.315,12.433424075961863,74.4,0.0,y,Tariq Lamptey
4,Son Heung-min,TOT,M/F,11600,4.166666666666667,8,2,12,9,5,13,132,4,1,1,0,0,10.7136,32.7936,2.8,7.8999999999999995,0.35443037974683544,0.23215189873417721,1.4,6.000000000000001,0.23333333333333328,0.11607594936708862,10.058696673418401,3.377670243982007,54.0,0.2222222222222222,2.2352659274263114,0.75,1.6764494455697334,43.0,0.3023255813953488,2.4215380880451702,16.67,0.655,11.47922814458552,75.0,0.0,y,Son Heung-min
5,Adam Lallana,BHA,M,3800,2.7666666666666666,0,0,2,0,2,5,101,4,5,0,2,0,4.669879518072289,4.669879518072289,0.3,2.8000000000000003,0.10714285714285712,0.24803571428571422,0.9,2.9,0.3103448275862069,0.7441071428571427,12.972592629747979,5.3218398246852905,37.0,0.05405405405405406,0.7012212232296205,0.0,0.0,30.0,0.16666666666666666,1.753053058074051,60.0,2.315,11.071456342804073,70.33333333,19.0,y,Adam Lallana
6,Yves Bissouma,BHA,M,5000,3.977777777777778,1,0,9,1,3,1,203,5,8,7,1,1,6.450837988826816,8.587709497206705,0.2,2.8000000000000003,0.07142857142857142,0.16535714285714284,0.0,2.9,0.0,0.0,12.972592629747979,5.3218398246852905,37.0,0.24324324324324326,3.155495504533292,0.1111111111111111,0.3506106116148102,30.0,0.03333333333333333,0.3506106116148102,60.0,2.315,8.80028815633434,89.5,0.0,y,Yves Bissouma
7,Sergio Reguilon,TOT,D,7200,2.0,0,1,2,0,6,4,99,1,1,3,0,0,7.84,10.84,0.1,7.8999999999999995,0.012658227848101267,0.008291139240506331,0.5,6.000000000000001,0.08333333333333331,0.04145569620253165,10.058696673418401,3.377670243982007,54.0,0.037037037037037035,0.3725443212377185,0.0,0.0,43.0,0.09302325581395349,0.745088642475437,16.67,0.655,6.289278533333409,90.0,0.0,y,Sergio Reguilon
8,Pascal Gross,BHA,M/F,9400,0.7111111111111111,0,0,1,0,2,2,58,0,0,2,0,0,10.63125,10.63125,0.0,2.8000000000000003,0.0,0.0,0.1,2.9,0.034482758620689655,0.08267857142857142,12.972592629747979,5.3218398246852905,37.0,0.02702702702702703,0.3506106116148103,0.0,0.0,30.0,0.06666666666666667,0.7012212232296204,60.0,2.315,6.179153263415859,65.0,12.8,y,Pascal Gross
9,Pierre Hojbjerg,TOT,M,4800,5.0,0,1,2,0,1,5,400,7,9,8,4,0,5.64,6.840000000000001,0.0,7.8999999999999995,0.0,0.0,0.6,6.000000000000001,0.09999999999999998,0.04974683544303798,10.058696673418401,3.377670243982007,54.0,0.037037037037037035,0.3725443212377185,0.0,0.0,43.0,0.11627906976744186,0.9313608030942964,16.67,0.655,5.842386136990243,90.0,0.0,y,Pierre Hojbjerg
10,Adam Webster,BHA,D,3000,5.0,0,0,2,0,0,2,273,3,3,5,2,1,3.3920000000000003,3.092,0.2,2.8000000000000003,0.07142857142857142,0.16535714285714284,0.0,2.9,0.0,0.0,12.972592629747979,5.3218398246852905,37.0,0.05405405405405406,0.7012212232296205,0.0,0.0,30.0,0.06666666666666667,0.7012212232296204,60.0,2.315,5.34801387503067,90.0,0.0,y,Adam Webster
11,Joel Veltman,BHA,D,3200,1.5,0,0,0,0,3,0,86,2,0,2,0,0,5.213333333333333,5.213333333333333,0.0,2.8000000000000003,0.0,0.0,0.0,2.9,0.0,0.0,12.972592629747979,5.3218398246852905,37.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,60.0,2.315,5.213333333333333,90.0,11.25,y,Joel Veltman
12,Tanguy Ndombele,TOT,M,5200,3.077777777777778,1,0,4,1,2,2,159,6,2,4,2,1,7.011552346570396,9.773285198555955,0.4,7.8999999999999995,0.05063291139240507,0.033164556962025325,0.2,6.000000000000001,0.03333333333333333,0.016582278481012663,10.058696673418401,3.377670243982007,54.0,0.07407407407407407,0.745088642475437,0.25,0.18627216061885926,43.0,0.046511627906976744,0.3725443212377185,16.67,0.655,4.8397736067156005,65.75,14.0,y,Tanguy Ndombele
13,Matt Doherty,TOT,D,6000,3.0,0,0,0,0,7,3,154,4,3,1,1,1,4.993333333333333,4.493333333333333,0.0,7.8999999999999995,0.0,0.0,0.1,6.000000000000001,0.016666666666666666,0.008291139240506331,10.058696673418401,3.377670243982007,54.0,0.0,0.0,0.0,0.0,43.0,0.06976744186046512,0.5588164818565778,16.67,0.655,4.101896650632949,90.0,0.0,y,Matt Doherty
