player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aaron Connolly,TOT,DELETE,DELETE,241.0,1.0,1.0,3.0,1.0,1.0,2.0,24.0,7.0,2.0,2.0,0.0,0.0,0.30000000000000004,0.0,DELETE,DELETE,DELETE
Adam Lallana,TOT,DELETE,DELETE,249.0,0.0,0.0,2.0,0.0,2.0,5.0,101.0,4.0,5.0,0.0,2.0,0.0,0.30000000000000004,0.9,DELETE,DELETE,DELETE
Adam Webster,TOT,DELETE,DELETE,450.0,0.0,0.0,2.0,0.0,0.0,2.0,273.0,3.0,3.0,5.0,2.0,1.0,0.2,0.0,DELETE,DELETE,DELETE
Alireza Jahanbakhsh,TOT,DELETE,DELETE,17.0,0.0,1.0,2.0,0.0,2.0,3.0,17.0,0.0,0.0,0.0,0.0,1.0,0.1,0.4,DELETE,DELETE,DELETE
Ben White,TOT,DELETE,DELETE,450.0,0.0,0.0,1.0,0.0,3.0,1.0,262.0,1.0,5.0,7.0,3.0,1.0,0.0,0.1,DELETE,DELETE,DELETE
Dan Burn,TOT,DELETE,DELETE,204.0,0.0,0.0,1.0,0.0,1.0,0.0,116.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Leandro Trossard,TOT,DELETE,DELETE,425.0,0.0,1.0,14.0,5.0,10.0,8.0,128.0,3.0,4.0,2.0,0.0,1.0,1.2999999999999998,1.0,DELETE,DELETE,DELETE
Lewis Dunk,TOT,DELETE,DELETE,359.0,0.0,0.0,2.0,0.0,0.0,1.0,228.0,6.0,5.0,2.0,1.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Mathew Ryan,TOT,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Neal Maupay,TOT,DELETE,DELETE,450.0,4.0,1.0,16.0,7.0,2.0,6.0,101.0,8.0,6.0,6.0,1.0,0.0,3.5999999999999996,0.6,DELETE,DELETE,DELETE
Solly March,TOT,DELETE,DELETE,416.0,1.0,1.0,5.0,1.0,20.0,5.0,194.0,5.0,7.0,10.0,0.0,0.0,0.6,0.30000000000000004,DELETE,DELETE,DELETE
