Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aymeric Laporte,MCI,D,4000,270,0,0,2,0,0,1,184,3,1,1,1,1,0.2,0.2,90,0,y
Benjamin Mendy,MCI,D,4200,70,0,0,0,0,0,0,17,0,3,1,1,1,0,0,70,0,
Bernardo Silva,MCI,M/F,7200,303,0,0,3,1,1,2,200,4,3,4,1,0,0.3,0.1,82.33333333,28,y
Ederson,MCI,GK,6600,450,0,0,0,0,0,0,138,1,0,0,0,0,0,0,90,,
Eric Garcia,MCI,D,3200,90,0,0,1,0,0,0,99,0,0,1,0,0,0,0,90,0,
Fernandinho,MCI,M,3800,16,0,0,1,0,0,0,8,1,1,1,0,0,0,0,,3.2,
Ferran Torres,MCI,M,6600,204,0,1,7,3,3,1,38,3,3,0,0,0,1.1,0.1,68,0,y
Gabriel Jesus,MCI,F,9400,90,1,0,2,1,1,1,17,1,2,0,0,0,0.6,0,90,0,y
Ilkay Gundogan,MCI,M,4400,212,0,0,2,0,3,4,179,2,2,1,1,0,0.1,0.2,90,10.66666667,
Joao Cancelo,MCI,D,6200,360,0,1,2,0,11,11,242,5,7,7,7,1,0.1,1.1,90,0,y
Kevin De Bruyne,MCI,M,12400,293,0,2,12,2,13,12,141,4,4,5,1,0,1.2,1.3,90,11.5,y
Kyle Walker,MCI,D,5400,437,1,0,3,2,3,3,300,3,8,5,5,1,0,0.2,87.4,,y
Nathan Ake,MCI,D,3200,110,0,0,0,0,0,1,79,1,0,1,0,1,0,0,90,5,
Oleksandr Zinchenko,MCI,D,5600,13,0,0,0,0,1,0,8,0,0,0,0,0,0,0,,2.6,
Phil Foden,MCI,M,8000,233,1,0,9,4,5,2,92,3,2,0,2,0,1,0.1,89,18.33333333,
Raheem Sterling,MCI,M/F,7600,450,2,0,11,4,6,6,157,7,8,2,1,1,1.4,0.7,90,,
Riyad Mahrez,MCI,M/F,9000,340,0,0,12,5,6,5,152,5,4,5,0,0,0.6,0.6,85,0,y
Rodri,MCI,M,3600,450,0,0,3,1,0,3,337,5,7,7,1,1,0,0.1,90,,y
Ruben Dias,MCI,D,3200,450,0,0,1,0,0,1,380,6,4,2,3,1,0.2,0,90,,y
Sergio Aguero,MCI,F,7000,109,0,0,1,0,1,3,28,2,0,0,0,0,0.2,0.6,54.5,0,
Ben Davies,TOT,D,4000,114,0,0,0,0,3,0,82,1,1,1,0,0,0,0,90,6,
Carlos,TOT,F,7400,12,0,0,2,1,0,1,1,0,1,0,0,0,0.1,0,,2.4,
Davinson Sanchez,TOT,D,3200,180,0,0,1,0,0,0,125,1,3,6,0,0,0.4,0,90,0,
Dele Alli,TOT,M/F,6200,22,0,0,1,0,0,0,19,1,0,0,0,0,0.1,0,,4.4,
Eric Dier,TOT,D,3000,360,0,0,0,0,0,0,233,1,1,0,0,0,0,0,90,0,y
Erik Lamela,TOT,M,3600,148,0,0,5,1,2,1,41,1,4,5,1,1,0.3,0,57,11.33333333,
Gareth Bale,TOT,M/F,8600,117,1,0,6,2,1,2,21,2,2,1,1,0,0.7,0.2,77,10,
Giovani Lo Celso,TOT,M,6800,66,0,0,3,1,0,3,34,2,2,3,0,0,0.3,0.3,,13.2,
Harry Kane,TOT,F,11200,450,6,3,23,6,3,10,117,12,7,3,2,0,4.1,1.2,90,,y
Harry Winks,TOT,M,3200,18,0,0,0,0,0,0,5,0,1,1,0,0,0,0,,3.6,
Hugo Lloris,TOT,GK,5000,450,0,0,0,0,0,0,101,1,0,0,0,0,0,0,90,,
Joe Rodon,TOT,D,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2,
Lucas Moura,TOT,M/F,7000,125,0,0,0,0,0,1,28,4,4,0,2,0,0,0,56,17.25,
Matt Doherty,TOT,D,5200,270,0,1,0,0,8,3,129,2,2,3,0,0,0,0.3,90,0,
Moussa Sissoko,TOT,M,3400,438,0,0,0,0,0,2,202,3,6,7,4,0,0,0.1,87.6,,y
Pierre Hojbjerg,TOT,M,3200,450,0,1,1,0,0,3,366,7,5,12,1,0,0,0.4,90,,y
Serge Aurier,TOT,D,5800,180,1,1,3,2,4,1,105,2,4,2,2,0,0.6,0.4,90,0,y
Sergio Reguilon,TOT,D,6000,360,0,2,6,2,11,6,209,1,5,5,2,1,0.2,0.8,90,0,y
Son Heung-min,TOT,M/F,10600,414,4,2,10,6,5,10,141,9,2,1,1,0,1.9,0.9,82.8,,y
Steven Bergwijn,TOT,M/F,4600,71,0,0,1,0,0,0,18,2,0,0,1,0,0,0,71,0,y
Tanguy Ndombele,TOT,M,3000,344,1,0,4,1,2,6,166,6,6,4,2,1,0.4,0.7,68.8,,y
Toby Alderweireld,TOT,D,3400,360,0,0,1,1,0,1,175,1,0,1,0,0,0,0.1,90,0,y
