,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Harry Kane,TOT,F,11200,5.0,6,3,23,6,3,10,117,12,7,3,2,0,11.187999999999999,26.788,0.82,1.63,0.5030674846625767,0.7807948690549935,0.24,1.0849999999999997,0.2211981566820277,0.2285253275282908,9.655503237726426,4.224182289775989,49.0,0.46938775510204084,4.5321749891368945,0.2608695652173913,1.1823065189052768,39.0,0.2564102564102564,1.9705108648421277,23.53,1.552067849462975,20.252093028603976,90.0,0.0,y,Harry Kane
1,Kevin De Bruyne,MCI,M,12400,3.2555555555555555,0,2,12,2,13,12,141,4,4,5,1,0,13.951535836177476,17.63754266211604,0.36860068259385664,1.698452167739071,0.2170215267731248,0.4004109860188312,0.3993174061433447,1.0114901234139717,0.3947813200543891,0.43377856818706706,13.295986973182575,5.041674148916835,47.0,0.2553191489361702,3.3947200782593807,0.16666666666666666,0.5657866797098967,40.0,0.3,3.394720078259381,53.48,1.8450288870994003,19.927195818849953,90.0,11.5,y,Kevin De Bruyne
2,Son Heung-min,TOT,M/F,10600,4.6,4,2,10,6,5,10,141,9,2,1,1,0,9.091304347826087,20.395652173913042,0.37999999999999995,1.63,0.2331288343558282,0.3618317685864604,0.18,1.0849999999999997,0.16589861751152077,0.1713939956462181,9.655503237726426,4.224182289775989,49.0,0.20408163265306123,1.970510864842128,0.6,1.1823065189052766,39.0,0.2564102564102564,1.9705108648421277,23.53,1.552067849462975,12.934009908331443,82.8,0.0,y,Son Heung-min
3,Riyad Mahrez,MCI,M/F,9000,3.7777777777777777,0,0,12,5,6,5,152,5,4,5,0,0,9.857647058823527,9.857647058823527,0.15,1.698452167739071,0.0883157046451744,0.16294502625488544,0.15,1.0114901234139717,0.1482960599691487,0.16294502625488544,13.295986973182575,5.041674148916835,47.0,0.2553191489361702,3.3947200782593807,0.4166666666666667,1.4144666992747421,40.0,0.125,1.4144666992747421,53.48,1.8450288870994003,12.640773896887032,85.0,0.0,y,Riyad Mahrez
4,Joao Cancelo,MCI,D,6200,4.0,0,1,2,0,11,11,242,5,7,7,7,1,9.385,10.51,0.025,1.698452167739071,0.014719284107529068,0.027157504375814247,0.275,1.0114901234139717,0.27187610994343936,0.2987325481339567,13.295986973182575,5.041674148916835,47.0,0.0425531914893617,0.5657866797098968,0.0,0.0,40.0,0.275,3.111826738404433,53.48,1.8450288870994003,11.501583750676213,90.0,0.0,y,Joao Cancelo
5,Serge Aurier,TOT,D,5800,2.0,1,1,3,2,4,1,105,2,4,2,2,0,6.95,14.950000000000001,0.3,1.63,0.18404907975460122,0.2856566594103635,0.2,1.0849999999999997,0.1843317972350231,0.19043777294024236,9.655503237726426,4.224182289775989,49.0,0.061224489795918366,0.5911532594526383,0.6666666666666666,0.39410217296842553,39.0,0.02564102564102564,0.1970510864842128,23.53,1.552067849462975,9.131499750650367,90.0,0.0,y,Serge Aurier
6,Ferran Torres,MCI,M,6600,2.2666666666666666,0,1,7,3,3,1,38,3,3,0,0,0,6.776470588235294,9.423529411764708,0.3666666666666667,1.698452167739071,0.215882833577093,0.398310064178609,0.03333333333333333,1.0114901234139717,0.032954679993144165,0.036210005834418996,13.295986973182575,5.041674148916835,47.0,0.14893617021276595,1.9802533789846388,0.42857142857142855,0.8486800195648452,40.0,0.025,0.2828933398549484,53.48,1.8450288870994003,8.76552074853037,68.0,0.0,y,Ferran Torres
7,Gabriel Jesus,MCI,F,9400,1.0,1,0,2,1,1,1,17,1,2,0,0,0,5.04,15.04,0.6,1.698452167739071,0.3532628185806976,0.6517801050195418,0.0,1.0114901234139717,0.0,0.0,13.295986973182575,5.041674148916835,47.0,0.0425531914893617,0.5657866797098968,0.5,0.2828933398549484,40.0,0.025,0.2828933398549484,53.48,1.8450288870994003,8.689374409615212,90.0,0.0,y,Gabriel Jesus
8,Sergio Reguilon,TOT,D,6000,4.0,0,2,6,2,11,6,209,1,5,5,2,1,7.595,10.22,0.05,1.63,0.030674846625766874,0.04760944323506058,0.2,1.0849999999999997,0.1843317972350231,0.19043777294024236,9.655503237726426,4.224182289775989,49.0,0.12244897959183673,1.1823065189052766,0.3333333333333333,0.39410217296842553,39.0,0.15384615384615385,1.1823065189052768,23.53,1.552067849462975,8.097436280771038,90.0,0.0,y,Sergio Reguilon
9,Pierre Hojbjerg,TOT,M,3200,5.0,0,1,1,0,0,3,366,7,5,12,1,0,5.664,6.864,0.0,1.63,0.0,0.0,0.08,1.0849999999999997,0.07373271889400923,0.07617510917609693,9.655503237726426,4.224182289775989,49.0,0.02040816326530612,0.19705108648421277,0.0,0.0,39.0,0.07692307692307693,0.5911532594526384,23.53,1.552067849462975,6.109255000993432,90.0,0.0,y,Pierre Hojbjerg
