Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aaron Herrera,RSL,D,7400,445,0,0,4,0,16,6,227,4,7,6,8,0,0.2,0.3,89,,y
Albert Rusnak,RSL,M,12600,270,1,1,7,2,7,12,124,4,3,3,0,0,1.6,0.6,90,0,
Andrew Putna,RSL,GK,8000,450,0,0,0,0,0,0,75,1,0,0,0,0,0,0,90,,
Christopher Garcia,RSL,F,3600,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,,0.2,
Corey Baird,RSL,M,10000,249,0,0,4,0,1,2,69,0,3,0,2,2,0.6,0,76.33333333,10,b
Damir Kreilach,RSL,M,11800,348,1,0,10,2,0,3,119,6,3,2,1,0,1.3,0.2,87,0,y
Donny Toia,RSL,D,6000,251,0,0,1,0,4,0,107,3,5,1,2,2,0,0,83.33333333,0.5,y
Douglas Martinez,RSL,F,4800,197,0,0,6,2,6,3,36,4,3,0,0,0,0.7,0.3,78,13.66666667,y
Erik Holt,RSL,D,3000,180,0,0,1,0,0,0,74,0,0,2,0,0,0.1,0,90,6,b
Everton Luiz,RSL,M,4000,90,0,0,0,0,0,0,34,3,1,0,1,0,0,0,90,,
Jeizon Ramirez,RSL,M/F,5800,35,0,0,3,1,3,0,9,0,0,1,0,0,0.1,0,,7,b
Justen Glad,RSL,D,3600,270,0,0,2,1,1,1,124,1,5,6,1,1,0.1,0,90,0,y
Justin Meram,RSL,M/F,9000,290,1,0,3,2,9,3,92,1,4,2,1,0,0.2,0.4,71.25,5,y
Justin Portillo,RSL,M,3200,90,0,0,1,0,1,0,57,0,0,2,0,0,0,0,90,,y
Kyle Beckerman,RSL,M,4400,159,0,0,2,0,0,1,95,1,5,0,1,2,0.1,0,73.5,4,b
Maikel Chang,RSL,M,8200,293,0,1,3,0,15,10,75,3,3,1,2,0,0.2,1.2,84,20.5,y
Marcelo Silva,RSL,D,3800,270,0,0,3,1,0,0,114,1,2,3,0,0,0.1,0,90,0,y
Nedum Onuoha,RSL,D,3400,270,0,0,1,0,1,2,115,1,2,3,2,0,0,0.2,90,0,
Nick Besler,RSL,M,3000,103,0,0,0,0,0,0,58,0,1,0,2,1,0,0,90,3.25,b
Pablo Ruiz,RSL,M,6600,437,0,0,9,3,5,5,234,2,1,13,1,2,0.2,0.1,87.4,,y
Sam Johnson,RSL,F,6400,134,0,0,3,0,0,1,15,2,2,0,1,1,0.5,0,65,17.25,
Tate Schmitt,RSL,D,4600,90,0,0,1,0,3,1,52,1,2,0,1,0,0,0.1,90,,
Ali Adnan Kadhim,VAN,D,8400,360,0,0,1,0,3,3,139,9,3,6,4,1,0,0.7,90,0,y
Andy Rose,VAN,M,3800,255,0,0,3,2,1,0,121,1,4,1,4,2,0.5,0,68.66666667,24.5,
Bryan Meredith,VAN,GK,5000,270,0,0,0,0,0,0,69,0,0,0,0,0,0,0,90,0,
Cristian Dajome,VAN,M/F,9600,399,0,1,6,0,8,6,82,13,4,9,4,0,0.5,0.9,79.8,,y
Cristian Gutierrez,VAN,D,6800,243,0,0,0,0,3,4,113,4,3,2,4,1,0,0.3,81,0,
Derek Cornelius,VAN,D,3000,270,0,0,0,0,0,0,94,1,0,5,0,0,0,0,90,0,b
Erik Godoy,VAN,D,3000,299,0,0,0,0,0,0,131,0,5,2,1,0,0,0,84.66666667,22.5,y
Evan Bush,VAN,GK,5200,90,0,0,0,0,0,0,30,0,0,0,0,0,0,0,90,0,
Fredy Montero,VAN,F,12200,364,1,1,10,5,7,2,92,6,7,5,0,0,1.9,0.5,82.5,34,y
Jake Nerwinski,VAN,D,4200,430,0,0,0,0,4,3,170,1,3,3,4,0,0,0,86,,y
Janio Bikel,VAN,M,3000,281,0,0,0,0,2,0,96,3,10,3,1,3,0,0,65.2,,y
Leonard Owusu,VAN,M,3400,267,0,0,0,0,1,3,102,7,5,4,1,0,0,0.2,90,21,y
Lucas Cavallini,VAN,F,8600,300,1,0,10,3,0,1,34,6,7,2,0,2,1.3,0.3,89.33333333,16,y
Manuel Milinkovic,VAN,M,4600,239,1,0,1,1,2,0,50,2,8,3,1,0,0.3,0,55.66666667,36,b
Michael Baldisimo,VAN,M,4800,220,0,0,1,1,0,2,78,1,3,5,1,2,0,0.4,81,19.33333333,b
Patrick Metcalfe,VAN,M,3200,58,0,0,0,0,0,0,22,2,1,0,1,0,0,0,,19.33333333,b
Ranko Veselinovic,VAN,D,3200,171,0,0,1,0,0,0,44,1,0,0,1,0,0.1,0,67.5,12,y
Russell Teibert,VAN,M,4000,117,0,0,0,0,1,2,34,0,0,1,0,0,0,0.1,58.5,0,y
Ryan Raposo,VAN,M,3200,46,0,0,0,0,0,0,11,0,0,1,2,0,0,0,,9.2,b
Theo Bair,VAN,F,3600,47,0,0,0,0,1,0,8,1,1,0,0,0,0,0,45,6.5,b
Thomas Hasal,VAN,GK,5000,90,0,0,0,0,0,0,17,1,0,0,0,1,0,0,90,0,
Tosaint Ricketts,VAN,F,6200,57,0,0,0,0,0,0,15,1,2,1,0,0,0,0,54,0.75,b
