,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Fredy Montero,VAN,F,12200,4.044444444444444,1,1,10,5,7,2,92,6,7,5,0,0,7.724175824175824,11.680219780219781,1.9,4.1,0.4634146341463415,0.5700000000000001,0.5,3.1,0.16129032258064516,0.15000000000000002,9.612395063511347,4.08421635485416,30.0,0.3333333333333333,3.2041316878371155,0.5,1.6020658439185578,22.0,0.09090909090909091,0.6408263375674231,25.64,1.23,15.274496396795625,82.5,34.0,y,Fredy Montero
1,Damir Kreilach,RSL,M,11800,3.8666666666666667,1,0,10,2,0,3,119,6,3,2,1,0,6.305172413793104,8.891379310344826,1.3,3.900000000000001,0.33333333333333326,0.6549999999999999,0.2,2.5000000000000004,0.07999999999999999,0.10076923076923075,13.475124934727974,4.82966491074199,52.0,0.19230769230769232,2.59137017975538,0.2,0.518274035951076,34.0,0.08823529411764706,0.777411053926614,52.38,1.965,13.386670654248451,87.0,0.0,y,Damir Kreilach
2,Cristian Dajome,VAN,M/F,9600,4.433333333333334,0,1,6,0,8,6,82,13,4,9,4,0,9.302255639097744,10.655639097744361,0.5,4.1,0.12195121951219513,0.15000000000000002,0.9,3.1,0.2903225806451613,0.2700000000000001,9.612395063511347,4.08421635485416,30.0,0.2,1.9224790127022695,0.0,0.0,22.0,0.2727272727272727,1.922479012702269,25.64,1.23,12.81295802540454,79.8,0.0,y,Cristian Dajome
3,Maikel Chang,RSL,M,8200,3.2555555555555555,0,1,3,0,15,10,75,3,3,1,2,0,8.754266211604095,10.597269624573379,0.2,3.900000000000001,0.05128205128205127,0.10076923076923075,1.2,2.5000000000000004,0.47999999999999987,0.6046153846153844,13.475124934727974,4.82966491074199,52.0,0.057692307692307696,0.7774110539266139,0.0,0.0,34.0,0.29411764705882354,2.59137017975538,52.38,1.965,12.447851855892548,84.0,20.5,y,Maikel Chang
4,Douglas Martinez,RSL,F,4800,2.188888888888889,0,0,6,2,6,3,36,4,3,0,0,0,8.41522842639594,8.41522842639594,0.7,3.900000000000001,0.17948717948717943,0.3526923076923076,0.3,2.5000000000000004,0.11999999999999997,0.1511538461538461,13.475124934727974,4.82966491074199,52.0,0.11538461538461539,1.5548221078532278,0.3333333333333333,0.5182740359510759,34.0,0.08823529411764706,0.777411053926614,52.38,1.965,10.222221371881638,78.0,13.66666667,y,Douglas Martinez
5,Aaron Herrera,RSL,D,7400,4.944444444444445,0,0,4,0,16,6,227,4,7,6,8,0,7.329438202247189,7.329438202247189,0.2,3.900000000000001,0.05128205128205127,0.10076923076923075,0.3,2.5000000000000004,0.11999999999999997,0.1511538461538461,13.475124934727974,4.82966491074199,52.0,0.07692307692307693,1.0365480719021518,0.0,0.0,34.0,0.17647058823529413,1.554822107853228,52.38,1.965,9.753985564370765,89.0,0.0,y,Aaron Herrera
6,Pablo Ruiz,RSL,M,6600,4.855555555555555,0,0,9,3,5,5,234,2,1,13,1,2,8.275057208237987,7.6572082379862705,0.2,3.900000000000001,0.05128205128205127,0.10076923076923075,0.1,2.5000000000000004,0.039999999999999994,0.050384615384615375,13.475124934727974,4.82966491074199,52.0,0.17307692307692307,2.3322331617798415,0.3333333333333333,0.7774110539266138,34.0,0.14705882352941177,1.29568508987769,52.38,1.965,9.751329305584147,87.4,0.0,y,Pablo Ruiz
7,Lucas Cavallini,VAN,F,8600,3.3333333333333335,1,0,10,3,0,1,34,6,7,2,0,2,5.754,7.853999999999999,1.3,4.1,0.3170731707317074,0.39000000000000007,0.3,3.1,0.0967741935483871,0.09000000000000001,9.612395063511347,4.08421635485416,30.0,0.3333333333333333,3.2041316878371155,0.3,0.9612395063511346,22.0,0.045454545454545456,0.32041316878371157,25.64,1.23,9.574939918503295,89.33333333,16.0,y,Lucas Cavallini
8,Ali Adnan Kadhim,VAN,D,8400,4.0,0,0,1,0,3,3,139,9,3,6,4,1,6.095,5.72,0.0,4.1,0.0,0.0,0.7,3.1,0.2258064516129032,0.21,9.612395063511347,4.08421635485416,30.0,0.03333333333333333,0.32041316878371157,0.0,0.0,22.0,0.13636363636363635,0.9612395063511345,25.64,1.23,7.261652675134846,90.0,0.0,y,Ali Adnan Kadhim
9,Justin Meram,RSL,M/F,9000,3.2222222222222223,1,0,3,2,9,3,92,1,4,2,1,0,5.47448275862069,8.57793103448276,0.2,3.900000000000001,0.05128205128205127,0.10076923076923075,0.4,2.5000000000000004,0.15999999999999998,0.2015384615384615,13.475124934727974,4.82966491074199,52.0,0.057692307692307696,0.7774110539266139,0.6666666666666666,0.5182740359510759,34.0,0.08823529411764706,0.777411053926614,52.38,1.965,6.6584674965894495,71.25,5.0,y,Justin Meram
10,Leonard Owusu,VAN,M,3400,2.966666666666667,0,0,0,0,1,3,102,7,5,4,1,0,4.968539325842697,4.968539325842697,0.0,4.1,0.0,0.0,0.2,3.1,0.06451612903225806,0.06000000000000001,9.612395063511347,4.08421635485416,30.0,0.0,0.0,0.0,0.0,22.0,0.13636363636363635,0.9612395063511345,25.64,1.23,5.278542877137651,90.0,21.0,y,Leonard Owusu
11,Corey Baird,RSL,M,10000,2.7666666666666666,0,0,4,0,1,2,69,0,3,0,2,2,2.7397590361445783,1.655421686746988,0.6,3.900000000000001,0.1538461538461538,0.3023076923076922,0.0,2.5000000000000004,0.0,0.0,13.475124934727974,4.82966491074199,52.0,0.07692307692307693,1.0365480719021518,0.0,0.0,34.0,0.058823529411764705,0.5182740359510759,52.38,1.965,4.52087091848035,76.33333333,10.0,b,Corey Baird
12,Justin Portillo,RSL,M,3200,1.0,0,0,1,0,1,0,57,0,0,2,0,0,4.84,4.84,0.0,3.900000000000001,0.0,0.0,0.0,2.5000000000000004,0.0,0.0,13.475124934727974,4.82966491074199,52.0,0.019230769230769232,0.25913701797553795,0.0,0.0,34.0,0.0,0.0,52.38,1.965,4.099137017975538,90.0,0.0,y,Justin Portillo
13,Justen Glad,RSL,D,3600,3.0,0,0,2,1,1,1,124,1,5,6,1,1,4.06,3.56,0.1,3.900000000000001,0.025641025641025637,0.050384615384615375,0.0,2.5000000000000004,0.0,0.0,13.475124934727974,4.82966491074199,52.0,0.038461538461538464,0.5182740359510759,0.5,0.25913701797553795,34.0,0.029411764705882353,0.25913701797553795,52.38,1.965,3.767060892414972,90.0,0.0,y,Justen Glad
14,Marcelo Silva,RSL,D,3800,3.0,0,0,3,1,0,0,114,1,2,3,0,0,3.0933333333333337,3.0933333333333337,0.1,3.900000000000001,0.025641025641025637,0.050384615384615375,0.0,2.5000000000000004,0.0,0.0,13.475124934727974,4.82966491074199,52.0,0.057692307692307696,0.7774110539266139,0.3333333333333333,0.25913701797553795,34.0,0.0,0.0,52.38,1.965,3.300394225748305,90.0,0.0,y,Marcelo Silva
15,Jake Nerwinski,VAN,D,4200,4.777777777777778,0,0,0,0,4,3,170,1,3,3,4,0,2.8674418604651164,2.8674418604651164,0.0,4.1,0.0,0.0,0.0,3.1,0.0,0.0,9.612395063511347,4.08421635485416,30.0,0.0,0.0,0.0,0.0,22.0,0.13636363636363635,0.9612395063511345,25.64,1.23,3.101239506351135,86.0,0.0,y,Jake Nerwinski
16,Michael Baldisimo,VAN,M,4800,2.4444444444444446,0,0,1,1,0,2,78,1,3,5,1,2,4.32,3.0927272727272728,0.0,4.1,0.0,0.0,0.4,3.1,0.12903225806451613,0.12000000000000002,9.612395063511347,4.08421635485416,30.0,0.03333333333333333,0.32041316878371157,1.0,0.32041316878371157,22.0,0.09090909090909091,0.6408263375674231,25.64,1.23,2.314501159929392,81.0,19.33333333,b,Michael Baldisimo
17,Jeizon Ramirez,RSL,M/F,5800,0.3888888888888889,0,0,3,1,3,0,9,0,0,1,0,0,18.72,18.72,0.1,3.900000000000001,0.025641025641025637,0.050384615384615375,0.0,2.5000000000000004,0.0,0.0,13.475124934727974,4.82966491074199,52.0,0.057692307692307696,0.7774110539266139,0.3333333333333333,0.25913701797553795,34.0,0.0,0.0,52.38,1.965,2.1963942257483056,0.0,7.0,b,Jeizon Ramirez
18,Manuel Milinkovic,VAN,M,4600,2.6555555555555554,1,0,1,1,2,0,50,2,8,3,1,0,2.2217573221757325,5.98744769874477,0.3,4.1,0.07317073170731708,0.09000000000000001,0.0,3.1,0.0,0.0,9.612395063511347,4.08421635485416,30.0,0.03333333333333333,0.32041316878371157,1.0,0.32041316878371157,22.0,0.0,0.0,25.64,1.23,2.128274036312193,55.66666667,36.0,b,Manuel Milinkovic
19,Russell Teibert,VAN,M,4000,1.3,0,0,0,0,1,2,34,0,0,1,0,0,3.3692307692307697,3.3692307692307697,0.0,4.1,0.0,0.0,0.1,3.1,0.03225806451612903,0.030000000000000006,9.612395063511347,4.08421635485416,30.0,0.0,0.0,0.0,0.0,22.0,0.09090909090909091,0.6408263375674231,25.64,1.23,2.010826337567423,58.5,0.0,y,Russell Teibert
20,Donny Toia,RSL,D,6000,2.7888888888888888,0,0,1,0,4,0,107,3,5,1,2,2,3.0262948207171316,1.950597609561753,0.0,3.900000000000001,0.0,0.0,0.0,2.5000000000000004,0.0,0.0,13.475124934727974,4.82966491074199,52.0,0.019230769230769232,0.25913701797553795,0.0,0.0,34.0,0.0,0.0,52.38,1.965,1.733240603573944,83.33333333,0.5,y,Donny Toia
21,Ranko Veselinovic,VAN,D,3200,1.9,0,0,1,0,0,0,44,1,0,0,1,0,1.7789473684210526,1.7789473684210526,0.1,4.1,0.02439024390243903,0.030000000000000006,0.0,3.1,0.0,0.0,9.612395063511347,4.08421635485416,30.0,0.03333333333333333,0.32041316878371157,0.0,0.0,22.0,0.0,0.0,25.64,1.23,1.5598868529942378,67.5,12.0,y,Ranko Veselinovic
22,Kyle Beckerman,RSL,M,4400,1.7666666666666666,0,0,2,0,0,1,95,1,5,0,1,2,2.207547169811321,0.5094339622641512,0.1,3.900000000000001,0.025641025641025637,0.050384615384615375,0.0,2.5000000000000004,0.0,0.0,13.475124934727974,4.82966491074199,52.0,0.038461538461538464,0.5182740359510759,0.0,0.0,34.0,0.029411764705882353,0.25913701797553795,52.38,1.965,1.2284270190935223,73.5,4.0,b,Kyle Beckerman
23,Erik Holt,RSL,D,3000,2.0,0,0,1,0,0,0,74,0,0,2,0,0,2.24,2.24,0.1,3.900000000000001,0.025641025641025637,0.050384615384615375,0.0,2.5000000000000004,0.0,0.0,13.475124934727974,4.82966491074199,52.0,0.019230769230769232,0.25913701797553795,0.0,0.0,34.0,0.0,0.0,52.38,1.965,0.8789831718216917,90.0,6.0,b,Erik Holt
24,Patrick Metcalfe,VAN,M,3200,0.6444444444444445,0,0,0,0,0,0,22,2,1,0,1,0,3.786206896551724,3.786206896551724,0.0,4.1,0.0,0.0,0.0,3.1,0.0,0.0,9.612395063511347,4.08421635485416,30.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,25.64,1.23,0.8133333331931033,0.0,19.33333333,b,Patrick Metcalfe
25,Erik Godoy,VAN,D,3000,3.3222222222222224,0,0,0,0,0,0,131,0,5,2,1,0,0.788628762541806,0.788628762541806,0.0,4.1,0.0,0.0,0.0,3.1,0.0,0.0,9.612395063511347,4.08421635485416,30.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,25.64,1.23,0.7418952062722408,84.66666667,22.5,y,Erik Godoy
26,Ryan Raposo,VAN,M,3200,0.5111111111111111,0,0,0,0,0,0,11,0,0,1,2,0,4.343478260869565,4.343478260869565,0.0,4.1,0.0,0.0,0.0,3.1,0.0,0.0,9.612395063511347,4.08421635485416,30.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,25.64,1.23,0.44399999999999995,0.0,9.2,b,Ryan Raposo
27,Theo Bair,VAN,F,3600,0.5222222222222223,0,0,0,0,1,0,8,1,1,0,0,0,2.604255319148936,2.604255319148936,0.0,4.1,0.0,0.0,0.0,3.1,0.0,0.0,9.612395063511347,4.08421635485416,30.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,25.64,1.23,0.18808510638297868,45.0,6.5,b,Theo Bair
28,Janio Bikel,VAN,M,3000,3.1222222222222222,0,0,0,0,2,0,96,3,10,3,1,3,1.5437722419928825,0.10249110320284707,0.0,4.1,0.0,0.0,0.0,3.1,0.0,0.0,9.612395063511347,4.08421635485416,30.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,25.64,1.23,0.07424911032028476,65.2,0.0,y,Janio Bikel
29,Tosaint Ricketts,VAN,F,6200,0.6333333333333333,0,0,0,0,0,0,15,1,2,1,0,0,2.0526315789473686,2.0526315789473686,0.0,4.1,0.0,0.0,0.0,3.1,0.0,0.0,9.612395063511347,4.08421635485416,30.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,25.64,1.23,0.017105263157894738,54.0,0.75,b,Tosaint Ricketts
30,Nick Besler,RSL,M,3000,1.1444444444444444,0,0,0,0,0,0,58,0,1,0,2,1,1.4504854368932039,0.1398058252427184,0.0,3.900000000000001,0.0,0.0,0.0,2.5000000000000004,0.0,0.0,13.475124934727974,4.82966491074199,52.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,52.38,1.965,0.005048543689320386,90.0,3.25,b,Nick Besler
31,Derek Cornelius,VAN,D,3000,3.0,0,0,0,0,0,0,94,1,0,5,0,0,2.6266666666666665,2.6266666666666665,0.0,4.1,0.0,0.0,0.0,3.1,0.0,0.0,9.612395063511347,4.08421635485416,30.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,25.64,1.23,0.0,90.0,0.0,b,Derek Cornelius
