player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ali Adnan Kadhim,VAN,DELETE,DELETE,360.0,0.0,0.0,1.0,0.0,3.0,3.0,139.0,9.0,3.0,6.0,4.0,1.0,0.0,0.7,DELETE,DELETE,DELETE
Andy Rose,VAN,DELETE,DELETE,255.0,0.0,0.0,3.0,2.0,1.0,0.0,121.0,1.0,4.0,1.0,4.0,2.0,0.5,0.0,DELETE,DELETE,DELETE
Cristian Dajome,VAN,DELETE,DELETE,399.0,0.0,1.0,6.0,0.0,8.0,6.0,82.0,13.0,4.0,9.0,4.0,0.0,0.5,0.8999999999999999,DELETE,DELETE,DELETE
Cristian Gutierrez,VAN,DELETE,DELETE,243.0,0.0,0.0,0.0,0.0,3.0,4.0,113.0,4.0,3.0,2.0,4.0,1.0,0.0,0.30000000000000004,DELETE,DELETE,DELETE
Derek Cornelius,VAN,DELETE,DELETE,270.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Fredy Montero,VAN,DELETE,DELETE,364.0,1.0,1.0,10.0,5.0,7.0,2.0,92.0,6.0,7.0,5.0,0.0,0.0,1.9000000000000001,0.5,DELETE,DELETE,DELETE
Jake Nerwinski,VAN,DELETE,DELETE,430.0,0.0,0.0,0.0,0.0,4.0,3.0,170.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Janio Bikel,VAN,DELETE,DELETE,281.0,0.0,0.0,0.0,0.0,2.0,0.0,96.0,3.0,10.0,3.0,1.0,3.0,0.0,0.0,DELETE,DELETE,DELETE
Leonard Owusu,VAN,DELETE,DELETE,267.0,0.0,0.0,0.0,0.0,1.0,3.0,102.0,7.0,5.0,4.0,1.0,0.0,0.0,0.2,DELETE,DELETE,DELETE
Lucas Cavallini,VAN,DELETE,DELETE,300.0,1.0,0.0,10.0,3.0,0.0,1.0,34.0,6.0,7.0,2.0,0.0,2.0,1.2999999999999998,0.3,DELETE,DELETE,DELETE
Manuel Milinkovic,VAN,DELETE,DELETE,239.0,1.0,0.0,1.0,1.0,2.0,0.0,50.0,2.0,8.0,3.0,1.0,0.0,0.3,0.0,DELETE,DELETE,DELETE
Michael Baldisimo,VAN,DELETE,DELETE,220.0,0.0,0.0,1.0,1.0,0.0,2.0,78.0,1.0,3.0,5.0,1.0,2.0,0.0,0.4,DELETE,DELETE,DELETE
Ranko Veselinovic,VAN,DELETE,DELETE,171.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Russell Teibert,VAN,DELETE,DELETE,117.0,0.0,0.0,0.0,0.0,1.0,2.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Thomas Hasal,VAN,DELETE,DELETE,90.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Bryan Meredith,VAN,DELETE,DELETE,270.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Erik Godoy,VAN,DELETE,DELETE,299.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Patrick Metcalfe,VAN,DELETE,DELETE,58.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Theo Bair,VAN,DELETE,DELETE,47.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Ryan Raposo,VAN,DELETE,DELETE,46.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Tosaint Ricketts,VAN,DELETE,DELETE,57.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Evan Bush,VAN,DELETE,DELETE,90.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Aaron Herrera,RSL,DELETE,DELETE,445.0,0.0,0.0,4.0,0.0,16.0,6.0,227.0,4.0,7.0,6.0,8.0,0.0,0.2,0.30000000000000004,DELETE,DELETE,DELETE
Albert Rusnak,RSL,DELETE,DELETE,270.0,1.0,1.0,7.0,2.0,7.0,12.0,124.0,4.0,3.0,3.0,0.0,0.0,1.6,0.6000000000000001,DELETE,DELETE,DELETE
Andrew Putna,RSL,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Christopher Garcia,RSL,DELETE,DELETE,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Corey Baird,RSL,DELETE,DELETE,249.0,0.0,0.0,4.0,0.0,1.0,2.0,69.0,0.0,3.0,0.0,2.0,2.0,0.6,0.0,DELETE,DELETE,DELETE
Damir Kreilach,RSL,DELETE,DELETE,348.0,1.0,0.0,10.0,2.0,0.0,3.0,119.0,6.0,3.0,2.0,1.0,0.0,1.3,0.2,DELETE,DELETE,DELETE
