Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ben Davies,TOT,D,5000,204,0,0,0,0,6,0,131,2,3,2,0,0,0,0,90,8,
Davinson Sanchez,TOT,D,3000,270,0,0,3,0,0,0,182,1,5,7,0,0,0.6,0,90,0,
Dele Alli,TOT,M/F,8400,22,0,0,1,0,0,0,19,1,0,0,0,0,0.1,0,,4.4,
Eric Dier,TOT,D,3600,360,0,0,1,0,0,0,243,0,1,1,0,0,0.1,0,90,0,y
Erik Lamela,TOT,M/F,5200,160,0,0,6,2,2,1,50,1,4,5,1,1,0.3,0,57,15.33333333,
Gareth Bale,TOT,M/F,10400,40,1,0,4,2,0,1,6,0,1,1,0,0,0.6,0.1,65,8,y
Giovani Lo Celso,TOT,M,8200,115,0,0,6,4,1,5,67,2,3,1,0,0,0.3,0.4,76,9.75,
Harry Kane,TOT,F,12200,450,5,4,24,10,3,8,105,10,8,2,2,0,4.2,1.7,90,,y
Harry Winks,TOT,M,4000,108,0,0,0,0,0,1,94,1,1,2,0,1,0,0,90,4.5,
Hugo Lloris,TOT,GK,7800,450,0,0,0,0,0,0,98,1,0,0,0,0,0,0,90,,
Joe Rodon,TOT,D,3600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2,
Lucas Moura,TOT,M/F,8600,190,1,0,3,2,0,1,59,5,7,0,2,0,0.7,0,67,18.66666667,
Matt Doherty,TOT,D,5800,270,0,0,0,0,8,3,150,4,1,2,0,0,0,0.1,90,0,y
Moussa Sissoko,TOT,M,4400,360,0,0,0,0,0,2,170,3,5,6,4,0,0,0.1,90,0,y
Pierre Hojbjerg,TOT,M,4600,450,0,1,2,0,1,5,403,5,9,8,4,0,0,0.6,90,,y
Serge Aurier,TOT,D,7000,180,1,1,3,2,4,1,105,2,4,2,2,0,0.6,0.4,90,0,
Sergio Reguilon,TOT,D,7200,270,0,2,3,1,7,5,150,1,2,4,0,1,0.1,0.7,90,0,y
Son Heung-min,TOT,M/F,11000,369,4,2,9,5,5,12,124,6,2,0,1,0,1.5,1.2,73.8,,y
Steven Bergwijn,TOT,M/F,7400,116,0,0,2,0,1,1,42,3,0,0,1,0,0.1,0.1,71,11.25,
Tanguy Ndombele,TOT,M,4800,295,1,0,4,1,2,2,159,5,3,3,2,1,0.4,0.2,70.25,14,y
Toby Alderweireld,TOT,D,3800,270,0,0,0,0,0,1,127,1,0,1,0,0,0,0.1,90,0,y
Branislav Ivanovic,WBA,D,4000,270,0,0,3,1,0,1,131,1,3,1,1,0,0.4,0,90,0,
Callum Robinson,WBA,M/F,6800,205,2,0,6,2,3,0,26,0,1,1,0,0,0.4,0,41.33333333,27,y
Conor Gallagher,WBA,M,5000,270,0,0,2,0,4,1,99,8,8,10,0,1,0,0,90,0,y
Conor Townsend,WBA,D,5600,450,0,0,2,1,14,3,248,5,2,8,3,0,0,0.2,90,,y
Dara O'Shea,WBA,D,4600,180,0,0,1,0,0,1,41,5,1,3,2,0,0,0,90,0,y
Darnell Furlong,WBA,D,6400,360,0,1,3,1,10,4,130,8,2,3,1,1,0.1,0.7,90,0,y
Filip Krovinovic,WBA,M,6000,264,0,0,4,2,1,0,161,5,3,3,1,0,0.1,0,79,13.5,y
Grady Diangana,WBA,M,6600,405,0,0,6,2,8,3,90,14,4,2,3,0,0.2,0,81,,
Hal Robson-Kanu,WBA,M/F,5000,56,0,0,2,1,1,1,4,3,2,0,0,0,0,0,,11.2,
Jake Livermore,WBA,M,4200,387,0,0,0,0,1,2,106,2,9,4,4,2,0,0.1,77.4,,y
Karlan Grant,WBA,F,8000,245,1,0,4,2,1,0,28,3,1,0,0,0,0.7,0,81.66666667,,y
Kyle Bartley,WBA,D,3000,180,1,0,1,1,0,0,28,1,2,1,0,0,0.5,0,90,0,y
Kyle Edwards,WBA,M/F,4800,73,0,0,1,1,0,0,18,1,1,0,1,0,0,0,45,7,
Matheus Pereira,WBA,M,9400,411,0,1,8,2,9,7,134,14,4,4,2,0,0.3,0.4,82.2,,
Matt Phillips,WBA,M,4200,48,0,0,1,0,4,2,9,0,2,1,0,1,0,0.1,,9.6,
Romaine Sawyers,WBA,M,4600,200,0,0,2,0,1,2,82,0,3,0,3,1,0,0.1,76.5,15.66666667,
Sam Field,WBA,M,3800,46,0,0,0,0,0,0,14,1,2,4,0,0,0,0,,9.2,
Sam Johnstone,WBA,GK,5400,450,0,0,0,0,0,0,117,1,0,0,0,0,0,0,90,,
Semi Ajayi,WBA,D,3400,360,0,0,0,0,0,0,147,1,1,7,1,0,0,0,90,0,y
