Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ahmed Elmohamady,AVL,D,4400,24,0,0,0,0,2,0,20,0,1,1,0,0,0,0,,4.8,
Anwar El Ghazi,AVL,M/F,4000,20,0,0,0,0,4,1,10,0,1,1,0,0,0,0.1,,4,
Bertrand Traore,AVL,M/F,7400,132,0,1,3,2,6,2,45,4,2,0,0,0,0.2,0.2,,11.66666667,
Conor Hourihane,AVL,M,9000,16,0,0,0,0,2,0,14,0,0,0,0,0,0,0,65,3.2,y
Douglas Luiz,AVL,M,3400,434,0,1,5,3,2,6,142,12,7,3,3,1,0.2,0.2,86.8,,y
Emiliano Martinez,AVL,GK,5200,450,0,0,0,0,0,0,110,0,0,0,0,0,0,0,90,,
Ezri Konsa,AVL,D,4000,450,1,0,4,2,1,0,136,14,2,0,1,0,0.4,0,90,,y
Jack Grealish,AVL,M,10600,450,1,2,14,4,18,12,142,26,11,2,2,2,1.2,1.1,90,,y
John McGinn,AVL,M,6600,450,0,1,5,0,5,7,138,6,6,5,0,1,0.2,0.4,90,,y
Matt Targett,AVL,D,4400,450,0,0,3,0,12,5,191,2,4,9,3,1,0.2,0.2,90,,y
Matty Cash,AVL,D,4800,426,0,0,0,0,9,0,173,5,7,7,7,2,0,0,85.2,,y
Ollie Watkins,AVL,F,9200,450,3,0,8,4,7,5,85,5,3,6,2,0,2.1,0.2,90,,y
Ross Barkley,AVL,M,8200,364,1,1,11,3,7,16,136,1,5,0,1,0,0.6,1.8,90,,
Trezeguet,AVL,M,5800,384,0,0,15,4,9,1,70,3,15,5,4,0,1.6,0,80.5,,y
Tyrone Mings,AVL,D,3800,450,1,0,4,3,0,1,179,4,1,5,1,1,0.4,0,90,,y
Aaron Cresswell,WHU,D,8400,450,0,1,3,1,15,9,233,5,0,4,2,0,0.2,0.7,90,,y
Andriy Yarmolenko,WHU,F,9400,70,0,0,1,0,1,1,18,2,3,0,0,0,0,0.4,,14,
Angelo Ogbonna,WHU,D,3200,422,0,0,1,0,0,1,131,4,7,5,0,2,0.1,0.8,84.4,,y
Arthur Masuaku,WHU,D,6800,446,0,0,4,1,12,3,223,4,7,8,2,1,0.3,0.5,89.2,,y
Declan Rice,WHU,M,3600,450,0,0,2,0,4,3,220,3,6,9,9,1,0.2,0.3,90,,y
Fabian Balbuena,WHU,D,4200,450,1,0,2,1,1,0,158,2,6,3,3,1,0.2,0,90,,y
Issa Diop,WHU,D,3200,28,0,0,0,0,0,0,21,0,0,0,0,1,0,0,,5.6,
Jarrod Bowen,WHU,M/F,10800,406,0,0,9,1,11,4,94,6,2,1,1,0,0.8,0.3,81.2,,y
Lukasz Fabianski,WHU,GK,6200,450,0,0,0,0,0,0,93,0,0,0,0,0,0,0,90,,
Manuel Lanzini,WHU,M,3800,51,1,0,1,1,0,1,26,3,0,1,0,1,0,0,,10.2,
Mark Noble,WHU,M,7200,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0.2,
Michail Antonio,WHU,M/F,11200,127,1,0,3,1,2,2,15,2,3,1,1,1,0.9,0.1,63.5,0,y
Pablo Fornals,WHU,M,5600,402,1,0,9,4,4,2,129,4,4,2,0,0,1.5,0.1,80.4,,y
Robert Snodgrass,WHU,M,10200,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,0.2,
Said Benrahma,WHU,M/F,7800,21,0,1,2,2,0,1,12,1,1,0,0,0,0.1,0.2,,4.2,
Sebastien Haller,WHU,F,8800,275,1,0,7,3,1,3,42,3,4,2,0,0,1.2,0.5,84.33333333,11,
Tomas Soucek,WHU,M,6400,450,1,0,8,3,1,1,130,5,7,4,2,1,1,0,90,,y
Vladimir Coufal,WHU,D,7000,450,0,1,2,1,19,6,178,3,7,9,2,1,0.2,0.5,90,,y
