Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aboubakar Kamara,FUL,F,5200,98,0,0,2,1,9,3,40,2,4,1,0,1,0.3,0.2,,19.6,
Ademola Lookman,FUL,F,9600,293,1,0,12,4,7,7,101,4,4,6,1,1,0.8,0.5,89.66666667,12,y
Aleksandar Mitrovic,FUL,F,10200,450,0,2,18,3,3,6,81,7,9,4,0,0,2.2,0.9,90,,y
Alphonse Areola,FUL,GK,5200,450,0,0,0,0,0,0,95,0,0,0,0,0,0,0,90,,
Andre-Frank Zambo Anguissa,FUL,M,4800,425,0,0,7,1,4,3,291,4,9,9,10,1,0.5,0.2,85,,y
Antonee Robinson,FUL,D,6800,360,0,0,1,1,23,7,210,2,2,4,6,0,0.1,0.3,90,0,y
Bobby Reid,FUL,M/F,6000,258,1,0,4,1,4,0,64,1,4,3,1,2,1,0,80.33333333,8.5,y
Denis Odoi,FUL,D,3200,90,0,0,0,0,3,1,56,1,5,0,1,1,0,0.1,90,0,
Harrison Reed,FUL,M,4400,57,0,1,0,0,1,2,33,1,0,1,1,1,0,0,65,11.4,y
Ivan Cavaleiro,FUL,M/F,7600,252,0,0,4,0,10,4,73,4,5,2,2,1,0.1,0.2,82,3,
Joachim Andersen,FUL,D,3400,90,0,0,1,0,0,0,26,1,1,0,0,0,0,0,90,0,y
Joe Bryan,FUL,D,8200,157,0,0,2,1,10,2,66,2,2,1,5,1,0,0.2,78,0.333333333,
Kenny Tete,FUL,D,8600,38,0,0,0,0,6,2,23,1,0,0,0,0,0,0.1,90,,
Mario Lemina,FUL,M,4200,133,0,0,1,0,1,0,89,1,3,6,1,0,0,0,61.5,3.333333333,
Maxime Le Marchand,FUL,D,3400,123,0,0,1,0,0,0,78,1,3,1,0,2,0,0,90,8.25,
Michael Hector,FUL,D,3200,57,0,0,0,0,0,0,37,1,0,1,0,0,0,0,57,0,
Neeskens Kebano,FUL,M,8800,23,0,0,4,0,2,0,9,0,0,0,0,0,0.2,0,,4.6,
Ola Aina,FUL,D,6400,360,1,0,1,1,16,2,241,6,3,1,7,0,0.1,0.1,90,0,y
Ruben Loftus-Cheek,FUL,M,4800,153,0,0,2,1,1,1,83,2,1,4,1,0,0.1,0,76.5,0,
Tim Ream,FUL,D,3000,360,0,0,0,0,0,0,206,0,2,2,2,0,0,0,90,0,
Tom Cairney,FUL,M,9200,450,1,0,7,3,9,13,349,12,1,2,1,1,0.4,0.8,90,,y
Tosin Adarabioyo,FUL,D,3600,270,0,0,2,0,0,1,139,1,1,2,3,0,0.1,0,90,0,y
Aaron Cresswell,WHU,D,7800,450,0,3,1,0,16,11,180,3,0,3,3,0,0,1,90,,y
Andriy Yarmolenko,WHU,F,9000,70,0,0,1,0,1,1,18,2,3,0,0,0,0,0.4,,14,
Angelo Ogbonna,WHU,D,3800,450,0,0,1,0,0,1,114,3,6,7,1,1,0.1,0.8,90,,y
Arthur Masuaku,WHU,D,5600,446,0,1,4,1,12,6,192,3,8,8,1,1,0.1,0.7,89.2,,y
Ben Johnson,WHU,M,3600,42,0,0,0,0,0,0,13,0,0,1,0,0,0,0,,8.4,
Declan Rice,WHU,M,4400,450,0,0,1,0,3,2,173,3,4,8,8,1,0.1,0,90,,y
Fabian Balbuena,WHU,D,4600,450,1,0,3,1,0,0,104,1,6,5,3,1,0.3,0,90,,y
Jarrod Bowen,WHU,M/F,10000,420,3,0,7,3,11,1,69,8,1,2,1,0,1.2,0.1,84,,y
Lukasz Fabianski,WHU,GK,7600,450,0,0,0,0,0,0,89,0,0,0,0,0,0,0,90,,
Manuel Lanzini,WHU,M,4400,17,1,0,1,1,0,1,8,3,0,1,0,1,0,0,,3.4,
Mark Noble,WHU,M,6600,6,0,0,0,0,0,0,6,1,0,0,0,0,0,0,,1.2,
Michail Antonio,WHU,M/F,10800,301,2,0,9,6,4,5,42,11,5,1,1,1,1.2,0.3,75.25,0,
Pablo Fornals,WHU,M,7000,436,2,2,11,5,2,5,121,6,5,0,1,1,2.3,0.6,87.2,,y
Robert Snodgrass,WHU,M,9400,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,0.2,
Ryan Fredericks,WHU,D,5800,48,0,0,0,0,1,2,23,0,1,1,0,0,0,0.1,48,0,
Said Benrahma,WHU,M/F,8400,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0.4,
Sebastien Haller,WHU,F,8000,101,1,0,1,1,0,1,16,1,2,0,0,0,0.1,0.1,73,7,y
Tomas Soucek,WHU,M,5400,450,0,0,10,4,2,0,120,4,11,6,4,1,0.6,0,90,,y
Vladimir Coufal,WHU,D,6200,360,0,1,1,0,9,3,88,4,4,7,2,2,0.1,0.2,90,,y
