,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Pablo Fornals,WHU,M,7000,4.844444444444444,2,2,11,5,2,5,121,6,5,0,1,1,5.94908256880734,12.244954128440368,0.46,1.0372772277227722,0.4434687156970363,0.768470474950629,0.12000000000000001,0.7622772277227723,0.15742304195350046,0.2004705586827728,12.232698932734621,4.7328599787405485,40.0,0.275,3.363992206502021,0.45454545454545453,1.5290873665918276,30.0,0.16666666666666666,1.5290873665918276,53.57,1.732862877920849,16.5736950412886,87.2,0.0,y,Pablo Fornals
1,Aleksandar Mitrovic,FUL,F,10200,5.0,0,2,18,3,3,6,81,7,9,4,0,0,7.444,9.844,0.44000000000000006,1.2595265056271399,0.34933762650823813,0.5552450722922694,0.18,0.6330147895392492,0.28435354588005146,0.22714571139229195,9.823276792594733,3.5453378799119992,53.0,0.33962264150943394,3.336207212579343,0.16666666666666666,0.5560345354298905,41.0,0.14634146341463414,1.1120690708597811,23.08,1.589422467434024,13.963635810145462,90.0,0.0,y,Aleksandar Mitrovic
2,Ademola Lookman,FUL,F,9600,3.2555555555555555,1,0,12,4,7,7,101,4,4,6,1,1,11.80136518771331,14.412286689419796,0.24482366326279864,1.2595265056271399,0.19437753963017773,0.3089480286527519,0.15301478953924916,0.6330147895392492,0.2417238776531961,0.19309251790796989,9.823276792594733,3.5453378799119992,53.0,0.22641509433962265,2.2241381417195623,0.3333333333333333,0.7413793805731874,41.0,0.17073170731707318,1.2974139160030782,23.08,1.589422467434024,12.770898573043862,89.66666667,12.0,y,Ademola Lookman
3,Tom Cairney,FUL,M,9200,5.0,1,0,7,3,9,13,349,12,1,2,1,1,10.056000000000001,11.756,0.08,1.2595265056271399,0.06351593209240693,0.10095364950768533,0.16,0.6330147895392492,0.25275870744893464,0.20190729901537063,9.823276792594733,3.5453378799119992,53.0,0.1320754716981132,1.297413916003078,0.42857142857142855,0.5560345354298906,41.0,0.3170731707317073,2.409482986862859,23.08,1.589422467434024,11.639911727464906,90.0,0.0,y,Tom Cairney
4,Jarrod Bowen,WHU,M/F,10000,4.666666666666667,3,0,7,3,11,1,69,8,1,2,1,0,6.445714285714285,12.874285714285715,0.24,1.0372772277227722,0.23137498210280152,0.4009411173655456,0.02,0.7622772277227723,0.026237173658916743,0.03341175978046213,12.232698932734621,4.7328599787405485,40.0,0.175,2.1407223132285584,0.42857142857142855,0.9174524199550964,30.0,0.03333333333333333,0.3058174733183655,53.57,1.732862877920849,11.38987393884025,84.0,0.0,y,Jarrod Bowen
5,Aaron Cresswell,WHU,D,7800,5.0,0,3,1,0,16,11,180,3,0,3,3,0,6.859999999999999,10.46,0.0,1.0372772277227722,0.0,0.0,0.2,0.7622772277227723,0.26237173658916746,0.33411759780462136,12.232698932734621,4.7328599787405485,40.0,0.025,0.30581747331836556,0.0,0.0,30.0,0.36666666666666664,3.3639922065020205,53.57,1.732862877920849,10.134515266648114,90.0,0.0,y,Aaron Cresswell
6,Antonee Robinson,FUL,D,6800,4.0,0,0,1,1,23,7,210,2,2,4,6,0,9.325,9.325,0.025,1.2595265056271399,0.019848728778877164,0.031548015471151665,0.075,0.6330147895392492,0.1184806441166881,0.09464404641345497,9.823276792594733,3.5453378799119992,53.0,0.018867924528301886,0.18534484514329683,1.0,0.18534484514329683,41.0,0.17073170731707318,1.2974139160030782,23.08,1.589422467434024,9.626448039481918,90.0,0.0,y,Antonee Robinson
7,Arthur Masuaku,WHU,D,5600,4.955555555555556,0,1,4,1,12,6,192,3,8,8,1,1,6.2031390134529145,7.1112107623318375,0.02,1.0372772277227722,0.019281248508566794,0.03341175978046213,0.13999999999999999,0.7622772277227723,0.1836602156124172,0.2338823184632349,12.232698932734621,4.7328599787405485,40.0,0.1,1.2232698932734622,0.25,0.30581747331836556,30.0,0.2,1.8349048399101933,53.57,1.732862877920849,8.749403715086052,89.2,0.0,y,Arthur Masuaku
8,Tomas Soucek,WHU,M,5400,5.0,0,0,10,4,2,0,120,4,11,6,4,1,4.86,4.5600000000000005,0.12,1.0372772277227722,0.11568749105140076,0.2004705586827728,0.0,0.7622772277227723,0.0,0.0,12.232698932734621,4.7328599787405485,40.0,0.25,3.0581747331836553,0.4,1.2232698932734622,30.0,0.0,0.0,53.57,1.732862877920849,8.046150213284847,90.0,0.0,y,Tomas Soucek
9,Andre-Frank Zambo Anguissa,FUL,M,4800,4.722222222222222,0,0,7,1,4,3,291,4,9,9,10,1,7.01364705882353,6.696000000000001,0.09999999999999999,1.2595265056271399,0.07939491511550864,0.12619206188460663,0.039999999999999994,0.6330147895392492,0.06318967686223365,0.05047682475384265,9.823276792594733,3.5453378799119992,53.0,0.1320754716981132,1.297413916003078,0.14285714285714285,0.18534484514329685,41.0,0.07317073170731707,0.5560345354298906,23.08,1.589422467434024,7.727574863945387,85.0,0.0,y,Andre-Frank Zambo Anguissa
