Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Andros Townsend,CRY,M/F,9600,450,1,1,4,1,16,8,90,10,12,10,8,0,0.2,0.9,90,,y
Cheikhou Kouyate,CRY,D,3200,450,1,0,2,1,0,0,94,1,5,4,4,0,0.3,0,90,,y
Tyrick Mitchell,CRY,D,4400,450,0,0,1,1,4,0,131,2,6,7,3,1,0.1,0,90,,
Vicente Guaita,CRY,GK,5000,450,0,0,0,0,0,0,56,0,0,0,0,2,0,0,90,,
Wilfried Zaha,CRY,M/F,10800,450,4,1,11,4,8,7,76,16,7,3,4,1,3.3,1.3,90,,y
Joel Ward,CRY,D,3400,360,0,0,0,0,2,1,103,2,7,5,4,2,0,0,90,0,
James McArthur,CRY,M,3000,338,0,0,1,0,2,3,112,3,6,8,4,2,0,0.1,84.5,0,
Mamadou Sakho,CRY,D,3000,276,0,0,1,0,0,0,72,1,2,2,0,0,0,0,90,3,
Jordan Ayew,CRY,F,6600,251,0,0,3,2,2,0,34,7,4,3,3,0,0.4,0,83.66666667,0,
James McCarthy,CRY,M,3400,243,0,0,1,0,0,1,67,1,1,3,3,0,0,0,81,0,
Jeffrey Schlupp,CRY,M,5600,236,0,1,3,1,5,4,40,3,3,2,3,0,0.2,0.3,78.66666667,0,y
Michy Batshuayi,CRY,F,6800,198,0,1,4,2,1,1,21,3,2,2,3,0,0.3,0.8,86,8.666666667,y
Jairo Riedewald,CRY,D,4000,196,1,0,1,1,0,1,55,1,2,2,2,0,0.4,0.1,87,7.333333333,y
Eberechi Eze,CRY,M/F,7400,195,0,0,5,1,2,2,72,10,3,2,4,0,0.5,0.1,82,10.33333333,
Luka Milivojevic,CRY,M,4800,125,0,0,1,0,0,1,69,3,1,1,2,0,0.1,0.1,90,8.75,y
Gary Cahill,CRY,D,3000,90,0,0,0,0,0,0,24,1,0,1,0,0,0,0,90,0,
Scott Dann,CRY,D,3400,90,0,0,0,0,0,0,27,1,0,2,0,0,0,0,90,0,y
Nathaniel Clyne,CRY,D,3000,71,0,0,0,0,0,0,25,0,0,0,1,0,0,0,71,0,y
Patrick van Aanholt,CRY,D,7000,19,0,0,1,1,0,0,13,0,0,0,0,0,0.1,0,,3.8,y
Christian Benteke,CRY,F,8000,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2.4,
Conor Coady,WOL,D,3800,450,0,0,0,0,0,1,231,1,5,2,4,1,0,0.1,90,,y
Raul Jimenez,WOL,F,12000,450,3,0,16,6,1,3,104,7,2,4,2,0,1.2,0.3,90,,y
Rui Patricio,WOL,GK,7800,450,0,0,0,0,0,0,71,0,0,0,0,0,0,0,90,,
Willy Boly,WOL,D,4600,450,0,0,2,0,0,0,211,2,3,6,3,0,0.1,0,90,,y
Romain Saiss,WOL,D,5200,427,0,0,1,0,8,1,224,4,5,6,4,0,0,0.1,85.4,0,
Pedro Neto,WOL,M/F,10200,426,1,0,12,2,11,6,167,7,9,6,3,0,0.6,0.2,85.2,0,y
Ruben Neves,WOL,M,5400,361,0,0,11,2,1,4,278,3,4,9,2,1,0.5,0.2,88,9,y
Nelson Semedo,WOL,D,6200,329,0,0,2,1,5,2,182,4,5,2,6,0,0.4,0.1,82.25,0,y
Daniel Podence,WOL,M/F,8800,291,0,1,7,3,4,5,77,3,3,3,0,0,0.8,0.3,72.75,0,y
Leander Dendoncker,WOL,M,3600,283,0,0,2,1,1,5,115,1,7,4,1,0,0.1,0.2,90,6.5,y
Max Kilman,WOL,D,4200,270,0,1,0,0,0,2,156,0,3,2,4,0,0,0.4,90,0,y
Joao Moutinho,WOL,M,7200,258,0,0,2,0,2,3,135,3,3,6,2,1,0,0.4,76.66666667,14,
Adama Traore,WOL,M/F,11400,209,0,0,0,0,14,5,50,5,1,1,0,0,0,0.5,75.5,19.33333333,
Fabio Silva,WOL,F,8600,42,0,0,2,0,0,1,18,1,0,0,1,0,0.1,0,,8.4,
Fernando Marcal,WOL,M,8200,32,0,0,1,0,1,1,19,0,3,0,0,0,0,0.1,,6.4,
Ki-Jana Hoever,WOL,D,5800,31,0,0,0,0,2,1,19,1,0,1,1,0,0,0,,6.2,
Vitinha,WOL,M,6400,18,0,0,0,0,0,1,22,0,1,0,0,0,0,0,,3.6,
