,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Wilfried Zaha,CRY,M/F,10800,5.0,4,1,11,4,8,7,76,16,7,3,4,1,9.324000000000002,18.223999999999997,3.3,4.9,0.6734693877551019,1.0465750612755942,1.3,3.5,0.37142857142857144,0.4122871453509917,9.133403280715521,3.48925050401249,27.0,0.4074074074074074,3.7210161514026194,0.36363636363636365,1.3530967823282254,22.0,0.3181818181818182,2.3679193690743943,21.74,1.5540053940152765,25.00550578766713,90.0,0.0,y,Wilfried Zaha
1,Raul Jimenez,WOL,F,12000,5.0,3,0,16,6,1,3,104,7,2,4,2,0,7.756,13.756,1.2,3.1999999999999997,0.375,0.6041445499045699,0.3,2.1,0.14285714285714285,0.1510361374761425,10.754036213409432,4.52672615288637,44.0,0.36363636363636365,3.9105586230579754,0.375,1.4664594836467408,28.0,0.10714285714285714,0.7332297418233703,50.0,1.6110521330788532,15.81391017243064,90.0,0.0,y,Raul Jimenez
2,Andros Townsend,CRY,M/F,9600,5.0,1,1,4,1,16,8,90,10,12,10,8,0,8.8,12.0,0.2,4.9,0.04081632653061224,0.06342879159246026,0.9,3.5,0.2571428571428572,0.2854295621660712,9.133403280715521,3.48925050401249,27.0,0.14814814814814814,1.3530967823282254,0.25,0.33827419558205635,22.0,0.36363636363636365,2.706193564656451,21.74,1.5540053940152765,12.944429831487763,90.0,0.0,y,Andros Townsend
3,Pedro Neto,WOL,M/F,10200,4.733333333333333,1,0,12,2,11,6,167,7,9,6,3,0,8.670422535211268,10.783098591549297,0.6,3.1999999999999997,0.1875,0.30207227495228495,0.2,2.1,0.09523809523809523,0.10069075831742834,10.754036213409432,4.52672615288637,44.0,0.2727272727272727,2.9329189672934812,0.16666666666666666,0.48881982788224687,28.0,0.21428571428571427,1.4664594836467406,50.0,1.6110521330788532,12.721065578249888,85.2,0.0,y,Pedro Neto
4,Daniel Podence,WOL,M/F,8800,3.2333333333333334,0,1,7,3,4,5,77,3,3,3,0,0,7.373195876288659,9.228865979381442,0.8,3.1999999999999997,0.25000000000000006,0.4027630332697134,0.3,2.1,0.14285714285714285,0.1510361374761425,10.754036213409432,4.52672615288637,44.0,0.1590909090909091,1.7108693975878642,0.42857142857142855,0.7332297418233703,28.0,0.17857142857142858,1.2220495697056173,50.0,1.6110521330788532,10.809995866670842,72.75,0.0,y,Daniel Podence
5,Michy Batshuayi,CRY,F,6800,2.2,0,1,4,2,1,1,21,3,2,2,3,0,6.1909090909090905,8.918181818181816,0.3,4.9,0.06122448979591836,0.09514318738869039,0.8,3.5,0.2285714285714286,0.25371516636984104,9.133403280715521,3.48925050401249,27.0,0.14814814814814814,1.3530967823282254,0.5,0.6765483911641127,22.0,0.045454545454545456,0.33827419558205635,21.74,1.5540053940152765,7.716995776533881,86.0,8.666666667000001,y,Michy Batshuayi
6,Jeffrey Schlupp,CRY,M,5600,2.6222222222222222,0,1,3,1,5,4,40,3,3,2,3,0,6.5974576271186445,8.885593220338983,0.2,4.9,0.04081632653061224,0.06342879159246026,0.3,3.5,0.08571428571428572,0.09514318738869039,9.133403280715521,3.48925050401249,27.0,0.1111111111111111,1.014822586746169,0.3333333333333333,0.33827419558205635,22.0,0.18181818181818182,1.3530967823282254,21.74,1.5540053940152765,7.011340605044552,78.66666667,0.0,y,Jeffrey Schlupp
7,Nelson Semedo,WOL,D,6200,3.6555555555555554,0,0,2,1,5,2,182,4,5,2,6,0,5.099088145896657,5.099088145896657,0.4,3.1999999999999997,0.12500000000000003,0.2013815166348567,0.1,2.1,0.047619047619047616,0.05034537915871417,10.754036213409432,4.52672615288637,44.0,0.045454545454545456,0.4888198278822469,0.5,0.24440991394112346,28.0,0.07142857142857142,0.48881982788224687,50.0,1.6110521330788532,6.947937011006469,82.25,0.0,y,Nelson Semedo
8,Joao Moutinho,WOL,M,7200,2.8666666666666667,0,0,2,0,2,3,135,3,3,6,2,1,6.1395348837209305,5.616279069767442,0.0,3.1999999999999997,0.0,0.0,0.4,2.1,0.19047619047619047,0.20138151663485668,10.754036213409432,4.52672615288637,44.0,0.045454545454545456,0.4888198278822469,0.0,0.0,28.0,0.10714285714285714,0.7332297418233703,50.0,1.6110521330788532,5.728788282061268,76.66666667,14.0,y,Joao Moutinho
9,Luka Milivojevic,CRY,M,4800,1.3888888888888888,0,0,1,0,0,1,69,3,1,1,2,0,5.6736,5.6736,0.1,4.9,0.02040816326530612,0.03171439579623013,0.1,3.5,0.028571428571428574,0.03171439579623013,9.133403280715521,3.48925050401249,27.0,0.037037037037037035,0.33827419558205635,0.0,0.0,22.0,0.045454545454545456,0.33827419558205635,21.74,1.5540053940152765,5.4175787239037945,90.0,8.75,y,Luka Milivojevic
