Player	Team	Pos	90s	Gls	Ast	Sh	SoT	Crs	KP	Pass_Cmp	Fld	Fls	TklW	Int	CrdY	CrdR	Salary	FPPG	FPPG/$1000	Floor	Floor/$1000	FPPG-Floor	Team_Odds	FPPG_w_Odds	Floor_w_Odds	Starting
E. Banega	SEV	M	3.23	1	1	8	3	24	10	242	5	3	5	4	2	0	9800	20.46	2.09	15.51	1.58	4.95	0.45	19.93	14.98	y
Y. En-Nesyri	SEV	F	3.14	2	0	9	4	1	1	43	6	3	3	1	1	0	8400	13.38	1.59	7.02	0.84	6.36	0.45	12.85	6.49	y
L. Ocampos	SEV	M/F	4.13	1	1	16	6	7	2	94	8	10	3	0	1	0	9200	12.41	1.35	8.54	0.93	3.87	0.45	11.88	8.01	y
S. Reguilon	SEV	D	5	2	0	5	2	7	6	302	7	7	2	7	0	0	6200	10.59	1.71	6.59	1.06	4	0.45	10.06	6.06	y
R. Jimenez	WOL	F	4.78	3	0	12	4	4	1	84	6	7	2	0	1	0	10600	11.4	1.08	5.12	0.48	6.28	0.27	9.11	2.83	y
R. Neves	WOL	M	4.64	0	1	10	2	0	8	243	6	4	7	9	0	0	5200	9.98	1.92	8.69	1.67	1.29	0.27	7.69	6.4	y
A. Traore	WOL	M/F	3.23	0	0	5	2	18	6	83	6	6	1	1	0	0	8800	9.82	1.12	9.82	1.12	0	0.27	7.53	7.53	y
J. Navas	SEV	D	5	0	0	1	0	26	8	287	1	4	3	6	0	0	7000	7.59	1.08	7.59	1.08	0	0.45	7.06	7.06	y
Suso	SEV	M/F	2.87	0	0	4	1	9	4	85	4	0	0	1	0	0	8000	7.5	0.94	7.5	0.94	0	0.45	6.97	6.97	y
Fernando	SEV	M	2.32	0	0	2	2	0	1	98	3	1	4	4	0	0	4000	6.66	1.66	6.66	1.66	0	0.45	6.13	6.13	y
J. Moutinho	WOL	M	3.5	0	0	1	0	23	6	149	5	6	1	3	1	0	7600	8.31	1.09	8.31	1.09	0	0.27	6.02	6.02	y
J. Jordan	SEV	M	4.29	0	0	4	0	4	5	242	7	10	8	5	2	0	4400	6.09	1.39	6.09	1.39	0	0.45	5.57	5.57	y
M. Doherty	WOL	D	3.88	0	1	3	0	5	3	194	3	7	5	1	0	0	5400	6.29	1.16	4.74	0.88	1.55	0.27	4	2.45	y
J. Kounde	SEV	D	5	0	0	6	2	1	1	273	2	3	2	9	1	0	4200	4.13	0.98	4.13	0.98	0	0.45	3.61	3.61	y
L. Dendoncker	WOL	M	3.3	1	0	1	1	0	1	124	1	7	4	3	1	0	4200	5.15	1.23	2.12	0.5	3.03	0.27	2.85	-0.18	y
W. Boly	WOL	D	5	0	0	3	1	0	1	162	4	2	8	9	0	0	3600	4.75	1.32	4.75	1.32	0	0.27	2.46	2.46	y
D. Carlos	SEV	D	4	0	0	1	0	0	3	193	1	6	2	5	1	0	3200	2.22	0.69	2.22	0.69	0	0.45	1.69	1.69	y
Y. Bounou	SEV	GK	5	0	1	0	0	0	1	120	1	0	0	0	1	0	6600	1.78	0.27	0.58	0.09	1.2	0.45	1.25	0.05	y
R. Saiss	WOL	D	4	0	0	1	0	0	1	128	2	4	3	9	0	0	3400	3.02	0.89	3.02	0.89	0	0.27	0.72	0.72	y
R. Vinagre	WOL	D	2.11	0	0	0	0	3	0	49	0	1	1	3	0	0	4400	2.41	0.55	2.41	0.55	0	0.27	0.11	0.11	y
C. Coady	WOL	D	5	0	0	0	0	0	0	177	2	5	1	8	1	0	3000	1.31	0.44	1.31	0.44	0	0.27	-0.98	-0.98	y
R. Patricio	WOL	GK	5	0	0	0	0	0	0	69	0	0	0	0	0	0	5800	0.28	0.05	0.28	0.05	0	0.27	-2.02	-2.02	y
M. El Haddadi	SEV	F	2.29	1	0	8	3	11	3	83	7	1	6	0	0	0	10000	20.04	2	15.67	1.57	4.37	0.45	19.51	15.14	
P. Neto	WOL	F	1.37	0	1	1	1	11	3	51	1	2	1	0	1	0	8200	14.06	1.72	9.67	1.18	4.39	0.27	11.77	7.38	
D. Podence	WOL	M	3.47	1	0	9	5	4	6	71	9	5	4	3	1	0	6000	12.9	2.15	10.02	1.67	2.88	0.27	10.61	7.72	
L. de Jong	SEV	F	1.27	0	0	5	2	0	4	31	2	1	0	0	0	0	7800	10.36	1.33	10.36	1.33	0	0.45	9.83	9.83	
O. Torres	SEV	M	2.22	0	0	1	1	8	2	140	3	1	5	2	0	0	5200	9.41	1.81	9.41	1.81	0	0.45	8.88	8.88	
D. Jota	WOL	M/F	2.76	1	0	7	4	2	2	71	3	3	1	2	1	0	7400	10.1	1.36	6.47	0.87	3.63	0.27	7.8	4.18	
Jonny	WOL	D	2.89	1	0	1	1	2	1	113	1	2	2	2	0	0	4800	6.81	1.42	3.34	0.7	3.46	0.27	4.51	1.05	
F. Vazquez	SEV	M/F	0.93	0	0	0	0	1	1	64	2	4	1	0	0	0	6600	4.26	0.65	4.26	0.65	0	0.45	3.74	3.74	
N. Gudelj	SEV	M	3.23	0	0	1	0	1	0	172	6	3	1	5	0	0	4000	4.06	1.02	4.06	1.02	0	0.45	3.54	3.54	
S. Gomez	SEV	D	1.07	0	0	0	0	0	0	57	0	1	1	2	0	0	3800	2.48	0.65	2.48	0.65	0	0.45	1.95	1.95	
