Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Alex McCarthy,SOU,GK,5400,450,0,0,0,0,0,0,107,0,0,0,0,0,0,0,90,,y
Che Adams,SOU,F,9000,436,3,1,11,8,0,3,88,2,3,3,0,0,1.7,0.9,87.2,,y
Dan Nlundulu,SOU,F,4400,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0.4,
Danny Ings,SOU,F,10800,354,2,2,9,4,4,5,62,4,3,1,0,0,1.4,0.6,88.5,0,
Ibrahima Diallo,SOU,M,4200,21,0,0,0,0,2,1,16,0,4,1,0,1,0,0,,4.2,
Jack Stephens,SOU,D,3400,135,0,0,0,0,0,2,84,0,1,2,0,0,0,0.1,90,11.25,
James Ward-Prowse,SOU,M,9800,450,3,1,4,3,7,9,291,5,9,11,2,1,0.3,0.7,90,,y
Jan Bednarek,SOU,D,3800,405,0,0,3,2,0,1,240,3,1,2,5,0,0.5,0.1,81,,y
Jannik Vestergaard,SOU,D,5000,450,2,0,3,3,1,1,261,2,4,4,5,0,0.3,0.2,90,,y
Kyle Walker-Peters,SOU,D,5200,450,0,0,4,2,3,0,239,8,6,10,9,2,0.1,0,90,,y
Moussa Djenepo,SOU,M,4000,127,1,0,2,1,0,1,38,2,2,4,0,1,0.2,0.1,63.5,0,y
Nathan Redmond,SOU,M/F,8200,219,0,0,4,0,3,1,69,6,4,3,0,0,0.2,0.1,83,26.5,
Nathan Tella,SOU,M,4000,14,0,0,0,0,1,0,8,0,1,0,0,0,0,0,,2.8,
Oriol Romeu,SOU,M,4600,446,1,0,7,4,1,5,274,5,8,9,5,2,0.2,0.1,89.2,,y
Ryan Bertrand,SOU,D,5600,348,0,0,1,1,8,3,185,8,9,7,6,0,0.3,0.1,87,0,y
Shane Long,SOU,F,4600,21,0,0,0,0,0,0,5,1,2,0,0,0,0,0,,4.2,
Stuart Armstrong,SOU,M,8600,355,1,2,7,2,2,6,115,1,9,4,3,0,0.3,0.5,88.75,0,y
Theo Walcott,SOU,M,7800,267,0,2,7,0,5,5,54,5,2,4,1,0,0.4,0.3,89,0,y
Adama Traore,WOL,M/F,10200,104,0,0,1,1,5,2,23,2,0,0,0,0,0.1,0.1,65,20.8,y
Conor Coady,WOL,D,3600,450,0,0,0,0,0,0,241,2,2,4,2,0,0,0,90,,
Daniel Podence,WOL,M/F,9200,335,1,0,8,5,6,5,100,5,2,3,1,0,0.9,0.2,67,,y
Fabio Silva,WOL,F,8400,13,0,0,1,0,0,0,3,1,0,0,0,0,0,0,,2.6,
Fernando Marcal,WOL,M,8800,40,0,0,1,0,2,1,27,0,3,0,0,0,0,0.1,,8,
Joao Moutinho,WOL,M,8000,124,0,0,0,0,1,1,46,2,2,3,3,1,0,0.1,81,10.75,y
Ki-Jana Hoever,WOL,D,5400,13,0,0,0,0,0,0,2,0,0,1,1,0,0,0,,2.6,
Leander Dendoncker,WOL,M,4400,450,0,0,6,1,2,6,172,2,9,7,2,1,0.6,0.2,90,,y
Max Kilman,WOL,D,3200,450,0,1,0,0,0,2,248,1,6,4,4,1,0,0.4,90,,y
Nelson Semedo,WOL,D,5800,437,0,0,5,1,12,4,249,5,6,6,5,0,0.4,0.1,87.4,,y
Pedro Neto,WOL,M/F,10400,412,1,1,9,3,20,9,153,8,6,6,7,0,0.5,1.1,82.4,,
Raul Jimenez,WOL,F,9600,449,2,0,12,5,2,4,107,7,8,3,2,0,0.8,0.3,89.8,,y
Rayan Ait Nouri,WOL,D,7200,165,1,0,2,1,3,0,78,2,3,1,1,0,0.1,0,82.5,0,y
Romain Saiss,WOL,D,4200,247,0,0,1,0,8,1,127,3,4,2,2,0,0,0.1,82.33333333,0,
Ruben Neves,WOL,M,6400,361,0,0,11,2,0,6,258,2,6,8,4,2,0.5,0.4,88,9,y
Rui Patricio,WOL,GK,6800,450,0,0,0,0,0,0,59,0,0,0,0,0,0,0,90,,
Willy Boly,WOL,D,4800,450,0,0,2,0,0,1,223,1,2,3,4,0,0.2,0,90,,y
