Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
10/2/20,Union Berlin,Mainz 05,,,,,43.48,30.77,1.62,1.8,42,31.25,25,68.75,75,31,69,7,11,4,0.636
10/2/20,Mainz 05,Union Berlin,,,,,31.25,25,1.36,0.9,31,43.48,30.77,56.52,69.23,42,58,0,5,0,0
10/3/20,Stuttgart,Leverkusen,,,,,23.26,16.67,1.42,0.7,25,54.05,28.57,45.95,71.43,49,51,3,12,1,0.25
10/3/20,Leverkusen,Stuttgart,,,,,54.05,28.57,2.01,2.6,49,23.26,16.67,76.74,83.33,25,75,6,15,1,0.4
10/3/20,Werder Bremen,Arminia,,,,,45.16,30.77,1.7,1.9,48,28.95,23.08,71.05,76.92,24,76,2,8,1,0.25
10/3/20,Arminia,Werder Bremen,,,,,28.95,23.08,1.36,0.9,24,45.16,30.77,54.84,69.23,48,52,4,9,0,0.444
10/3/20,Koln,M'Gladbach,,,,,26.42,18.18,1.39,0.8,29,50,29.41,50,70.59,46,54,2,8,1,0.25
10/3/20,M'Gladbach,Koln,,,,,50,29.41,1.81,2.2,46,26.42,18.18,73.58,81.82,29,71,9,14,3,0.643
10/3/20,Dortmund,Freiburg,,,,,76.92,47.62,2.81,3.5,70,9.52,7.69,90.48,92.31,11,89,6,16,4,0.375
10/3/20,Freiburg,Dortmund,,,,,9.52,7.69,0.93,0.2,11,76.92,47.62,23.08,52.38,70,30,2,6,0,0.333
10/3/20,Eint Frankfurt,Hoffenheim,,,,,41.18,23.08,1.81,2.1,38,25.93,18.18,74.07,81.82,38,62,6,14,2,0.429
10/3/20,Hoffenheim,Eint Frankfurt,,,,,25.93,18.18,1.7,1.2,38,41.18,23.08,58.82,76.92,38,62,3,11,1,0.273
10/3/20,RB Leipzig,Schalke 04,,,,,74.36,50,2.79,3.2,78,8.33,7.69,91.67,92.31,6,94,7,21,4,0.333
10/3/20,Schalke 04,RB Leipzig,,,,,8.33,7.69,0.91,0.4,6,74.36,50,25.64,50,78,22,1,5,0,0.2
10/4/20,Wolfsburg,Augsburg,,,,,51.11,36.36,1.74,2.2,52,25,22.22,75,77.78,21,79,6,18,0,0.333
10/4/20,Augsburg,Wolfsburg,,,,,25,22.22,1.24,0.6,21,51.11,36.36,48.89,63.64,52,48,1,9,0,0.111
10/4/20,Bayern Munich,Hertha BSC,,,,,85.71,47.62,2.65,4.6,87,5.26,5.26,94.74,94.74,4,96,8,21,4,0.381
10/4/20,Hertha BSC,Bayern Munich,,,,,5.26,5.26,0.93,0,4,85.71,47.62,14.29,52.38,87,13,5,10,3,0.5
10/17/20,Augsburg,RB Leipzig,,,,,16.67,12.5,1.19,0.6,18,64.71,38.1,35.29,61.9,59,41,2,6,0,0.333
10/17/20,RB Leipzig,Augsburg,,,,,64.71,38.1,2.1,2.8,59,16.67,12.5,83.33,87.5,18,82,6,15,2,0.4
10/17/20,Freiburg,Werder Bremen,,,,,44.44,29.41,1.7,2,43,30.3,22.22,69.7,77.78,31,69,4,20,1,0.2
10/17/20,Werder Bremen,Freiburg,,,,,30.3,22.22,1.43,0.7,31,44.44,29.41,55.56,70.59,43,57,3,12,1,0.25
10/17/20,Hertha BSC,Stuttgart,,,,,47.62,26.67,1.83,2.2,50,29.41,18.18,70.59,81.82,25,75,4,15,0,0.267
10/17/20,Stuttgart,Hertha BSC,,,,,29.41,18.18,1.54,0.8,25,47.62,26.67,52.38,73.33,50,50,2,7,2,0.286
10/17/20,Hoffenheim,Dortmund,,,,,23.08,12.5,1.46,1.1,30,56.52,28.57,43.48,71.43,46,54,3,9,0,0.333
10/17/20,Dortmund,Hoffenheim,,,,,56.52,28.57,2.09,2.6,46,23.08,12.5,76.92,87.5,30,70,4,15,1,0.267
10/17/20,Mainz 05,Leverkusen,,,,,19.05,14.29,1.24,0.8,24,60.24,36.36,39.76,63.64,52,48,0,6,0,0
10/17/20,Leverkusen,Mainz 05,,,,,60.24,36.36,2.1,2.6,52,19.05,14.29,80.95,85.71,24,76,4,9,1,0.444
10/17/20,Bielefeld,Bayern Munich,,,,,6.67,5.88,0.96,0,6,83.33,47.62,16.67,52.38,82,18,5,11,1,0.455
10/17/20,Bayern Munich,Bielefeld,,,,,83.33,47.62,2.57,4,82,6.67,5.88,93.33,94.12,6,94,10,18,4,0.556
10/17/20,M'Gladbach,Wolfsburg,,,,,47.62,33.33,1.83,2.2,52,23.81,18.18,76.19,81.82,22,78,1,12,1,0.083
10/17/20,Wolfsburg,M'Gladbach,,,,,23.81,18.18,1.33,0.9,22,47.62,33.33,52.38,66.67,52,48,5,13,1,0.385
10/18/20,Koln,Eint Frankfurt,,,,,31.25,18.18,1.62,1.4,32,46.34,25,53.66,75,43,57,5,9,1,0.556
10/18/20,Eint Frankfurt,Koln,,,,,46.34,25,1.83,1.9,43,31.25,18.18,68.75,81.82,32,68,4,17,1,0.235
10/18/20,Schalke 04,Union Berlin,,,,,33.93,29.41,1.36,1.6,37,38.46,30.77,61.54,69.23,35,65,4,8,1,0.5
10/18/20,Union Berlin,Schalke 04,,,,,38.46,30.77,1.43,1.1,35,33.93,29.41,66.07,70.59,37,63,7,13,1,0.538
10/23/20,Stuttgart,Koln,,,,,48.78,28.57,1.79,1.9,43,30.3,20,69.7,80,31,69,4,8,1,0.5
10/23/20,Koln,Stuttgart,,,,,30.3,20,1.46,0.9,31,48.78,28.57,51.22,71.43,43,57,3,14,1,0.214
10/24/20,Bayern Munich,Eint Frankfurt,,,,,80,40,2.62,4.5,83,8.33,5.26,91.67,94.74,6,94,9,20,5,0.45
