Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
9/30/20,Villarreal,Alaves,,,,,60.71,47.62,1.78,2.4,58,16.67,20,83.33,80,18,82,5,10,3,0.5
9/30/20,Alaves,Villarreal,,,,,16.67,20,0.96,0.3,18,60.71,47.62,39.29,52.38,58,42,3,8,1,0.375
9/30/20,Huesca,Atletico Madrid,,,,,11.76,18.18,0.81,0.4,16,59.38,55.56,40.63,44.44,60,40,3,9,0,0.333
9/30/20,Atletico Madrid,Huesca,,,,,59.38,55.56,1.83,2.2,60,11.76,18.18,88.24,81.82,16,84,2,16,0,0.125
9/30/20,Eibar,Elche,,,,,54.55,50,1.6,1.1,47,20,25,80,75,25,75,5,12,0,0.417
9/30/20,Elche,Eibar,,,,,20,25,0.91,1,25,54.55,50,45.45,50,47,53,2,5,1,0.4
9/30/20,Real Madrid,Valladolid,,,,,78.26,57.89,2.34,3.3,80,7.69,9.09,92.31,90.91,5,95,5,15,1,0.333
9/30/20,Valladolid,Real Madrid,,,,,7.69,9.09,0.75,0,5,78.26,57.89,21.74,42.11,80,20,5,11,0,0.455
10/1/20,Sevilla,Levante,,,,,66.67,45.45,2.1,2.4,58,12.5,12.5,87.5,87.5,19,81,2,16,1,0.125
10/1/20,Levante,Sevilla,,,,,12.5,12.5,1.01,0.2,19,66.67,45.45,33.33,54.55,58,42,1,3,0,0.333
10/1/20,Athletic Club,Cadiz,,,,,57.58,57.89,1.63,2,47,14.29,25,85.71,75,25,75,4,13,0,0.308
10/1/20,Cadiz,Athletic Club,,,,,14.29,25,0.75,0.2,25,57.58,57.89,42.42,42.11,47,53,1,3,1,0.333
10/1/20,Celta Vigo,Barcelona,,,,,16.67,14.29,1.11,0.6,14,64.71,40,35.29,60,66,34,3,10,0,0.3
10/1/20,Barcelona,Celta Vigo,,,,,64.71,40,2.05,2.5,66,16.67,14.29,83.33,85.71,14,86,4,7,3,0.571
10/3/20,Valladolid,Eibar,,,,,39.22,40,1.33,0.3,41,32.14,33.33,67.86,66.67,28,72,2,7,1,0.286
10/3/20,Eibar,Valladolid,,,,,32.14,33.33,1.14,2.4,28,39.22,40,60.78,60,41,59,4,10,2,0.4
10/3/20,Atletico Madrid,Villarreal,,,,,63.29,52.38,1.78,1.2,60,15.38,20,84.62,80,17,83,1,13,0,0.077
10/3/20,Villarreal,Atletico Madrid,,,,,15.38,20,0.87,1.4,17,63.29,52.38,36.71,47.62,60,40,2,6,0,0.333
10/3/20,Elche,Huesca,,,,,32.26,33.33,1.19,1.8,40,40,36.36,60,63.64,32,68,0,2,0,0
10/3/20,Huesca,Elche,,,,,40,36.36,1.33,0.6,32,32.26,33.33,67.74,66.67,40,60,4,18,0,0.222
10/3/20,Real Sociedad,Getafe,,,,,43.48,42.11,1.36,1.4,46,27.78,30.77,72.22,69.23,23,77,5,9,3,0.556
10/3/20,Getafe,Real Sociedad,,,,,27.78,30.77,1.09,1,23,43.48,42.11,56.52,57.89,46,54,1,5,0,0.2
10/3/20,Valencia,Betis,,,,,34.78,30.77,1.33,1.2,39,37.04,30.77,62.96,69.23,35,65,2,5,0,0.4
10/3/20,Betis,Valencia,,,,,37.04,30.77,1.33,1.2,35,34.78,30.77,65.22,69.23,39,61,8,17,2,0.471
10/4/20,Osasuna,Celta Vigo,,,,,36.11,33.33,1.33,2,40,34.78,33.33,65.22,66.67,31,69,5,13,2,0.385
10/4/20,Celta Vigo,Osasuna,,,,,34.78,33.33,1.28,0.7,31,36.11,33.33,63.89,66.67,40,60,3,9,0,0.333
10/4/20,Alaves,Athletic Club,,,,,28,36.36,1.05,0.3,36,42.11,44.44,57.89,55.56,34,66,3,8,1,0.375
10/4/20,Athletic Club,Alaves,,,,,42.11,44.44,1.24,2.1,34,28,36.36,72,63.64,36,64,1,8,0,0.125
10/4/20,Levante,Real Madrid,,,,,15.38,12.5,1.11,0,19,66.67,40,33.33,60,60,40,4,11,0,0.364
10/4/20,Real Madrid,Levante,,,,,66.67,40,2.1,3,60,15.38,12.5,84.62,87.5,19,81,3,13,2,0.231
