Date,Team,Opp,VOID,GameId,HorA,Win_Odds,CS_Odds,Odds_GF,Pinn_Odds,Pinn_CS,Pinn_Goals,bet365_CS,skybet_CS,PaddyPower_CS,WilliamHill_CS,888sport_CS,betfair_CS,BetVictor_CS,UniBet_CS,MansionBet_CS,BetFred_CS,SBK_CS,BetWay_CS,BoyleSports_CS,10bet_CS,SportNation_CS,novibet_CS,VBet_CS,SportingIndex_CS,GentingBet_CS,RedZone_CS,SpreadEx_CS,bet365_Goals,skybet_Goals,PaddyPower_Goals,WilliamHill_Goals,888sport_Goals,betfair_Goals,BetVictor_Goals,UniBet_Goals,MansionBet_Goals,BetFred_Goals,SBK_Goals,BetWay_Goals,BoyleSports_Goals,10bet_Goals,SportNation_Goals,novibet_Goals,VBet_Goals,SportingIndex_Goals,GentingBet_Goals,RedZone_Goals,SpreadEx_Goals,OddsShark_GF,FiveThirtyEight_Odds,FiveThirtyEight_Goals,FiveThirtyEight_SPI,FiveThirtyEight_Importance,GamesPlayed,xG,xA,PSxG,PSxG/SoT,Sh,SoT,KP,Fls,Fld,Crs,Int,TklW,xG_A,xA_A,PSxG_A,PSxG/SoT_A,Sh_A,SoT_A,KP_A,Fls_A,Fld_A,Crs_A,Int_A,TklW_A,MatchReport_URL,Real_Sh,Real_SoT,Real_KP,Real_Fls,Real_Fld,Real_Crs,Real_Int,Real_TklW,Real_Goals,SoT%,Real_Chances,Real_xPTS,game_xG,game_xA,game_PSxG,game_PSxG/SoT,game_KP
8/20/21,Betis,Cádiz,void,0,H,62.5,50.65098787,1.821410761,,,,50.0,50.0,,52.38095238,,,,,,,,,,,,,51.61290323,49.26108374,,,,1.793204238,0.963210702,,0.982142857,,,,,,,,,,,,,0.986702128,0.953222453,,,,1.9,59.9,1.78,73.14,30.5,1,0.9,0.5,0.0,,9,0,6,18,12,17,14,7,0.6,0.4,0.2,0.23,6,1,4,12,18,11,10,11,https://fbref.com/en/matches/260fb527/Real-Betis-Cadiz-August-20-2021-La-Liga,16.0,7.0,12.0,12.0,12.0,20.0,11.0,13.0,1.0,0.4375,,,,,,,
8/20/21,Cádiz,Betis,void,0,A,14.70588235,19.76845858,0.89938563,,,,20.0,18.18181818,,20.0,,,,,,,,,,,,,21.05263158,19.60784314,,,,0.909803922,0.714285714,,0.733333333,,,,,,,,,,,,,0.726426799,0.70719603,,,,0.5,15.86,0.79,56.74,36.3,1,0.4,0.2,0.5,0.27,8,2,5,10,15,11,9,12,1.0,0.3,0.9,0.3,12,3,5,16,9,14,11,6,https://fbref.com/en/matches/260fb527/Real-Betis-Cadiz-August-20-2021-La-Liga,7.0,2.0,5.0,14.0,11.0,14.0,11.0,13.0,1.0,0.285714286,,,,,,,
8/21/21,Alavés,Mallorca,void,1,H,43.18181818,40.93897899,1.340746214,,,,42.10526316,40.0,,41.66666667,,,,,,,,,,,,,41.86046512,39.0625,,,,1.328571429,0.9,,0.920983778,,,,,,,,,,,,,0.942936033,0.896954114,,,,1.4,45.12,1.44,63.39,33.8,1,1.7,0.5,1.0,0.02,10,3,7,14,9,16,14,7,1.8,1.5,2.5,0.35,20,7,13,10,14,13,26,12,https://fbref.com/en/matches/b5a317ed/Alaves-Mallorca-August-21-2021-La-Liga,9.0,2.0,7.0,13.0,18.0,10.0,4.0,15.0,0.0,0.222222222,,,,,,,
8/21/21,Mallorca,Alavés,void,1,A,28.57142857,31.67597188,1.111127173,,,,30.76923077,30.76923077,,33.33333333,,,,,,,,,,,,,32.25806452,31.25,,,,1.110446571,0.844444444,,0.837719298,,,,,,,,,,,,,0.846584546,0.825531915,,,,0.8,26.86,1.04,61.06,36.1,1,0.6,0.4,0.2,0.23,6,1,4,12,18,11,10,11,0.9,0.5,0.0,,9,0,6,18,12,17,14,7,https://fbref.com/en/matches/b5a317ed/Alaves-Mallorca-August-21-2021-La-Liga,12.0,2.0,6.0,19.0,12.0,11.0,5.0,5.0,1.0,0.166666667,,,,,,,
8/21/21,Espanyol,Villarreal,void,2,H,31.25,29.71477052,1.263317381,,,,29.41176471,28.57142857,,30.76923077,,,,,,,,,,,,,31.25,28.57142857,,,,1.236538462,0.9,,0.908163265,,,,,,,,,,,,,0.904471545,0.867413632,,,,0.8,27.88,1.12,63.14,29.6,1,0.7,0.6,0.2,0.06,10,3,7,12,18,10,7,9,1.0,0.5,0.0,0.01,15,1,9,18,11,28,7,9,https://fbref.com/en/matches/71c88c41/Espanyol-Villarreal-August-21-2021-La-Liga,14.0,3.0,9.0,12.0,8.0,13.0,12.0,10.0,0.0,0.214285714,,,,,,,
8/21/21,Villarreal,Espanyol,void,2,A,41.66666667,35.15263815,1.430565731,,,,36.36363636,33.33333333,,34.7826087,,,,,,,,,,,,,37.03703704,34.24657534,,,,1.417948718,0.933333333,,0.933333333,,,,,,,,,,,,,0.95026455,0.917948718,,,,1.5,44.88,1.5,76.25,41.9,1,1.1,0.9,0.3,0.09,14,3,9,19,18,16,18,13,0.3,0.2,0.0,0.03,6,1,4,21,17,8,14,15,https://fbref.com/en/matches/71c88c41/Espanyol-Villarreal-August-21-2021-La-Liga,12.0,2.0,9.0,9.0,11.0,9.0,9.0,6.0,0.0,0.166666667,,,,,,,
8/21/21,Granada,Valencia,void,3,H,38.88888889,35.4941485,1.369343547,,,,36.36363636,34.7826087,,35.71428571,,,,,,,,,,,,,36.36363636,34.24657534,,,,1.361538462,0.9,,0.908163265,,,,,,,,,,,,,0.933908046,0.896954114,,,,1.3,38.88,1.36,62.21,33.1,1,0.3,0.2,0.0,0.03,6,1,4,21,17,8,14,15,1.1,0.9,0.3,0.09,14,3,9,19,18,16,18,13,https://fbref.com/en/matches/a7352bb8/Granada-Valencia-August-21-2021-La-Liga,10.0,2.0,8.0,17.0,13.0,8.0,8.0,8.0,1.0,0.2,,,,,,,
8/21/21,Valencia,Granada,void,3,A,33.61344538,32.1209107,1.253441042,,,,30.76923077,30.76923077,,34.48275862,,,,,,,,,,,,,33.33333333,31.25,,,,1.236538462,0.861538462,,0.892857143,,,,,,,,,,,,,0.90885751,0.867413632,,,,0.9,33.29,1.24,66.43,21.3,1,1.4,0.3,1.0,0.15,3,1,1,24,15,6,8,6,1.2,0.5,1.2,0.31,21,4,12,15,24,21,9,4,https://fbref.com/en/matches/a7352bb8/Granada-Valencia-August-21-2021-La-Liga,18.0,5.0,14.0,14.0,17.0,12.0,14.0,9.0,1.0,0.277777778,,,,,,,
8/21/21,Athletic Club,Barcelona,void,4,H,23.07692308,20.48555733,1.256132318,,,,22.22222222,18.18181818,,,,,,,,,,,,,,,21.05263158,,,,,1.236538462,0.882591093,,,,,,,,,,,,,,,0.899267399,,,,,0.7,17.18,1.06,70.9,30.4,1,0.6,0.5,0.1,0.02,9,3,6,19,13,13,8,8,0.9,0.8,0.1,0.07,8,2,6,13,18,15,7,6,https://fbref.com/en/matches/102335b0/Athletic-Club-Barcelona-August-21-2021-La-Liga,16.0,6.0,8.0,19.0,13.0,18.0,13.0,7.0,1.0,0.375,,,,,,,
8/21/21,Barcelona,Athletic Club,void,4,A,51.85185185,36.06109403,1.761662123,,,,36.36363636,34.7826087,,,,,,,,,,,,,,,37.03703704,,,,,1.736061381,0.963210702,,,,,,,,,,,,,,,0.985714286,,,,,2.0,61.83,2.18,88.88,69.7,1,2.7,2.4,3.4,0.43,13,8,12,11,17,7,15,10,0.8,0.6,1.5,0.49,11,3,6,18,11,4,17,12,https://fbref.com/en/matches/102335b0/Athletic-Club-Barcelona-August-21-2021-La-Liga,9.0,3.0,6.0,13.0,17.0,16.0,18.0,6.0,1.0,0.333333333,,,,,,,
