Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
10/2/20,Paris S-G,Angers,,,,,87.5,57.89,2.57,4.4,87,4.76,5.88,95.24,94.12,3,97,12,18,6,0.667
10/2/20,Angers,Paris S-G,,,,,4.76,5.88,0.78,0,3,87.5,57.89,12.5,42.11,87,13,2,8,1,0.25
10/3/20,Lens,Saint-Etienne,,,,,44.44,38.1,1.46,1.6,49,28.57,28.57,71.43,71.43,24,76,4,12,2,0.333
10/3/20,Saint-Etienne,Lens,,,,,28.57,28.57,1.14,0.9,24,44.44,38.1,55.56,61.9,49,51,1,2,0,0.5
10/3/20,Nice,Nantes,,,,,39.13,36.36,1.43,1.8,41,32.26,29.41,67.74,70.59,31,69,9,20,2,0.45
10/3/20,Nantes,Nice,,,,,32.26,29.41,1.19,0.5,31,39.13,36.36,60.87,63.64,41,59,0,10,1,0
10/4/20,Montpellier,Nimes,,,,,58.33,44.44,1.74,1.9,51,18.18,20,81.82,80,24,76,2,12,0,0.167
10/4/20,Nimes,Montpellier,,,,,18.18,20,1.1,0.7,24,58.33,44.44,41.67,55.56,51,49,1,8,1,0.125
10/4/20,Strasbourg,Lille,,,,,29.41,29.41,1.12,0.9,27,43.48,38.1,56.52,61.9,45,55,2,17,0,0.118
10/4/20,Lille,Strasbourg,,,,,43.48,38.1,1.42,1.4,45,29.41,29.41,70.59,70.59,27,73,6,13,3,0.462
10/4/20,Bordeaux,Dijon,,,,,57.89,44.44,1.74,2.3,50,19.05,22.22,80.95,77.78,22,78,7,17,3,0.412
10/4/20,Dijon,Bordeaux,,,,,19.05,22.22,1.03,0.3,22,57.89,44.44,42.11,55.56,50,50,1,5,0,0.2
10/4/20,Brest,Monaco,,,,,31.25,23.08,1.43,0.9,31,44.83,29.41,55.17,70.59,45,55,4,5,1,0.8
10/4/20,Monaco,Brest,,,,,44.83,29.41,1.7,1.7,45,31.25,23.08,68.75,76.92,31,69,2,20,0,0.1
10/4/20,Metz,Lorient,,,,,43.48,40,1.36,1.6,45,29.82,30.77,70.18,69.23,27,73,7,15,3,0.467
10/4/20,Lorient,Metz,,,,,29.82,30.77,1.09,0.6,27,43.48,40,56.52,60,45,55,4,10,1,0.4
10/4/20,Rennes,Reims,,,,,58.82,50,1.69,2.2,60,17.86,23.08,82.14,76.92,15,85,3,19,2,0.158
10/4/20,Reims,Rennes,,,,,17.86,23.08,0.91,0.1,15,58.82,50,41.18,50,60,40,4,9,2,0.444
10/4/20,Lyon,Marseille,,,,,54.17,40,1.74,2,57,21.74,22.22,78.26,77.78,19,81,2,23,1,0.087
10/4/20,Marseille,Lyon,,,,,21.74,22.22,1.09,0.6,19,54.17,40,45.83,60,57,43,1,3,1,0.333
10/16/20,Dijon,Rennes,,,,,20.41,20,1.11,0.4,22,55.17,42.11,44.83,57.89,52,48,4,13,1,0.308
10/16/20,Rennes,Dijon,,,,,55.17,42.11,1.74,2.2,52,20.41,20,79.59,80,22,78,3,12,1,0.25
10/16/20,Nimes,Paris S-G,,,,,10,7.69,1.11,0.3,8,74.07,42.11,25.93,57.89,78,22,2,5,0,0.4
