Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,Avg_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
8/25/20,DC United,New England,8.5,10.67,3.17,4.67,39.22,29.41,1.46,1.8,1.63,37,34.48,27.78,65.52,72.22,36,64,2,11,1,0.182
8/25/20,New England,DC United,15,13.17,3.67,4.67,34.48,27.78,1.49,1,1.245,36,39.22,29.41,60.78,70.59,37,63,6,13,2,0.462
8/25/20,Chicago,Cincinnati,14.33,10,3.83,4.17,58.82,40,2.04,2.2,2.12,61,19.05,19.05,80.95,80.95,17,83,7,14,3,0.5
8/25/20,Cincinnati,Chicago,8.5,9.83,3.17,3,19.05,19.05,1.11,0.8,0.955,17,58.82,40,41.18,60,61,39,1,8,0,0.125
8/25/20,Philadelphia,NY Red Bulls,10.67,10.33,4.17,3.17,43.48,27.78,1.7,1.9,1.8,49,31.25,23.08,68.75,76.92,27,73,4,10,1,0.4
8/25/20,NY Red Bulls,Philadelphia,11,11.5,4,5.67,31.25,23.08,1.46,1,1.23,27,43.48,27.78,56.52,72.22,49,51,3,8,0,0.375
8/25/20,Montreal,Vancouver,8.8,13.14,3,5.71,57.58,40,1.93,2.2,2.065,58,17.86,18.18,82.14,81.82,19,81,4,12,2,0.333
8/25/20,Vancouver,Montreal,7.29,15.6,2.29,4.8,17.86,18.18,1.16,0.8,0.98,19,57.58,40,42.42,60,58,42,2,10,0,0.2
8/25/20,Sporting KC,Houston,13,12.67,5,5,62.5,38.1,2.05,2.6,2.325,51,18.18,16.67,81.82,83.33,25,75,3,14,2,0.214
8/25/20,Houston,Sporting KC,14.33,8.17,3.5,2.83,18.18,16.67,1.19,0.6,0.895,25,62.5,38.1,37.5,61.9,51,49,8,12,5,0.667
8/26/20,Orlando,Nashville,11.5,6,4.83,3.2,54.05,38.46,1.79,2.2,1.995,52,23.81,22.22,76.19,77.78,22,78,7,15,3,0.467
8/26/20,Nashville,Orlando,14.4,8.17,4.4,3.83,23.81,22.22,1.19,0.6,0.895,22,54.05,38.46,45.95,61.54,52,48,5,16,1,0.313
8/28/20,Montreal,Toronto,9.33,7.86,3.17,3.14,26.67,21.05,1.36,1.2,1.28,29,50,33.33,50,66.67,46,54,1,2,1,0.5
8/28/20,Toronto,Montreal,15,14.67,6.57,4,50,33.33,1.81,1.7,1.755,46,26.67,21.05,73.33,78.95,29,71,1,4,0,0.25
8/29/20,Atlanta,Orlando,11,9.29,3.86,4,39.29,26.32,1.43,1.1,1.265,46,37.04,27.78,62.96,72.22,29,71,4,11,1,0.364
8/29/20,Orlando,Atlanta,12,13.6,4.75,3.67,37.04,27.78,1.47,1.7,1.585,29,39.29,26.32,60.71,73.68,46,54,3,10,3,0.3
8/29/20,NYCFC,Chicago,12.86,9.57,4.37,3.25,64.71,70,1.64,2,1.82,48,16.67,23.26,83.33,76.74,27,73,7,19,3,0.368
8/29/20,Chicago,NYCFC,14.29,11.14,4.27,5.25,16.67,23.26,1.03,1.3,1.165,27,64.71,70,35.29,30,48,52,5,11,1,0.455
8/29/20,Philadelphia,DC United,10.57,13.14,4.25,3.43,67.31,68.42,1.66,1.8,1.73,52,15.38,21.05,84.62,78.95,23,77,5,19,4,0.263
8/29/20,DC United,Philadelphia,8.86,11,3.25,5.13,15.38,21.05,1.05,1.4,1.225,23,67.31,68.42,32.69,31.58,52,48,4,12,1,0.333
8/29/20,Cincinnati,Columbus,8.43,9.29,2.75,2.88,30.77,59.38,1.29,1.6,1.445,22,46.51,52.17,53.49,47.83,51,49,2,5,0,0.4
8/29/20,Columbus,Cincinnati,9.71,10.57,3.87,4.38,46.51,52.17,1.47,1.4,1.435,51,30.77,59.38,69.23,40.63,22,78,3,7,0,0.429
8/29/20,New England,NY Red Bulls,14.71,10.29,4.12,3.5,51.95,30.77,1.61,1.6,1.605,45,28.57,27.42,71.43,72.58,30,70,5,14,1,0.357
8/29/20,NY Red Bulls,New England,10.57,10.71,3.87,4.25,28.57,27.42,1.39,1.5,1.445,30,51.95,30.77,48.05,69.23,45,55,4,8,1,0.5
8/29/20,Dallas,Minnesota,12,14.83,4,3.86,39.22,26.32,1.47,1.8,1.635,41,40,26.32,60,73.68,33,67,6,10,3,0.6
8/29/20,Minnesota,Dallas,12.33,15.2,4.86,4.33,40,26.32,1.47,1,1.235,33,39.22,26.32,60.78,73.68,41,59,4,15,1,0.267
8/29/20,Colorado,Sporting KC,13,8.71,4.43,3.5,44.44,24.68,1.58,1.2,1.39,38,37.04,21.88,62.96,78.13,40,60,4,10,1,0.4
8/29/20,Sporting KC,Colorado,13.14,12.5,4.5,5.86,37.04,21.88,1.53,1.8,1.665,40,44.44,24.68,55.56,75.32,38,62,3,13,1,0.231
8/29/20,Portland,Real Salt Lake,10,10,4.29,3.14,47.62,32,1.52,1.8,1.66,42,31.25,23.08,68.75,76.92,31,69,5,15,4,0.333
8/29/20,Real Salt Lake,Portland,10.5,10.83,4,4.29,31.25,23.08,1.33,1.4,1.365,31,47.62,32,52.38,68,42,58,8,29,4,0.276
8/29/20,LA Galaxy,San Jose,10,14.8,4.29,5.33,34.48,20,1.53,1.5,1.515,47,42.11,23.08,57.89,76.92,33,67,10,19,3,0.526
8/29/20,San Jose,LA Galaxy,17.4,11,5.83,4.71,42.11,23.08,1.59,1.5,1.545,33,34.48,20,65.52,80,47,53,4,10,2,0.4
8/30/20,Nashville,Miami,14.67,12.83,4.5,4.17,41.67,32.76,1.44,1.3,1.37,30,34.48,28.85,65.52,71.15,43,57,2,5,1,0.4
