Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
9/19/20,Everton,West Brom,15,11,5,5,60.63,43.64,1.93,2.3,57,14.77,17.45,85.23,82.55,18,82,7,16,5,0.438
9/19/20,West Brom,Everton,7,15,1,5,14.77,17.45,1.01,0.5,18,60.63,43.64,39.37,56.36,57,43,4,6,2,0.667
9/19/20,Leeds,Fulham,6,13,3,5,54,43.64,1.83,2.6,45,16,20.21,84,79.79,28,72,6,9,4,0.667
9/19/20,Fulham,Leeds,5,20,2,4,16,20.21,0.98,0,28,54,43.64,46,56.36,45,55,5,13,3,0.385
9/19/20,Man United,Crystal Palace,,9,,4,72,50.29,2.22,3.3,71,8.73,13.71,91.27,86.29,10,90,4,17,1,0.235
9/19/20,Crystal Palace,Man United,6,,3,,8.73,13.71,0.87,0,10,72,50.29,28,49.71,71,29,4,13,3,0.308
9/19/20,Arsenal,West Ham,13,16,5,3,60.63,41.74,2.05,2.6,57,16,16,84,84,20,80,3,6,2,0.5
9/19/20,West Ham,Arsenal,15,5,3,2,16,16,1.09,0.4,20,60.63,41.74,39.37,58.26,57,43,3,15,1,0.2
9/20/20,Southampton,Tottenham,9,15,4,5,30.97,28.24,1.33,0.9,35,39.11,32,60.89,68,39,61,5,13,2,0.385
9/20/20,Tottenham,Southampton,10,6,5,3,39.11,32,1.49,1.8,39,30.97,28.24,69.03,71.76,35,65,6,9,5,0.667
9/20/20,Newcastle,Brighton,16,9,3,4,36.23,35.56,1.28,1.6,39,32.91,33.1,67.09,66.9,32,68,0,6,0,0
9/20/20,Brighton,Newcastle,13,15,3,3,32.91,33.1,1.24,0.8,32,36.23,35.56,63.77,64.44,39,61,5,12,3,0.417
9/20/20,Chelsea,Liverpool,9,6,4,3,29.54,20.21,1.46,1.1,34,43.35,29.09,56.65,70.91,43,57,2,4,0,0.5
9/20/20,Liverpool,Chelsea,20,13,4,3,43.35,29.09,1.74,1.8,43,29.54,20.21,70.46,79.79,34,66,5,17,2,0.294
9/20/20,Leicester,Burnley,11,,5,,56.73,43.64,1.83,2.1,58,16.7,20.21,83.3,79.79,18,82,6,12,4,0.5
9/20/20,Burnley,Leicester,,7,,1,16.7,20.21,0.99,0.7,18,56.73,43.64,43.27,56.36,58,42,5,17,2,0.294
9/21/20,Aston Villa,Sheffield United,,11,,4,35.56,32,1.33,1.6,41,34.29,32,65.71,68,31,69,2,18,1,0.111
9/21/20,Sheffield United,Aston Villa,9,,2,,34.29,32,1.33,0.8,31,35.56,32,64.44,68,41,59,1,4,0,0.25
9/21/20,Wolves,Man City,11,,4,,14.55,16.7,1.05,0.4,15,61.09,42.67,38.91,57.33,63,37,1,10,1,0.1
9/21/20,Man City,Wolves,,9,,2,61.09,42.67,2.05,2.6,63,14.55,16.7,85.45,83.3,15,85,9,14,3,0.643
9/26/20,Brighton,Man United,12.5,14,4,4,20,19.2,1.11,0.5,21,52.97,38.4,47.03,61.6,54,46,3,17,2,0.176
