Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
9/30/20,Udinese,Spezia,,,,,60,47.62,1.78,2.2,49,16.67,20,83.33,80,23,77,3,13,0,0.231
9/30/20,Spezia,Udinese,,,,,16.67,20,0.96,0.5,23,60,47.62,40,52.38,49,51,2,4,2,0.5
9/30/20,Benevento,Inter,,,,,10.53,10,0.98,0.4,12,71.43,45.45,28.57,54.55,69,31,6,11,2,0.545
9/30/20,Inter,Benevento,,,,,71.43,45.45,2.29,3,69,10.53,10,89.47,90,12,88,8,18,5,0.444
9/30/20,Lazio,Atalanta,,,,,38.46,22.22,1.61,2,32,34.88,22.22,65.12,77.78,43,57,5,14,1,0.357
9/30/20,Atalanta,Lazio,,,,,34.88,22.22,1.74,1.1,43,38.46,22.22,61.54,77.78,32,68,6,10,4,0.6
10/2/20,Fiorentina,Sampdoria,,,,,57.14,38.1,1.87,2.2,54,20,18.18,80,81.82,21,79,5,22,1,0.227
10/2/20,Sampdoria,Fiorentina,,,,,20,18.18,1.16,0.4,21,57.14,38.1,42.86,61.9,54,46,7,18,2,0.389
10/3/20,Sassuolo,Crotone,,,,,64.71,44.44,2.1,2.5,57,13.33,12.5,86.67,87.5,19,81,3,6,4,0.5
10/3/20,Crotone,Sassuolo,,,,,13.33,12.5,1.05,0.4,19,64.71,44.44,35.29,55.56,57,43,4,15,1,0.267
10/3/20,Udinese,Roma,,,,,20,18.18,1.16,1.5,24,57.14,38.1,42.86,61.9,50,50,4,10,0,0.4
10/3/20,Roma,Udinese,,,,,57.14,38.1,1.86,1.3,50,20,18.18,80,81.82,24,76,3,14,1,0.214
10/4/20,Atalanta,Cagliari,,,,,77.78,45.45,2.45,2.1,73,8.33,6.67,91.67,93.33,10,90,12,21,5,0.571
10/4/20,Cagliari,Atalanta,,,,,8.33,6.67,1.01,1.2,10,77.78,45.45,22.22,54.55,73,27,3,13,2,0.231
10/4/20,Lazio,Inter,,,,,34.78,25,1.54,1.1,28,40,26.67,60,73.33,48,52,4,13,1,0.308
10/4/20,Inter,Lazio,,,,,40,26.67,1.62,2.1,48,34.78,25,65.22,75,28,72,4,12,1,0.333
10/4/20,Parma,Hellas Verona,,,,,33.33,29.41,1.33,1.6,40,38.1,33.33,61.9,66.67,33,67,4,11,1,0.364
10/4/20,Hellas Verona,Parma,,,,,38.1,33.33,1.43,1,33,33.33,29.41,66.67,70.59,40,60,3,9,0,0.333
10/4/20,Benevento,Bologna,,,,,34.48,25,1.46,0.7,37,40.38,28.57,59.62,71.43,35,65,2,7,1,0.286
10/4/20,Bologna,Benevento,,,,,40.38,28.57,1.6,2.4,35,34.48,25,65.52,75,37,63,7,18,0,0.389
10/4/20,Milan,Spezia,,,,,80.95,57.89,2.32,3,78,6.67,7.69,93.33,92.31,7,93,5,16,3,0.313
10/4/20,Spezia,Milan,,,,,6.67,7.69,0.75,0,7,80.95,57.89,19.05,42.11,78,22,2,4,0,0.5
10/17/20,Napoli,Atalanta,,,,,40,22.22,1.81,1.8,44,35.71,20,64.29,80,31,69,13,20,4,0.65
10/17/20,Atalanta,Napoli,,,,,35.71,20,1.69,1.8,31,40,22.22,60,77.78,44,56,4,13,1,0.308
10/17/20,Inter,Milan,,,,,42.22,29.41,1.67,2,49,30.77,23.08,69.23,76.92,27,73,5,18,1,0.278
10/17/20,Milan,Inter,,,,,30.77,23.08,1.42,0.8,27,42.22,29.41,57.78,70.59,49,51,3,10,2,0.3
