Date,Team,Opp,VOID,GameId,HorA,Win_Odds,CS_Odds,Odds_GF,Pinn_Odds,Pinn_CS,Pinn_Goals,bet365_CS,skybet_CS,PaddyPower_CS,WilliamHill_CS,888sport_CS,betfair_CS,BetVictor_CS,UniBet_CS,MansionBet_CS,BetFred_CS,SBK_CS,BetWay_CS,BoyleSports_CS,10bet_CS,SportNation_CS,novibet_CS,VBet_CS,SportingIndex_CS,GentingBet_CS,RedZone_CS,SpreadEx_CS,bet365_Goals,skybet_Goals,PaddyPower_Goals,WilliamHill_Goals,888sport_Goals,betfair_Goals,BetVictor_Goals,UniBet_Goals,MansionBet_Goals,BetFred_Goals,SBK_Goals,BetWay_Goals,BoyleSports_Goals,10bet_Goals,SportNation_Goals,novibet_Goals,VBet_Goals,SportingIndex_Goals,GentingBet_Goals,RedZone_Goals,SpreadEx_Goals,OddsShark_GF,FiveThirtyEight_Odds,FiveThirtyEight_Goals,FiveThirtyEight_SPI,FiveThirtyEight_Importance,GamesPlayed,xG,xA,PSxG,PSxG/SoT,Sh,SoT,KP,Fls,Fld,Crs,Int,TklW,xG_A,xA_A,PSxG_A,PSxG/SoT_A,Sh_A,SoT_A,KP_A,Fls_A,Fld_A,Crs_A,Int_A,TklW_A,MatchReport_URL,Real_Sh,Real_SoT,Real_KP,Real_Fls,Real_Fld,Real_Crs,Real_Int,Real_TklW,Real_Goals,SoT%,Real_Chances,Real_xPTS,game_xG,game_xA,game_PSxG,game_PSxG/SoT,game_KP
8/27/21,Udinese,Venezia,void,0,H,57.89473684,46.03896104,1.757580634,,,,45.45454545,45.45454545,,47.61904762,,,,,,,,,,,,,47.22222222,44.44444444,,,,1.736061381,0.963210702,,0.960212202,,,,,,,,,,,,,0.982222222,0.94619666,,,,2.1,44.55,1.36,57.01,33.6,1,2.2,0.6,2.1,0.23,11,5,8,13,14,13,8,11,0.8,0.7,1.5,0.52,10,3,8,14,13,7,11,9,https://fbref.com/en/matches/2747c144/Udinese-Venezia-August-27-2021-Serie-A,21.0,10.0,16.0,13.0,7.0,8.0,22.0,11.0,3.0,0.476190476,,,,,,,
8/27/21,Venezia,Udinese,void,0,A,17.39130435,20.18181818,0.999004312,,,,20.0,18.18181818,,20.0,,,,,,,,,,,,,22.72727273,20.0,,,,0.994405594,0.763636364,,0.771799629,,,,,,,,,,,,,0.784765898,0.757337151,,,,0.7,27.37,1.01,52.26,41.1,1,0.5,0.5,0.1,0.02,8,4,7,22,3,12,10,10,2.3,0.5,1.4,0.24,11,3,6,5,20,6,13,16,https://fbref.com/en/matches/2747c144/Udinese-Venezia-August-27-2021-Serie-A,11.0,3.0,9.0,9.0,12.0,11.0,18.0,11.0,0.0,0.272727273,,,,,,,
8/27/21,Hellas Verona,Inter,void,1,H,16.66666667,14.72994326,1.14252394,,,,15.38461538,14.28571429,,15.38461538,,,,,,,,,,,,,13.88888889,14.70588235,,,,1.121052632,0.844444444,,0.861111111,,,,,,,,,,,,,0.859078591,0.826932924,,,,0.3,14.48,0.84,59.14,24.4,1,2.1,1.3,1.4,0.16,14,3,10,11,12,18,10,9,1.5,1.1,2.7,0.39,18,7,12,12,11,2,10,5,https://fbref.com/en/matches/c8bd861a/Hellas-Verona-Internazionale-August-27-2021-Serie-A,8.0,1.0,7.0,13.0,11.0,5.0,20.0,7.0,1.0,0.125,,,,,,,
8/27/21,Inter,Hellas Verona,void,1,A,61.53846154,38.93040293,2.009225446,,,,40.0,38.0952381,,40.0,,,,,,,,,,,,,38.0952381,38.46153846,,,,2.000411353,0.901098901,,0.928030303,,,,,,,,,,,,,0.938095238,0.914855072,,,,2.7,64.51,2.02,83.32,59.0,1,1.6,1.6,2.2,0.27,17,8,15,18,6,14,8,12,1.0,0.9,0.2,0.04,10,4,9,7,18,6,13,14,https://fbref.com/en/matches/c8bd861a/Hellas-Verona-Internazionale-August-27-2021-Serie-A,16.0,8.0,13.0,11.0,13.0,13.0,13.0,16.0,3.0,0.5,,,,,,,
8/28/21,Atalanta,Bologna,void,2,H,73.33333333,40.6908939,2.314408965,,,,40.0,40.0,,42.10526316,,,,,,,,,,,,,41.66666667,39.68253968,,,,2.319004525,0.815384615,,0.781954887,,,,,,,,,,,,,0.842746401,0.812954395,,,,3.5,68.98,2.35,79.5,55.5,1,1.0,0.8,1.3,0.64,7,2,5,13,17,3,3,7,1.3,1.1,1.0,0.15,21,7,14,17,13,16,13,12,https://fbref.com/en/matches/b8799a66/Atalanta-Bologna-August-28-2021-Serie-A,22.0,3.0,18.0,12.0,13.0,13.0,9.0,7.0,0.0,0.136363636,,,,,,,
8/28/21,Bologna,Atalanta,void,2,A,10.52631579,9.40872136,1.110079746,,,,9.090909091,8.333333333,,8.333333333,,,,,,,,,,,,,12.19512195,9.090909091,,,,1.110446571,0.844444444,,0.837719298,,,,,,,,,,,,,0.85338726,0.813492063,,,,0.0,12.83,0.91,58.4,17.3,1,1.5,1.2,1.8,0.26,18,7,11,13,14,8,8,7,1.6,0.3,2.0,0.56,9,3,4,15,13,8,7,12,https://fbref.com/en/matches/b8799a66/Atalanta-Bologna-August-28-2021-Serie-A,4.0,1.0,3.0,16.0,11.0,7.0,18.0,10.0,0.0,0.25,,,,,,,
8/28/21,Lazio,Spezia,void,3,H,72.72727273,46.77573741,2.208417299,,,,47.61904762,45.45454545,,48.7804878,,,,,,,,,,,,,,45.24886878,,,,2.201871658,0.821428571,,0.87854251,,,,,,,,,,,,,,0.840917364,,,,2.8,62.38,2.09,71.17,48.2,1,1.3,0.5,2.3,0.49,7,3,6,10,13,14,13,14,1.3,1.1,1.4,0.35,17,4,13,13,8,17,20,11,https://fbref.com/en/matches/cbe9b1ae/Lazio-Spezia-August-28-2021-Serie-A,17.0,9.0,14.0,13.0,11.0,7.0,3.0,9.0,6.0,0.529411765,,,,,,,
8/28/21,Spezia,Lazio,void,3,A,10.0,10.79014672,0.966645667,,,,10.0,10.52631579,,11.76470588,,,,,,,,,,,,,,10.86956522,,,,0.98030303,0.763636364,,0.771799629,,,,,,,,,,,,,,0.750843645,,,,0.2,16.72,0.98,53.23,30.8,1,0.8,0.7,0.8,0.21,12,4,9,15,15,11,16,2,2.7,1.2,2.1,0.2,19,6,12,17,13,13,12,12,https://fbref.com/en/matches/cbe9b1ae/Lazio-Spezia-August-28-2021-Serie-A,5.0,2.0,3.0,10.0,13.0,7.0,8.0,3.0,1.0,0.4,,,,,,,
8/28/21,Fiorentina,Torino,void,4,H,43.47826087,30.53419699,1.642476812,,,,30.76923077,28.57142857,,32.25806452,,,,,,,,,,,,,30.3030303,30.76923077,,,,1.64417935,0.935064935,,0.952380952,,,,,,,,,,,,,0.977207977,0.934320074,,,,1.9,42.85,1.4,61.08,25.1,1,1.3,1.2,1.7,0.21,11,8,10,15,12,10,11,6,2.7,2.3,2.6,0.43,11,6,8,12,14,6,8,8,https://fbref.com/en/matches/27657443/Fiorentina-Torino-August-28-2021-Serie-A,9.0,7.0,9.0,14.0,28.0,16.0,12.0,5.0,2.0,0.777777778,,,,,,,
8/28/21,Torino,Fiorentina,void,4,A,29.31034483,23.5476401,1.378293533,,,,23.07692308,22.22222222,,25.64102564,,,,,,,,,,,,,23.80952381,22.98850575,,,,1.361538462,0.933333333,,0.920983778,,,,,,,,,,,,,0.935532234,0.893926013,,,,0.7,29.91,1.13,58.45,27.4,1,1.3,1.1,1.0,0.15,21,7,14,17,13,16,13,12,1.0,0.8,1.3,0.64,7,2,5,13,17,3,3,7,https://fbref.com/en/matches/27657443/Fiorentina-Torino-August-28-2021-Serie-A,5.0,1.0,3.0,30.0,13.0,7.0,25.0,4.0,1.0,0.2,,,,,,,
8/28/21,Juventus,Empoli,void,5,H,80.95238095,52.42912863,2.422743112,,,,52.38095238,52.38095238,,54.54545455,,,,,,,,,,,,,53.33333333,49.5049505,,,,2.418318524,0.771428571,,0.788819876,,,,,,,,,,,,,0.809983897,0.779710145,,,,3.8,74.83,2.39,80.75,58.9,1,0.8,0.7,1.5,0.52,10,3,8,14,13,7,11,9,2.2,0.6,2.1,0.23,11,5,8,13,14,13,8,11,https://fbref.com/en/matches/4112adb3/Juventus-Empoli-August-28-2021-Serie-A,19.0,5.0,15.0,15.0,8.0,27.0,17.0,7.0,0.0,0.263157895,,,,,,,
8/28/21,Empoli,Juventus,void,5,A,6.060606061,8.27006327,0.856902283,,,,9.090909091,7.692307692,,8.333333333,,,,,,,,,,,,,9.090909091,7.142857143,,,,0.865587045,0.688644689,,0.685714286,,,,,,,,,,,,,0.708726415,0.704260034,,,,0.0,8.75,0.68,52.4,37.4,1,1.3,1.1,1.4,0.35,17,4,13,13,8,17,20,11,1.3,0.5,2.3,0.49,7,3,6,10,13,14,13,14,https://fbref.com/en/matches/4112adb3/Juventus-Empoli-August-28-2021-Serie-A,12.0,3.0,8.0,8.0,15.0,14.0,12.0,9.0,1.0,0.25,,,,,,,
8/29/21,Genoa,Napoli,void,6,H,15.38461538,14.57212885,1.130532127,,,,14.28571429,13.33333333,,14.28571429,,,,,,,,,,,,,16.25,14.70588235,,,,1.121052632,0.844444444,,0.816666667,,,,,,,,,,,,,0.857004831,0.813492063,,,,0.3,16.83,0.91,55.16,30.0,1,1.0,0.9,0.2,0.04,10,4,9,7,18,6,13,14,1.6,1.6,2.2,0.27,17,8,15,18,6,14,8,12,https://fbref.com/en/matches/744087da/Genoa-Napoli-August-29-2021-Serie-A,6.0,3.0,3.0,20.0,18.0,9.0,30.0,18.0,1.0,0.5,,,,,,,
8/29/21,Napoli,Genoa,void,6,A,63.63636364,40.96549344,2.05650668,,,,40.0,40.0,,43.47826087,,,,,,,,,,,,,41.66666667,39.68253968,,,,2.052359405,0.901098901,,0.910714286,,,,,,,,,,,,,0.945833333,0.901098901,,,,2.7,61.14,1.95,78.39,57.2,1,2.3,0.5,1.4,0.24,11,3,6,5,20,6,13,16,0.5,0.5,0.1,0.02,8,4,7,22,3,12,10,10,https://fbref.com/en/matches/744087da/Genoa-Napoli-August-29-2021-Serie-A,13.0,8.0,11.0,18.0,20.0,9.0,14.0,14.0,2.0,0.615384615,,,,,,,
8/29/21,Sassuolo,Sampdoria,void,7,H,47.61904762,29.61861668,1.811479854,,,,29.41176471,28.57142857,,30.76923077,,,,,,,,,,,,,30.76923077,28.57142857,,,,1.805860806,0.948717949,,0.960212202,,,,,,,,,,,,,0.989153108,0.924883778,,,,2.2,49.2,1.66,66.68,34.7,1,1.5,1.1,2.7,0.39,18,7,12,12,11,2,10,5,2.1,1.3,1.4,0.16,14,3,10,11,12,18,10,9,https://fbref.com/en/matches/4637a73f/Sassuolo-Sampdoria-August-29-2021-Serie-A,19.0,5.0,11.0,9.0,16.0,6.0,16.0,3.0,0.0,0.263157895,,,,,,,
8/29/21,Sampdoria,Sassuolo,void,7,A,27.41935484,19.27592855,1.43054322,,,,18.18181818,18.18181818,,20.0,,,,,,,,,,,,,20.40816327,19.60784314,,,,1.433333333,0.914285714,,0.933333333,,,,,,,,,,,,,0.957478006,0.914285714,,,,0.8,25.79,1.14,60.91,22.9,1,1.1,0.4,0.6,0.2,17,3,10,17,14,18,21,13,1.1,0.7,1.3,0.43,11,3,7,15,16,11,20,14,https://fbref.com/en/matches/4637a73f/Sassuolo-Sampdoria-August-29-2021-Serie-A,11.0,2.0,5.0,17.0,8.0,18.0,10.0,16.0,0.0,0.181818182,,,,,,,
8/29/21,Milan,Cagliari,void,8,H,67.74193548,43.9778585,2.115535474,,,,44.44444444,42.10526316,,46.51162791,,,,,,,,,,,,,45.16129032,41.66666667,,,,2.101098901,0.901098901,,0.910714286,,,,,,,,,,,,,0.944130362,0.920634921,,,,3.0,63.22,1.94,76.75,64.0,1,1.1,0.7,1.3,0.43,11,3,7,15,16,11,20,14,1.1,0.4,0.6,0.2,17,3,10,17,14,18,21,13,https://fbref.com/en/matches/0f78d641/Milan-Cagliari-August-29-2021-Serie-A,17.0,4.0,12.0,15.0,11.0,16.0,7.0,4.0,4.0,0.235294118,,,,,,,
8/29/21,Cagliari,Milan,void,8,A,12.12121212,13.8034353,1.033125165,,,,14.28571429,12.5,,13.33333333,,,,,,,,,,,,,15.38461538,13.51351351,,,,1.030769231,0.8,,0.808163265,,,,,,,,,,,,,0.806791009,0.796825397,,,,0.0,14.98,0.82,60.48,19.9,1,2.7,1.2,2.1,0.2,19,6,12,17,13,13,12,12,0.8,0.7,0.8,0.21,12,4,9,15,15,11,16,2,https://fbref.com/en/matches/0f78d641/Milan-Cagliari-August-29-2021-Serie-A,7.0,2.0,5.0,12.0,14.0,10.0,8.0,3.0,1.0,0.285714286,,,,,,,
8/29/21,Salernitana,Roma,void,9,H,17.39130435,14.63247863,1.215065648,,,,14.28571429,13.33333333,,15.38461538,,,,,,,,,,,,,15.87301587,14.28571429,,,,1.211538462,0.882591093,,0.892857143,,,,,,,,,,,,,0.898412698,0.856595512,,,,1.0,20.11,1.01,50.94,37.7,1,1.6,0.3,2.0,0.56,9,3,4,15,13,8,7,12,1.5,1.2,1.8,0.26,18,7,11,13,14,8,8,7,https://fbref.com/en/matches/3a200383/Salernitana-Roma-August-29-2021-Serie-A,5.0,0.0,4.0,14.0,10.0,10.0,16.0,14.0,0.0,0.0,,,,,,,
8/29/21,Roma,Salernitana,void,9,A,61.53846154,36.09581382,2.058569816,,,,36.36363636,34.7826087,,36.36363636,,,,,,,,,,,,,37.25490196,35.71428571,,,,2.052359405,0.901098901,,0.928030303,,,,,,,,,,,,,0.942857143,0.897074756,,,,2.0,56.65,1.85,71.74,47.9,1,2.7,2.3,2.6,0.43,11,6,8,12,14,6,8,8,1.3,1.2,1.7,0.21,11,8,10,15,12,10,11,6,https://fbref.com/en/matches/3a200383/Salernitana-Roma-August-29-2021-Serie-A,28.0,9.0,20.0,11.0,12.0,16.0,11.0,5.0,4.0,0.321428571,,,,,,,
9/11/21,Empoli,Venezia,void,10,H,53.57142857,37.34598735,1.812274058,,,,38.0952381,36.36363636,,38.46153846,,,,,,,,,,,,,35.71428571,,38.0952381,,,1.778711485,0.963210702,,0.963203463,,,,,,,,,,,,,0.606060606,,0.974074074,,,1.8,42.71,1.32,53.53,37.3,2,2.2,1.4,2.1,0.3,29,7,21,19,18,31,32,20,2.8,1.8,3.1,0.29,26,8,21,20,19,41,30,21,https://fbref.com/en/matches/0d2de0b9/Empoli-Venezia-September-11-2021-Serie-A,20.0,5.0,13.0,14.0,24.0,22.0,7.0,9.0,1.0,0.25,,,,,,,
9/11/21,Venezia,Empoli,void,10,A,22.72727273,20.09959893,1.201201442,,,,20.0,18.18181818,,20.83333333,,,,,,,,,,,,,19.60784314,,21.875,,,1.194871795,0.861538462,,0.871212121,,,,,,,,,,,,,0.859770115,,0.885281385,,,0.9,28.92,1.03,50.33,44.3,2,1.6,1.5,1.1,0.16,19,7,16,30,12,23,28,21,4.9,2.7,5.2,0.35,32,13,22,16,26,14,35,27,https://fbref.com/en/matches/0d2de0b9/Empoli-Venezia-September-11-2021-Serie-A,10.0,3.0,8.0,25.0,13.0,9.0,15.0,14.0,2.0,0.3,,,,,,,
9/11/21,Napoli,Juventus,void,11,H,39.13043478,30.08445065,1.541360142,,,,29.41176471,28.57142857,,32.25806452,,,,,,,,,,,,,29.41176471,,30.76923077,,,1.536507937,0.952380952,,0.940540541,,,,,,,,,,,,,0.928689884,,0.948681397,,,1.4,39.39,1.57,78.5,64.4,2,3.4,1.6,2.0,0.12,24,11,17,20,37,15,27,30,1.2,0.9,0.8,0.11,14,7,10,39,18,21,40,28,https://fbref.com/en/matches/4e0811bf/Napoli-Juventus-September-11-2021-Serie-A,25.0,6.0,17.0,15.0,15.0,17.0,8.0,10.0,2.0,0.24,,,,,,,
9/11/21,Juventus,Napoli,void,11,A,33.61344538,26.60093546,1.425836471,,,,26.66666667,25.0,,27.77777778,,,,,,,,,,,,,25.97402597,,27.5862069,,,1.433333333,0.933333333,,0.920983778,,,,,,,,,,,,,0.910931174,,0.930600737,,,1.3,35.89,1.49,79.9,66.3,2,2.3,2.0,2.4,0.3,29,8,23,24,19,34,28,16,3.0,0.9,2.7,0.23,23,8,16,19,24,27,20,20,https://fbref.com/en/matches/4e0811bf/Napoli-Juventus-September-11-2021-Serie-A,8.0,4.0,5.0,16.0,15.0,7.0,12.0,7.0,1.0,0.5,,,,,,,
9/11/21,Atalanta,Fiorentina,void,12,H,62.5,36.57183618,2.116179363,,,,38.0952381,34.7826087,,38.46153846,,,,,,,,,,,,,34.48275862,,37.03703704,,,2.101098901,0.901098901,,0.910714286,,,,,,,,,,,,,0.883838384,,0.984146341,,,3.1,65.5,2.01,79.31,61.2,2,1.9,1.7,1.3,0.26,29,5,23,24,28,16,12,14,1.6,1.2,1.0,0.13,25,8,17,31,23,23,31,22,https://fbref.com/en/matches/7559e08b/Atalanta-Fiorentina-September-11-2021-Serie-A,12.0,5.0,12.0,13.0,19.0,17.0,10.0,6.0,1.0,0.416666667,,,,,,,
9/11/21,Fiorentina,Atalanta,void,12,A,16.66666667,13.57936508,1.211183562,,,,12.5,13.33333333,,14.28571429,,,,,,,,,,,,,13.88888889,,13.88888889,,,1.211538462,0.861538462,,0.871212121,,,,,,,,,,,,,0.867413632,,0.910881801,,,0.2,13.55,0.78,61.66,18.6,2,2.1,2.0,3.2,0.22,20,15,19,28,38,26,23,11,3.2,2.7,3.3,0.48,16,7,11,40,26,13,33,12,https://fbref.com/en/matches/7559e08b/Atalanta-Fiorentina-September-11-2021-Serie-A,5.0,0.0,4.0,21.0,12.0,10.0,13.0,6.0,2.0,0.0,,,,,,,
9/12/21,Sampdoria,Inter,void,13,H,18.18181818,16.68348045,1.16001776,,,,16.66666667,15.38461538,,16.66666667,,,,,,,,,,,,,16.66666667,,18.03278689,,,1.161111111,0.844444444,,0.878205128,,,,,,,,,,,,,0.83956044,,0.876767677,,,0.5,14.74,0.83,60.87,21.0,2,1.7,0.8,0.7,0.14,28,5,15,31,21,36,31,29,2.4,1.5,2.3,0.29,30,8,18,23,29,17,36,17,https://fbref.com/en/matches/220af622/Sampdoria-Internazionale-September-12-2021-Serie-A,14.0,2.0,11.0,14.0,14.0,18.0,17.0,6.0,2.0,0.142857143,,,,,,,
